gene_symbol,ensembl_id,log2FoldChange,padj
ID2,ENSG00000115738.10,-0.953593238205854,6.41278806766731e-08
YWHAQ,ENSG00000134308.14,-0.630110739463561,0.0001282828574195
KCNS3,ENSG00000170745.12,-1.13616706234659,3.22628072771689e-07
NCOA1,ENSG00000084676.16,-0.909940218189404,0.0001136582474778
CLIP4,ENSG00000115295.21,-0.919831828329179,3.4612205614434705e-09
ALK,ENSG00000171094.18,-1.18942567646349,0.0007717165062343
LTBP1,ENSG00000049323.16,-0.679026186280157,4.91255557205969e-05
CRIM1,ENSG00000150938.10,-0.999148040970403,1.08334946092665e-07
CDC42EP3,ENSG00000163171.8,-1.52425712287707,3.778547702079e-12
PPM1B,ENSG00000138032.21,-0.910089282332406,1.94931823866195e-06
EFEMP1,ENSG00000115380.20,-1.7166422398253,2.0236578141578102e-19
BCL11A,ENSG00000119866.22,-1.18033413696065,0.0062318737092558
SERTAD2,ENSG00000179833.4,-0.807009727094536,1.77200089521213e-05
MEIS1,ENSG00000143995.20,-0.908626548165385,0.0003115995205495
APLF,ENSG00000169621.11,-0.772656166444511,0.0005698041750305
ANTXR1,ENSG00000169604.21,-0.887866214581848,8.93169401041949e-06
NFU1,ENSG00000169599.13,-1.01639978831862,1.50312340798971e-06
SFXN5,ENSG00000144040.13,-0.641876246660973,0.0064479513469844
MAP4K4,ENSG00000071054.17,-0.632082616811278,7.41385524734751e-05
NCK2,ENSG00000071051.14,-0.642702018196766,6.42102712709701e-05
LIMS1,ENSG00000169756.17,-0.576449636733224,0.0079105332022702
ARHGEF4,ENSG00000136002.20,-1.58027021296099,2.56730925092759e-09
LYPD1,ENSG00000150551.11,-1.63429632169722,7.957328119597921e-25
ZEB2,ENSG00000169554.23,-1.61161482669822,8.675957173494251e-15
RND3,ENSG00000115963.14,-1.68140835345105,3.94725134492943e-21
FMNL2,ENSG00000157827.20,-1.25381259730127,6.96802697537426e-14
ACVR1,ENSG00000115170.16,-0.517424539972816,0.002556883238852
TANC1,ENSG00000115183.15,-0.732811396725115,8.24354916445424e-06
BAZ2B,ENSG00000123636.19,-1.57061030990298,9.384228650806121e-14
RBMS1,ENSG00000153250.21,-0.737066886925338,0.0002167481613996
DHRS9,ENSG00000073737.17,-2.15698793206876,1.23722132996448e-05
DLX1,ENSG00000144355.15,-0.914435326148955,9.56374414028573e-05
RAPGEF4,ENSG00000091428.18,-0.74604000295233,0.0006794771463136
WIPF1,ENSG00000115935.19,-1.85085184211116,1.64851983522412e-23
CHN1,ENSG00000128656.15,-2.61895644194789,3.0406124479470596e-48
OSBPL6,ENSG00000079156.17,-1.2667209538371,2.21710491496749e-14
NRP2,ENSG00000118257.17,-0.958939391671362,2.79250768577879e-07
MAP2,ENSG00000078018.22,-3.4051277278658,8.09234860604553e-37
SCG2,ENSG00000171951.5,-3.26120420428381,3.60999407844403e-37
ARL4C,ENSG00000188042.8,-1.25090798344109,1.74913874090694e-16
VGLL4,ENSG00000144560.16,-0.851703000249144,1.44132747715461e-06
RBMS3,ENSG00000144642.22,-2.25943755990063,5.0866106811438e-34
CMTM7,ENSG00000153551.14,-0.766729400379211,0.0008968011692686
ITGA9,ENSG00000144668.12,-1.69312807800064,3.92879657804451e-11
LTF,ENSG00000012223.13,-1.37200415195031,3.92988982490992e-05
TWF2,ENSG00000247596.10,-0.764795592185258,0.0050015356497977
SLMAP,ENSG00000163681.17,-0.519289475594273,0.0010743801510662
FOXP1,ENSG00000114861.24,-0.717939692510924,0.0006949996129231
ST3GAL6,ENSG00000064225.13,-0.924045446474309,2.69034592048737e-05
DCBLD2,ENSG00000057019.16,-1.69470252612573,3.61601853417233e-26
COL8A1,ENSG00000144810.16,-2.6358555684166,1.9033915261330898e-34
ABI3BP,ENSG00000154175.18,-0.990019462954981,0.0022414048974419
CBLB,ENSG00000114423.23,-1.04765138024705,9.582059869215741e-09
ZBTB20,ENSG00000181722.18,-2.45398658614074,1.64348041481974e-26
PARP9,ENSG00000138496.17,-1.74009321502978,3.26994689081741e-12
TMCC1,ENSG00000172765.19,-0.665933530621207,0.000269936976318
ZBTB38,ENSG00000177311.12,-1.09475758776937,4.69558648659519e-08
WWTR1,ENSG00000018408.15,-1.10443217157747,2.79630805645326e-08
TSC22D2,ENSG00000196428.13,-0.888140465772371,8.041430774772651e-09
RAP2B,ENSG00000181467.5,-0.635872707580287,0.0037566240783946
SKIL,ENSG00000136603.15,-1.36792291919312,3.1103174878370597e-13
TNIK,ENSG00000154310.17,-1.06312053219786,7.77727281024754e-08
NCEH1,ENSG00000144959.11,-0.507451220896859,0.0074019955970399
NLGN1,ENSG00000169760.18,-2.20911080235551,1.9948071501323602e-35
KCNMB2,ENSG00000197584.13,-2.39965982373494,0.0033979180301975
VPS8,ENSG00000156931.16,-0.540557718793757,0.001153558897737
IGF2BP2,ENSG00000073792.16,-0.840206364084374,6.26247931027502e-05
BCL6,ENSG00000113916.18,-1.2451261154071,5.45665288087502e-10
LPP,ENSG00000145012.14,-1.13213964075193,1.48971684778039e-06
CCDC50,ENSG00000152492.15,-0.593304797980302,0.0007042166334421
FGF12,ENSG00000114279.15,-1.90387475005796,4.6322962169715e-27
WDR1,ENSG00000071127.18,-0.534401231236338,0.000845438930612
CD38,ENSG00000004468.13,-1.22388154781303,0.0016733846810001
SLIT2,ENSG00000145147.20,-1.12030273726549,7.938140002698569e-11
KCNIP4,ENSG00000185774.16,-1.0712097808335,0.0007248274694298
PPARGC1A,ENSG00000109819.9,-2.13165335509421,5.31502100488756e-19
SEPSECS,ENSG00000109618.13,-0.626337289369808,0.0023107306937653
TBC1D1,ENSG00000065882.18,-0.723316969883884,2.77593860250182e-05
GSX2,ENSG00000180613.11,-1.43880042022917,0.000669955729087
KDR,ENSG00000128052.10,-2.37223806283558,3.71515829381913e-26
REST,ENSG00000084093.19,-1.09128959605272,1.66332590820789e-08
RUFY3,ENSG00000018189.13,-1.0531557823332,1.2792919995913e-09
CXCL8,ENSG00000169429.12,-4.41719217334265,5.994152714319761e-14
WDFY3,ENSG00000163625.17,-0.930803118725096,6.80996526630729e-10
ANK2,ENSG00000145362.21,-1.58679754265233,1.66293169118533e-12
CAMK2D,ENSG00000145349.20,-1.58675369562854,1.4464135544887501e-25
ARHGAP10,ENSG00000071205.12,-0.918533249030826,1.0313383556785e-08
PALLD,ENSG00000129116.20,-0.911415386768191,6.124697072484861e-09
CBR4,ENSG00000145439.12,-1.00778755183847,1.16474456304317e-09
WWC2,ENSG00000151718.16,-0.852374121914719,4.13974304067069e-09
IRX1,ENSG00000170549.4,-1.72001651584898,1.14981715403414e-25
ADAMTS16,ENSG00000145536.15,-2.03825633884286,4.076526311180849e-28
TRIO,ENSG00000038382.23,-0.668336549198038,9.50906848884023e-06
MYO10,ENSG00000145555.15,-1.26810410320867,2.89197786920614e-15
PTGER4,ENSG00000171522.6,-1.09330780430588,2.49696241399953e-07
ARL15,ENSG00000185305.12,-0.789817398945338,0.0003594711089236
SNX18,ENSG00000178996.14,-0.80178205302592,6.06378075909495e-07
MAP3K1,ENSG00000095015.6,-1.12554445617853,2.6353225709715497e-11
MIER3,ENSG00000155545.20,-0.774680090490463,5.16187020545414e-06
PDE4D,ENSG00000113448.20,-0.905063854221278,0.0008665176305031
PIK3R1,ENSG00000145675.16,-0.847034548460216,5.94560070481724e-09
MAP1B,ENSG00000131711.15,-2.27271451154632,3.40105921700551e-23
ARHGEF28,ENSG00000214944.10,-0.585865514350561,0.0059637687491101
ENC1,ENSG00000171617.15,-0.728205722486361,1.45368232572762e-06
JMY,ENSG00000152409.9,-0.590594956221189,0.0044721160743161
SERINC5,ENSG00000164300.17,-2.75291729692656,1.0904834040444399e-26
VCAN,ENSG00000038427.16,-2.85104977207484,1.3688532605671e-48
EDIL3,ENSG00000164176.13,-1.29339145402583,3.6124345202531e-10
RASA1,ENSG00000145715.15,-0.618645725566969,9.45050804216759e-05
ADGRV1,ENSG00000164199.18,-1.54072473617677,1.0698961737150299e-30
NR2F1,ENSG00000175745.15,-1.16993586692858,1.04108601764247e-05
RGMB,ENSG00000174136.13,-0.912580464481274,1.28702056424008e-06
NREP,ENSG00000134986.14,-1.29439246819561,4.328835151391581e-09
EPB41L4A,ENSG00000129595.14,-1.0012135596338,0.0041846976219159
APC,ENSG00000134982.17,-1.93688647446546,1.50366119472456e-19
MCC,ENSG00000171444.19,-0.958881258930967,0.0001086649551506
FEM1C,ENSG00000145780.8,-0.857142294697739,2.25564298320458e-06
CEP120,ENSG00000168944.17,-0.797773337937172,6.87105519428676e-07
ZNF608,ENSG00000168916.16,-1.58416998029587,5.28181431246911e-12
SLC12A2,ENSG00000064651.14,-0.911307079425925,4.86830532129868e-08
ISOC1,ENSG00000066583.12,-0.54482911311194,0.0053897978712067
NRG2,ENSG00000158458.21,-0.774513959050854,0.0001017923270021
DPYSL3,ENSG00000113657.13,-0.951298553342639,1.04786341073892e-08
ABLIM3,ENSG00000173210.20,-0.848285022222041,2.75915560313245e-06
ADAM19,ENSG00000135074.16,-1.99169981803428,2.2397999542374498e-42
MAT2B,ENSG00000038274.18,-0.742188666286863,1.55567884116077e-05
TUBB2B,ENSG00000137285.11,-1.40172703974135,5.38724880501166e-11
PXDC1,ENSG00000168994.14,-0.911806248622082,8.02280619395812e-06
NEDD9,ENSG00000111859.17,-3.73854846814772,4.77469502230009e-90
EDN1,ENSG00000078401.7,-3.45023438938866,3.45801769215655e-08
GFOD1,ENSG00000145990.11,-1.6422796733447,3.47148499324212e-24
JARID2,ENSG00000008083.14,-0.937297499891788,2.67460759142763e-05
ATXN1,ENSG00000124788.19,-0.759927575076917,0.0003219988615399
CAP2,ENSG00000112186.13,-0.665731916908451,0.0003660546347616
KIF13A,ENSG00000137177.20,-1.03853991193897,1.10607700908415e-12
TRIM27,ENSG00000204713.11,-0.505134662808441,0.005498934718598
PIM1,ENSG00000137193.14,-0.770744762488608,2.10152835480836e-06
ZFAND3,ENSG00000156639.12,-0.680093047999986,0.0005489072790496
TFAP2B,ENSG00000008196.13,-3.11822275906588,1.51882850210013e-21
GSTA4,ENSG00000170899.11,-0.960519199183616,0.0006256280677451
ELOVL5,ENSG00000012660.14,-1.60680118023762,3.93277723372977e-15
LRRC1,ENSG00000137269.15,-0.990039404773252,9.024606835433401e-10
BMP5,ENSG00000112175.8,-2.14635835961658,0.003557049226433
DST,ENSG00000151914.22,-1.52545630923125,2.84176490774594e-15
ORC3,ENSG00000135336.16,-0.653718466331316,0.0003644690673513
AKIRIN2,ENSG00000135334.9,-0.687241539734268,9.71583785510384e-05
POU3F2,ENSG00000184486.10,-1.90897079601039,1.91600073690547e-18
FAXC,ENSG00000146267.12,-2.1896505623105,7.98880748738966e-44
GRIK2,ENSG00000164418.22,-2.96841015189896,2.81580921839357e-32
POPDC3,ENSG00000132429.10,-2.01517873386396,3.554726165513051e-15
PREP,ENSG00000085377.15,-1.09217433036339,3.00648809007941e-08
PRDM1,ENSG00000057657.17,-1.28030971643402,4.01449423981706e-07
FYN,ENSG00000010810.18,-0.835875464036317,1.76827356176725e-08
TUBE1,ENSG00000074935.14,-0.57111123266493,0.0049968702238011
LAMA4,ENSG00000112769.20,-0.908780369095136,3.1541988959573903e-09
MARCKS,ENSG00000277443.3,-2.31380455495265,2.40373352381928e-52
CEP85L,ENSG00000111860.14,-1.04643055660453,9.7999475792137e-07
GJA1,ENSG00000152661.9,-1.93566535822429,3.31236827599274e-27
HSF2,ENSG00000025156.13,-0.732876098105894,8.74916417699832e-06
ARHGAP18,ENSG00000146376.11,-1.16332695434386,3.4273528205338903e-15
TNFAIP3,ENSG00000118503.17,-1.79712691846483,9.36677009609169e-16
NHSL1,ENSG00000135540.12,-1.63515757112048,1.92795001038124e-17
REPS1,ENSG00000135597.19,-0.795021070666984,9.04690849735975e-08
UTRN,ENSG00000152818.20,-1.50456391228412,1.1320954801592401e-21
EPM2A,ENSG00000112425.16,-1.12469704772034,0.0002011590550684
SHPRH,ENSG00000146414.17,-0.543046214324038,0.0012702772629374
SASH1,ENSG00000111961.19,-0.802189846876438,1.35414946648674e-05
UST,ENSG00000111962.8,-0.640992540387076,7.16543100150423e-05
PLEKHG1,ENSG00000120278.17,-2.39720296335002,4.8377869021956e-54
AKAP12,ENSG00000131016.17,-0.52767960398608,0.0085997654831491
CNKSR3,ENSG00000153721.19,-1.2473164359021,1.6418642926456798e-12
TFB1M,ENSG00000029639.11,-0.654259748799278,0.000296216485221
ARID1B,ENSG00000049618.25,-0.857898044727813,9.91669607889004e-06
ZDHHC14,ENSG00000175048.17,-0.489277662269103,0.0073524636940122
SERAC1,ENSG00000122335.17,-1.44785048210458,1.81474994309205e-22
AGPAT4,ENSG00000026652.15,-0.890003030012877,1.25601525839189e-07
RPS6KA2,ENSG00000071242.12,-0.73075299666479,0.001494070804588
CYTH3,ENSG00000008256.16,-0.783128273410122,5.79856380987525e-06
PHF14,ENSG00000106443.17,-1.0479781274217,4.15073409070334e-14
HDAC9,ENSG00000048052.25,-3.22563118382858,7.408499937293351e-54
ITGB8,ENSG00000105855.10,-2.45917678636997,7.79304036986243e-29
CREB5,ENSG00000146592.17,-1.79673554056949,7.030950721901701e-16
SCRN1,ENSG00000136193.17,-0.573066542414712,0.0062088158567674
ELMO1,ENSG00000155849.16,-0.720598101132757,0.0011690438415063
STARD3NL,ENSG00000010270.14,-0.556690386994465,0.0016973201525941
UPP1,ENSG00000183696.14,-1.08397806487537,1.60102717520571e-05
ABCA13,ENSG00000179869.15,-3.49614077901689,2.7380992880206797e-12
PSPH,ENSG00000146733.14,-0.629578595204094,0.0019642744472591
TPST1,ENSG00000169902.15,-0.665792001246412,0.0012940304613995
GSAP,ENSG00000186088.16,-0.649082493862937,0.0066999393363474
RSBN1L,ENSG00000187257.16,-0.464973556270903,0.0028701788177458
MAGI2,ENSG00000187391.22,-2.74740164354238,6.15872600978682e-40
SEMA3C,ENSG00000075223.14,-1.94770845454899,3.07073914105099e-16
SEMA3A,ENSG00000075213.11,-3.40811894440273,1.71704164953175e-50
TP53TG1,ENSG00000182165.20,-1.49485352651194,1.35414946648674e-05
SRI,ENSG00000075142.14,-0.826559906704909,2.41067712290023e-08
STEAP4,ENSG00000127954.13,-2.39808971252023,9.89498549457469e-07
CDK14,ENSG00000058091.17,-0.868132284588225,1.65361192837659e-07
CYP51A1,ENSG00000001630.18,-0.968668126166195,0.0012869034076196
CDK6,ENSG00000105810.10,-0.763726206696508,2.90628791264882e-06
SGCE,ENSG00000127990.19,-0.943316809971296,1.94905151816889e-06
PEG10,ENSG00000242265.6,-2.08568277817027,5.08677918260771e-36
DLX6,ENSG00000006377.11,-0.82210022183228,0.0098596274144182
DLX5,ENSG00000105880.7,-1.81335557897777,1.08780962362984e-07
ASNS,ENSG00000070669.17,-1.3928755972382,0.0002711596001313
SRPK2,ENSG00000135250.17,-0.489979768830156,0.0031812860702018
LAMB4,ENSG00000091128.13,-1.56924436529946,0.0031404069358336
DOCK4,ENSG00000128512.24,-1.96740137136342,4.42221472089614e-17
CAV2,ENSG00000105971.15,-0.683865743724766,0.0016910743343465
CPED1,ENSG00000106034.18,-2.98018614138298,2.35619278995666e-26
PTPRZ1,ENSG00000106278.12,-3.84487163863617,1.74755621896524e-08
GRM8,ENSG00000179603.19,-2.30251651663659,2.94765889667466e-07
AHCYL2,ENSG00000158467.17,-0.567635991100377,0.00142475815721
CALD1,ENSG00000122786.20,-1.39188333271336,1.42224898823416e-16
TMEM140,ENSG00000146859.6,-0.836069320076598,0.0031793714754896
PTN,ENSG00000105894.13,-0.913762937123756,2.04045636614212e-05
TRIM24,ENSG00000122779.18,-1.94568183352886,2.3337821190422998e-43
KIAA1549,ENSG00000122778.10,-0.692858088695229,0.0005781825742044
HIPK2,ENSG00000064393.16,-1.19898536417641,9.1213161118075e-07
TBXAS1,ENSG00000059377.19,-0.740315872932877,0.0036064959246261
AGK,ENSG00000006530.18,-0.829936117691387,1.7297962256418e-06
ZNF777,ENSG00000196453.8,-0.861661236340509,0.0002186373973227
ZDHHC2,ENSG00000104219.13,-0.893725716685844,3.13859788546191e-08
CDCA2,ENSG00000184661.14,-0.588364529158723,0.0035254070103884
FZD3,ENSG00000104290.11,-0.950728183399114,4.2101340647757303e-10
TACC1,ENSG00000147526.20,-0.796953752780296,2.68749427854444e-08
SNAI2,ENSG00000019549.13,-2.00334457540926,6.98281827878166e-16
XKR4,ENSG00000206579.9,-3.21309288362463,9.94690466898606e-10
NSMAF,ENSG00000035681.9,-0.817532442458611,1.54180985089271e-07
NKAIN3,ENSG00000185942.13,-2.33827568955897,0.0019461346867858
ARFGEF1,ENSG00000066777.9,-0.647846607226313,8.05126419680894e-06
SULF1,ENSG00000137573.14,-1.88637986844543,3.55184256362737e-19
SLCO5A1,ENSG00000137571.11,-1.14787981656788,5.37841489535419e-13
NCOA2,ENSG00000140396.13,-0.881079929769423,2.18805346117306e-06
TERF1,ENSG00000147601.15,-0.533519400995732,0.0025374739755174
GDAP1,ENSG00000104381.14,-2.58933167038115,3.29941459119069e-41
ZBTB10,ENSG00000205189.12,-1.40642559581688,7.845511653122619e-22
LRRCC1,ENSG00000133739.16,-1.21524047515743,6.69301419390089e-08
CA13,ENSG00000185015.8,-0.566920478960221,0.0027576524077945
RAD54B,ENSG00000197275.14,-0.91392504500108,9.31458415821694e-08
LRP12,ENSG00000147650.12,-1.04776206160019,7.289002699074499e-12
ZFPM2,ENSG00000169946.14,-1.38865612539688,0.0002336354332778
ANGPT1,ENSG00000154188.10,-1.94836631871428,2.87816471250493e-15
TRPS1,ENSG00000104447.13,-1.23244709388917,3.5305640557633502e-09
COL14A1,ENSG00000187955.13,-2.09740767983612,1.65406161913317e-13
HAS2,ENSG00000170961.7,-2.65989160761186,1.5530227739551e-05
FBXO32,ENSG00000156804.7,-2.33282984950909,1.08497924036781e-41
ANXA13,ENSG00000104537.17,-2.89688354675029,5.98758408609455e-06
TMEM65,ENSG00000164983.9,-0.474715991561365,0.0030124012839214
ST3GAL1,ENSG00000008513.16,-0.737519394203934,0.003986340349282
KHDRBS3,ENSG00000131773.15,-2.220268959425,6.86783448216444e-43
PDCD1LG2,ENSG00000197646.8,-0.880341939994608,0.0025418796648971
LURAP1L,ENSG00000153714.6,-2.54753474748371,2.14009225222155e-60
MPDZ,ENSG00000107186.17,-0.607101729916258,0.0079105332022702
NFIB,ENSG00000147862.18,-0.661757263503936,0.0013095947652427
SNAPC3,ENSG00000164975.16,-0.720089845128395,8.60302389609091e-06
BNC2,ENSG00000173068.19,-0.946632581650755,2.15255497330898e-08
ADAMTSL1,ENSG00000178031.18,-2.76721636500713,4.91691211713635e-24
MTAP,ENSG00000099810.21,-0.434029388326705,0.0085789770444726
ELAVL2,ENSG00000107105.15,-2.04359476173621,1.88573991304224e-07
LINGO2,ENSG00000174482.11,-2.27851587111928,4.435267662945991e-31
APBA1,ENSG00000107282.9,-0.937782758222276,1.22771244025636e-05
TRPM3,ENSG00000083067.25,-3.79500342306233,1.07876090238064e-36
TMC1,ENSG00000165091.18,-1.91417626223378,0.0001571239426244
PRUNE2,ENSG00000106772.19,-1.29956092387197,0.0001688416305776
GNAQ,ENSG00000156052.11,-1.1366624901723,1.2568107431836e-13
TLE4,ENSG00000106829.21,-0.752215505348835,0.0003288041849918
NTRK2,ENSG00000148053.18,-1.44979897592703,3.02773073755532e-08
TDRD7,ENSG00000196116.8,-0.937158886905329,0.0025173932126852
GABBR2,ENSG00000136928.7,-2.78223361318905,6.08769293240366e-23
ZNF462,ENSG00000148143.13,-0.885690899593457,0.0001358279419125
TMEM245,ENSG00000106771.13,-0.481653687931567,0.0019573628737555
ZNF618,ENSG00000157657.15,-0.737613926161294,9.63909145044788e-05
ATP6V1G1,ENSG00000136888.8,-0.717755536262949,0.0001132573051154
ZBTB34,ENSG00000177125.6,-0.616081233323124,0.0022283730908675
ABL1,ENSG00000097007.20,-0.89686748847014,1.25848680834148e-09
AIF1L,ENSG00000126878.13,-1.11295553610174,1.32838921131638e-05
ZMYND11,ENSG00000015171.21,-0.612013211984176,0.0004719358583772
PFKFB3,ENSG00000170525.21,-0.427472224948874,0.0098581261772688
WAC,ENSG00000095787.26,-0.685005580480162,0.0038275303534372
SVIL,ENSG00000197321.16,-0.629495839644353,8.13655869126013e-05
ARHGAP12,ENSG00000165322.18,-0.634392276477497,0.0003894345216044
CCNY,ENSG00000108100.18,-0.803375112663571,3.66021628596774e-06
PRKG1,ENSG00000185532.20,-1.5528098019105,4.47408248346489e-07
IPMK,ENSG00000151151.6,-0.607617562032173,0.0027916840881856
PHYHIPL,ENSG00000165443.12,-1.53575110349028,4.98797766563833e-05
FAM13C,ENSG00000148541.13,-1.56475021561286,5.8290733465088604e-21
SLC16A9,ENSG00000165449.12,-0.921538289525077,1.91141589896369e-06
ANK3,ENSG00000151150.22,-2.00677120708192,5.96403957359228e-16
ARID5B,ENSG00000150347.17,-3.59196704511392,1.16402932232266e-44
JMJD1C,ENSG00000171988.20,-1.22293366291613,1.0488345800316e-11
TET1,ENSG00000138336.9,-0.955511590637217,1.84493026254102e-05
MCU,ENSG00000156026.15,-0.572737653682477,0.0031676185038016
CCSER2,ENSG00000107771.17,-0.72877710100419,3.11368461923221e-06
BMPR1A,ENSG00000107779.14,-0.539871494449329,0.0016880990294221
PLCE1,ENSG00000138193.17,-1.25960790598309,9.64148942002472e-16
SORBS1,ENSG00000095637.23,-0.797207959830072,0.0014352024353699
LCOR,ENSG00000196233.14,-0.575303150321787,0.0031693513406563
LDB1,ENSG00000198728.11,-0.550290190420829,0.0019729143450674
NT5C2,ENSG00000076685.19,-0.499266365454776,0.0038240655638667
RBM20,ENSG00000203867.8,-0.958037326600159,5.76730718038616e-05
TCF7L2,ENSG00000148737.18,-0.832939021365339,0.0006675243999859
ABLIM1,ENSG00000099204.22,-1.35455965616215,1.68894352607341e-12
GFRA1,ENSG00000151892.16,-1.00484953886388,1.80254453453237e-12
INPP5F,ENSG00000198825.15,-1.24916120165803,6.325069818079571e-14
CTBP2,ENSG00000175029.17,-0.4862589242795,0.0049586158837419
EIF4G2,ENSG00000110321.19,-0.75627285277005,3.40310670273137e-07
PARVA,ENSG00000197702.14,-0.61100222299247,0.000587118875313
TEAD1,ENSG00000187079.20,-0.728155773378311,0.0001086649551506
SOX6,ENSG00000110693.19,-3.03757573312464,4.12427820995993e-22
FANCF,ENSG00000183161.6,-0.715645784959056,0.0023361608499199
CAPRIN1,ENSG00000135387.21,-0.485038844795364,0.0085438447579942
EHF,ENSG00000135373.13,-1.7546328145234,2.77220803045172e-10
CD44,ENSG00000026508.21,-1.10464730069842,4.97845096664919e-06
LRRC4C,ENSG00000148948.8,-0.872600560213241,0.0042173334328761
LRP4,ENSG00000134569.10,-0.768969332224225,1.05219790325671e-06
LPXN,ENSG00000110031.13,-0.906592036122662,0.0002910646101857
FAM111A,ENSG00000166801.17,-0.579788026626447,0.0001850142220742
SLC3A2,ENSG00000168003.19,-1.0908550048541,1.31126597746701e-06
EHD1,ENSG00000110047.18,-0.51789711206704,0.0020038537069662
TMEM135,ENSG00000166575.17,-0.686632031649696,1.98020047196883e-05
MAML2,ENSG00000184384.14,-1.92229711542588,1.3041024155147e-14
YAP1,ENSG00000137693.14,-0.491093106242542,0.0015362789252733
MMP7,ENSG00000137673.9,-1.89072208206595,1.66631145458426e-10
CADM1,ENSG00000182985.18,-0.6320840865464,0.0022345054715313
ARHGEF12,ENSG00000196914.9,-0.555957200956662,0.0003836320765733
TECTA,ENSG00000109927.11,-0.774580457291982,0.0034043775364411
SC5D,ENSG00000109929.10,-0.666774240150026,0.0003285165512305
ARHGAP32,ENSG00000134909.19,-0.642652441839231,0.0044352125812046
ADAMTS15,ENSG00000166106.4,-2.46966264688602,1.74066501744229e-52
NTM,ENSG00000182667.15,-2.124975012775,5.82463651266642e-08
B4GALNT3,ENSG00000139044.12,-0.566345502790326,0.0018576267668606
ETV6,ENSG00000139083.11,-0.842620918032645,3.39662615424029e-06
SOX5,ENSG00000134532.20,-3.03871711664065,3.53287944804055e-43
