ensembl_id,gene_symbol,log2FoldChange,padj
ENSG00000047936,ROS1,-3.01391233027866,8.77501122047055e-52
ENSG00000113361,CDH6,-3.52361227165955,3.19510966812159e-51
ENSG00000139263,LRIG3,-2.53552557824936,1.17193940610382e-50
ENSG00000075213,SEMA3A,-3.40811894440273,1.71704164953175e-50
ENSG00000246985,SOCS2-AS1,-3.21690467504923,2.00276893874067e-49
ENSG00000114200,BCHE,-3.83880713581027,2.32258889984672e-49
ENSG00000038427,VCAN,-2.85104977207484,1.3688532605671e-48
ENSG00000044524,EPHA3,-2.56491641494076,1.59519241998252e-48
ENSG00000174130,TLR6,-3.09484271489442,2.2552640405592098e-48
ENSG00000128656,CHN1,-2.61895644194789,3.0406124479470596e-48
ENSG00000184588,PDE4B,-2.68487717637977,6.77561354622331e-47
ENSG00000227640,SOX21-AS1,-3.83245333307331,6.77561354622331e-47
ENSG00000162595,DIRAS3,-2.40374273399186,7.959849852548991e-47
ENSG00000166394,CYB5R2,-3.93951485568292,1.1620839357585101e-46
ENSG00000116132,PRRX1,-2.01246042511029,9.139009955965541e-46
ENSG00000162692,VCAM1,-2.89795034797317,1.20645778277915e-45
ENSG00000143341,HMCN1,-2.55637294677949,1.36596846313265e-45
ENSG00000026950,BTN3A1,-2.60359341919242,5.69405868947089e-45
ENSG00000150347,ARID5B,-3.59196704511392,1.16402932232266e-44
ENSG00000227502,LINC01268,-3.18418487432969,1.23974374726915e-44
ENSG00000026025,VIM,-1.95031150058761,4.94535251518537e-44
ENSG00000012504,NR1H4,-5.08081216054171,5.688627422141331e-44
ENSG00000146267,FAXC,-2.1896505623105,7.98880748738966e-44
ENSG00000186470,BTN3A2,-2.3457328978024,1.37477095169716e-43
ENSG00000122779,TRIM24,-1.94568183352886,2.3337821190422998e-43
ENSG00000134532,SOX5,-3.03871711664065,3.53287944804055e-43
ENSG00000167552,TUBA1A,-2.45314924739111,3.7289806533893496e-43
ENSG00000178695,KCTD12,-2.01720225215583,4.61935891771392e-43
ENSG00000131773,KHDRBS3,-2.220268959425,6.86783448216444e-43
ENSG00000135074,ADAM19,-1.99169981803428,2.2397999542374498e-42
ENSG00000251320,AC011352.3,-7.05000182132452,2.3819902721261197e-42
ENSG00000156804,FBXO32,-2.33282984950909,1.08497924036781e-41
ENSG00000165617,DACT1,-2.25243139277562,2.28060430898092e-41
ENSG00000138685,FGF2,-1.91534596385866,2.28949967130328e-41
ENSG00000104381,GDAP1,-2.58933167038115,3.29941459119069e-41
ENSG00000255248,MIR100HG,-2.1275382268998,4.24129326471995e-41
ENSG00000137962,ARHGAP29,-2.05219217374488,1.1315748895556299e-40
ENSG00000288557,,-5.11434683437359,1.23794030693645e-40
ENSG00000091129,NRCAM,-2.06623879392027,1.91778330458549e-40
ENSG00000133121,STARD13,-1.99486388482006,2.46864941492226e-40
ENSG00000104055,TGM5,-2.64946803884116,3.35401833672442e-40
ENSG00000187391,MAGI2,-2.74740164354238,6.15872600978682e-40
ENSG00000154556,SORBS2,-2.57030051283015,7.44412083011033e-40
ENSG00000139211,AMIGO2,-3.00246279981932,1.12392316671864e-39
ENSG00000158560,DYNC1I1,-2.70544284556934,1.4010084814349e-39
ENSG00000180801,ARSJ,-1.78974019981196,1.92125586178486e-39
ENSG00000103852,TTC23,-2.07308013933845,4.2441618077324203e-38
ENSG00000124479,NDP,-3.79326444760128,5.13318191407574e-38
ENSG00000245552,AP000787.1,-2.53544744525542,1.21444597973176e-37
ENSG00000081189,MEF2C,-2.47996808878964,1.3439608714376401e-37
ENSG00000150782,IL18,-2.18778504316011,1.56631718767235e-37
ENSG00000144406,UNC80,-3.00485934471518,3.15307662059075e-37
ENSG00000171951,SCG2,-3.26120420428381,3.60999407844403e-37
ENSG00000169933,FRMPD4,-4.00349579954406,4.27295687656406e-37
ENSG00000213190,MLLT11,-1.97524031722435,5.0282275172805e-37
ENSG00000134827,TCN1,-3.94590773081963,7.54690355825772e-37
ENSG00000078018,MAP2,-3.4051277278658,8.09234860604553e-37
ENSG00000083067,TRPM3,-3.79500342306233,1.07876090238064e-36
ENSG00000153233,PTPRR,-3.90721883240054,1.3094896836638199e-36
ENSG00000274750,HIST1H3E,-2.54986896937005,1.4465395931460698e-36
ENSG00000215386,MIR99AHG,-2.74024639731646,1.7474847055066697e-36
ENSG00000117226,GBP3,-2.32650400292395,2.64751478575191e-36
ENSG00000242265,PEG10,-2.08568277817027,5.08677918260771e-36
ENSG00000204767,FAM196B,-2.1552407459978,9.192112753619969e-36
ENSG00000169760,NLGN1,-2.20911080235551,1.9948071501323602e-35
ENSG00000149212,SESN3,-2.86816484586677,5.10273004213835e-35
ENSG00000135842,FAM129A,-1.67898617358851,1.40168503753116e-34
ENSG00000144810,COL8A1,-2.6358555684166,1.9033915261330898e-34
ENSG00000196196,HRCT1,-2.43914284291127,2.83653919739718e-34
ENSG00000144642,RBMS3,-2.25943755990063,5.0866106811438e-34
ENSG00000184564,SLITRK6,-3.9098012957087,5.3073281894261e-34
ENSG00000153253,SCN3A,-3.85561652461683,1.16381853548218e-33
ENSG00000064042,LIMCH1,-2.04315479009269,1.45056586070684e-33
ENSG00000168685,IL7R,-2.20550097959643,1.5254004302055399e-33
ENSG00000240476,LINC00973,-5.14570512425812,1.8000029637597298e-33
ENSG00000287066,,-3.18127850414483,1.84574482771821e-33
ENSG00000229989,MIR181A1HG,-2.91915952863541,3.08868628574163e-33
ENSG00000154589,LY96,-2.73431175195255,6.22506788369772e-33
ENSG00000249106,AC097537.1,-3.08523155313429,7.6410773665085e-33
ENSG00000250033,SLC7A11-AS1,-3.2439943612242,1.12281049246203e-32
ENSG00000226053,LINC01776,-3.49865937496174,1.34453980029548e-32
ENSG00000196954,CASP4,-2.70222650874109,2.46566679672697e-32
ENSG00000164418,GRIK2,-2.96841015189896,2.81580921839357e-32
ENSG00000145416,MARCH1,-2.56412996417829,2.95149449888038e-32
ENSG00000241560,ZBTB20-AS1,-2.20600389771223,3.52312274233156e-32
ENSG00000183722,LHFPL6,-2.15523071971665,3.90300142740755e-32
ENSG00000138650,PCDH10,-2.12296824947448,7.18454608164196e-32
ENSG00000259828,AL355596.1,-4.56889730269959,7.18454608164196e-32
ENSG00000236581,STARD13-AS,-1.9496246925188,1.3129989797392998e-31
ENSG00000280432,AP000962.2,-2.75228585628954,1.40165384249069e-31
ENSG00000262001,DLGAP1-AS2,-2.11215961116364,2.68402775551922e-31
ENSG00000174482,LINGO2,-2.27851587111928,4.435267662945991e-31
ENSG00000151458,ANKRD50,-1.71068011639893,4.63645639302802e-31
ENSG00000233237,LINC00472,-1.74847379759857,4.81657589618692e-31
ENSG00000125266,EFNB2,-2.01704175556672,6.62452892265931e-31
ENSG00000164199,ADGRV1,-1.54072473617677,1.0698961737150299e-30
ENSG00000146373,RNF217,-1.82262255402567,1.6962720425945597e-30
ENSG00000196159,FAT4,-2.07777689331371,1.85461983954387e-30
ENSG00000129514,FOXA1,-1.91334888422839,1.97950251328014e-30
ENSG00000144366,GULP1,-1.94684326039252,4.12944328704089e-30
ENSG00000197329,PELI1,-1.85709427239113,4.515265270984779e-30
ENSG00000121207,LRAT,-2.66703547043516,5.0064117560288e-30
ENSG00000171877,FRMD5,-2.07909587368013,5.0175940770567796e-30
ENSG00000018510,AGPS,-1.65239702435936,6.98880718531253e-30
ENSG00000189184,PCDH18,-2.45544704216562,2.6167019086258997e-29
ENSG00000204262,COL5A2,-1.76195263509342,5.44358184808255e-29
ENSG00000253738,OTUD6B-AS1,-2.15590620491908,5.47696750487726e-29
ENSG00000111341,MGP,-1.69964062689797,5.82674846851481e-29
ENSG00000105855,ITGB8,-2.45917678636997,7.79304036986243e-29
ENSG00000131791,PRKAB2,-1.65511565035499,8.17219772787592e-29
ENSG00000123700,KCNJ2,-3.33214763322399,9.406575039401699e-29
ENSG00000072422,RHOBTB1,-1.67577771029326,1.27545734564459e-28
ENSG00000069869,NEDD4,-2.30295820957667,1.67819911062189e-28
ENSG00000151322,NPAS3,-2.29961631450921,1.8231313924163199e-28
ENSG00000073146,MOV10L1,-2.56401666603959,1.8917391988384898e-28
ENSG00000138696,BMPR1B,-1.84006768661601,3.14657889998221e-28
ENSG00000236671,PRKG1-AS1,-3.22196126627096,3.3782127815354098e-28
ENSG00000137393,RNF144B,-2.18936337238802,3.40746574311392e-28
ENSG00000145536,ADAMTS16,-2.03825633884286,4.076526311180849e-28
ENSG00000112144,ICK,-2.08937117141847,5.18528734933991e-28
ENSG00000162496,DHRS3,-1.9516130600691,5.21991579120738e-28
ENSG00000265817,FSBP,-1.66470633587241,6.6656204171035e-28
ENSG00000168675,LDLRAD4,-1.73859081058674,7.232167486550719e-28
ENSG00000166415,WDR72,-3.31449947676019,9.23075376107984e-28
ENSG00000132640,BTBD3,-2.00583642749097,1.17744093034846e-27
ENSG00000198846,TOX,-2.9915992045226,2.58273045322286e-27
ENSG00000152661,GJA1,-1.93566535822429,3.31236827599274e-27
ENSG00000165323,FAT3,-1.56559176331122,4.37515928836865e-27
ENSG00000114279,FGF12,-1.90387475005796,4.6322962169715e-27
ENSG00000224055,GAPDHP55,-2.38146723125128,5.83310312868805e-27
ENSG00000150540,HNMT,-2.38613922298204,7.57828745795227e-27
ENSG00000169302,STK32A,-2.0355527737579,8.40677952363099e-27
ENSG00000235448,LURAP1L-AS1,-2.46488073977439,9.11456295798787e-27
ENSG00000197147,LRRC8B,-2.19156635013063,9.4474173222426e-27
ENSG00000164300,SERINC5,-2.75291729692656,1.0904834040444399e-26
ENSG00000137801,THBS1,-2.76664081851519,1.55286571960647e-26
ENSG00000181722,ZBTB20,-2.45398658614074,1.64348041481974e-26
ENSG00000139278,GLIPR1,-2.70072092922389,1.84241384020983e-26
ENSG00000185046,ANKS1B,-2.16197507257609,1.99057772118632e-26
ENSG00000106034,CPED1,-2.98018614138298,2.35619278995666e-26
ENSG00000171451,DSEL,-1.57326254612041,2.65993908867004e-26
ENSG00000057019,DCBLD2,-1.69470252612573,3.61601853417233e-26
ENSG00000128052,KDR,-2.37223806283558,3.71515829381913e-26
ENSG00000144645,OSBPL10,-1.62360529217263,4.71685036478119e-26
ENSG00000269950,AP000962.1,-2.51599148495453,5.35707000820239e-26
ENSG00000175728,C11orf44,-2.67461033109846,6.86835005797885e-26
ENSG00000170549,IRX1,-1.72001651584898,1.14981715403414e-25
ENSG00000143322,ABL2,-1.8746473777993,1.26066367149866e-25
ENSG00000182621,PLCB1,-1.73286821996849,1.31996813043348e-25
ENSG00000145349,CAMK2D,-1.58675369562854,1.4464135544887501e-25
ENSG00000182287,AP1S2,-1.5771885316893,1.5120445344584901e-25
ENSG00000170006,TMEM154,-1.74093699133868,1.9492937680006302e-25
ENSG00000168386,FILIP1L,-2.14585143682519,2.23830027628929e-25
ENSG00000270071,AP001172.1,-3.07206634398611,2.71583961772822e-25
ENSG00000197261,C6orf141,-2.14889541233489,3.0031762214365203e-25
ENSG00000259070,LINC00639,-2.82420269869948,3.3476799680235104e-25
ENSG00000245526,LINC00461,-2.48540568838134,4.0570259175120603e-25
ENSG00000111801,BTN3A3,-1.88214862256916,4.62778292774351e-25
ENSG00000179300,RTL3,-2.70296365281205,5.380810316125e-25
ENSG00000139289,PHLDA1,-1.52068410751639,7.2210003695687105e-25
ENSG00000089472,HEPH,-2.25320948734782,7.425590537074051e-25
ENSG00000150551,LYPD1,-1.63429632169722,7.957328119597921e-25
ENSG00000175879,HOXD8,-1.98502872742866,8.10422439830564e-25
ENSG00000261824,LINC00662,-1.63963308576434,8.198322950342061e-25
ENSG00000259560,AC020687.1,-3.87658618280853,9.44899471073865e-25
ENSG00000172159,FRMD3,-1.74002479613386,1.08420424905379e-24
ENSG00000196628,TCF4,-1.62819350438653,1.80170870720671e-24
ENSG00000136869,TLR4,-2.15389723644691,1.8713121626298e-24
ENSG00000248092,NNT-AS1,-1.53779591836291,2.72809284619924e-24
ENSG00000067798,NAV3,-3.01953635644913,3.09497946025474e-24
ENSG00000185607,ACTBP7,-2.47771438904132,3.17591515507424e-24
ENSG00000145990,GFOD1,-1.6422796733447,3.47148499324212e-24
ENSG00000155324,GRAMD2B,-1.62498248978737,3.9715204682394005e-24
ENSG00000162836,ACP6,-1.77574587975789,4.08315263326051e-24
ENSG00000079482,OPHN1,-1.66480796067602,4.75636870218083e-24
ENSG00000178031,ADAMTSL1,-2.76721636500713,4.91691211713635e-24
ENSG00000254253,AC022861.1,-3.00533220158962,6.45067440768998e-24
ENSG00000241743,XACT,-2.11196458512399,7.56249689708134e-24
ENSG00000100578,KIAA0586,-1.61110127639845,8.07201802640172e-24
ENSG00000287862,,-3.35083484223384,9.33934008891321e-24
ENSG00000125945,ZNF436,-1.49721235183168,1.0567283088258401e-23
ENSG00000081026,MAGI3,-1.55394739486324,1.2039753260694601e-23
ENSG00000132688,NES,-1.68097840291217,1.6122775163347998e-23
ENSG00000115935,WIPF1,-1.85085184211116,1.64851983522412e-23
ENSG00000242808,SOX2-OT,-4.97544149447098,1.8042287257933e-23
ENSG00000255130,AC022874.1,-2.94295577135081,1.85294610733633e-23
ENSG00000287023,,-4.77303685139485,3.03933643875951e-23
ENSG00000131711,MAP1B,-2.27271451154632,3.40105921700551e-23
ENSG00000003096,KLHL13,-1.88098492483185,3.9796148640390504e-23
ENSG00000225269,LINC00705,-4.91350912562753,4.6362168269603204e-23
ENSG00000162616,DNAJB4,-1.69531747837398,5.28751666732477e-23
ENSG00000138311,ZNF365,-1.9892755906062,5.6898902561559e-23
ENSG00000076716,GPC4,-1.61946984447601,5.84622225462766e-23
ENSG00000136928,GABBR2,-2.78223361318905,6.08769293240366e-23
ENSG00000085511,MAP3K4,-1.3518411365186,6.690617333361e-23
ENSG00000117318,ID3,-1.87983208489053,8.45274132585404e-23
ENSG00000165899,OTOGL,-2.28850375513549,9.48841187534321e-23
ENSG00000156103,MMP16,-1.86797991760206,1.72246722798341e-22
ENSG00000122335,SERAC1,-1.44785048210458,1.81474994309205e-22
ENSG00000118432,CNR1,-3.16488888566143,1.9718659627813299e-22
ENSG00000060718,COL11A1,-1.95289441751072,2.34908374971808e-22
ENSG00000104368,PLAT,-2.34358713380588,2.9899416650214697e-22
ENSG00000143842,SOX13,-1.59069942054093,3.04903690941786e-22
ENSG00000073910,FRY,-2.10918060405432,3.19950960339266e-22
ENSG00000184838,PRR16,-2.83373348820836,3.66167224381956e-22
ENSG00000110693,SOX6,-3.03757573312464,4.12427820995993e-22
ENSG00000139292,LGR5,-2.40672524687548,4.84736035887416e-22
ENSG00000049192,ADAMTS6,-2.16643711098135,5.2960463815786295e-22
ENSG00000081913,PHLPP1,-1.3673876606749,5.735041640341989e-22
ENSG00000137968,SLC44A5,-2.22345318757729,6.14109093645559e-22
ENSG00000177822,AC098864.1,-2.21021331426129,6.28048067178249e-22
ENSG00000205189,ZBTB10,-1.40642559581688,7.845511653122619e-22
ENSG00000125848,FLRT3,-3.62189429846722,8.989513356662339e-22
ENSG00000146247,PHIP,-1.47926146160664,9.32922129539074e-22
ENSG00000152818,UTRN,-1.50456391228412,1.1320954801592401e-21
ENSG00000249825,AC012636.1,-3.07987870267766,1.14620201227529e-21
ENSG00000182901,RGS7,-2.14921587158341,1.23440897991034e-21
ENSG00000008196,TFAP2B,-3.11822275906588,1.51882850210013e-21
ENSG00000182263,FIGN,-1.84555022809708,1.9668504358328402e-21
ENSG00000253661,ZFHX4-AS1,-2.00159652913752,1.9738184297707e-21
ENSG00000167191,GPRC5B,-1.88489772645974,2.134448107837e-21
ENSG00000152402,GUCY1A2,-1.49273683190001,2.32841178745018e-21
ENSG00000253915,MAPRE1P1,-2.47977739820579,2.4920852574878102e-21
ENSG00000184898,RBM43,-1.59634196352207,2.60191141144367e-21
ENSG00000182010,RTKN2,-1.44139839536126,2.76042383188812e-21
ENSG00000286387,,-2.99126895375688,2.87443287056832e-21
ENSG00000048540,LMO3,-1.98299907246501,2.95627232030416e-21
ENSG00000180592,SKIDA1,-2.36212708232703,3.03974595161757e-21
ENSG00000113369,ARRDC3,-1.45614242671281,3.729427768635e-21
ENSG00000115963,RND3,-1.68140835345105,3.94725134492943e-21
ENSG00000132274,TRIM22,-3.06725389361193,4.9383826573689e-21
ENSG00000117707,PROX1,-2.04322868525705,5.4225663965780404e-21
ENSG00000227466,AL590783.1,-2.68177608003124,5.77902506672707e-21
ENSG00000148541,FAM13C,-1.56475021561286,5.8290733465088604e-21
ENSG00000279289,AL136164.3,-1.78193615816291,6.99715843062883e-21
ENSG00000236276,NDP-AS1,-3.52739732660767,1.15556710897912e-20
ENSG00000139865,TTC6,-2.03419338853543,1.2179624971105801e-20
ENSG00000239381,AC125613.1,-5.00891626610909,1.4855702428884e-20
ENSG00000178694,NSUN3,-2.02389235503177,1.5354192060960602e-20
ENSG00000124766,SOX4,-1.26523108546533,1.7478965488595502e-20
ENSG00000139946,PELI2,-1.42804350384792,2.06293446530029e-20
ENSG00000154678,PDE1C,-1.34522790451141,2.15923122746544e-20
ENSG00000184304,PRKD1,-1.86788244895283,2.68872234446853e-20
ENSG00000170558,CDH2,-1.74028349248674,3.6096615653296403e-20
ENSG00000203865,ATP1A1-AS1,-1.37091714608527,4.1096521166025e-20
ENSG00000173376,NDNF,-2.53331826256342,4.7120645050397e-20
ENSG00000132357,CARD6,-1.83483728498301,5.1780530299392504e-20
ENSG00000258655,ARHGAP5-AS1,-2.50514192614394,7.873275913386451e-20
ENSG00000151612,ZNF827,-1.71817300062767,9.2606791404853e-20
ENSG00000254416,AP000924.1,-2.5542190906468,9.56990899081723e-20
ENSG00000173598,NUDT4,-2.12607388979153,1.10285196269972e-19
ENSG00000164294,GPX8,-1.40069292252563,1.2211853708959e-19
ENSG00000185630,PBX1,-2.12651093364178,1.29555327549196e-19
ENSG00000135048,TMEM2,-1.63129876642978,1.4978332862524802e-19
ENSG00000134982,APC,-1.93688647446546,1.50366119472456e-19
ENSG00000115380,EFEMP1,-1.7166422398253,2.0236578141578102e-19
ENSG00000151470,C4orf33,-1.71626507377701,2.1805239156694e-19
ENSG00000163399,ATP1A1,-1.28948792709695,2.27718330249103e-19
ENSG00000276107,AC037198.1,-2.59302932438896,2.37036731694437e-19
ENSG00000071282,LMCD1,-2.00140559893181,2.4154325864835803e-19
ENSG00000184613,NELL2,-2.64247689171139,2.50678638348668e-19
ENSG00000074706,IPCEF1,-2.66290382977985,3.11663280912197e-19
ENSG00000137573,SULF1,-1.88637986844543,3.55184256362737e-19
ENSG00000253976,AC022679.2,-2.77308598280891,3.58923153491925e-19
ENSG00000285979,,-1.74293016513929,4.13169530328791e-19
ENSG00000198948,MFAP3L,-1.64654322852488,4.17914132064508e-19
ENSG00000170989,S1PR1,-2.70691226343726,4.3052290334200903e-19
ENSG00000176049,JAKMIP2,-1.7656211245297,4.92852524844117e-19
ENSG00000109819,PPARGC1A,-2.13165335509421,5.31502100488756e-19
ENSG00000186575,NF2,-1.36978420279354,6.187914040617861e-19
ENSG00000177425,PAWR,-1.27548410968499,7.156681355205951e-19
ENSG00000184486,POU3F2,-1.90897079601039,1.91600073690547e-18
ENSG00000282834,AP000787.3,-2.75846100800886,2.00569335953846e-18
ENSG00000109265,KIAA1211,-1.6289694577818,4.03369070523068e-18
ENSG00000021826,CPS1,-1.56681907389105,4.11431658343594e-18
ENSG00000029993,HMGB3,-1.38136456207608,4.4195739520216195e-18
ENSG00000232053,AC078845.1,-2.7089116780418,4.5453127503395495e-18
ENSG00000115504,EHBP1,-1.25855883547715,5.07877604868276e-18
ENSG00000291075,,-1.89138494919259,7.22223187796766e-18
ENSG00000267136,AP005131.1,-1.59204394463859,9.076240309585829e-18
ENSG00000003436,TFPI,-1.58081900689895,9.2331953635585e-18
ENSG00000157259,GATAD1,-1.34640975532159,1.13068693837815e-17
ENSG00000118922,KLF12,-1.64132401972282,1.4023798945317102e-17
ENSG00000100105,PATZ1,-1.52572781330676,1.51552545831839e-17
ENSG00000204272,NBDY,-1.41002144458209,1.6440405428648302e-17
ENSG00000113396,SLC27A6,-2.72748542950396,1.79006737205901e-17
ENSG00000179761,PIPOX,-1.67596520316144,1.91991711395224e-17
ENSG00000135540,NHSL1,-1.63515757112048,1.92795001038124e-17
ENSG00000254187,AC008708.2,-2.53960613950456,2.15522359062651e-17
ENSG00000249867,AC090833.1,-3.01963469423991,2.26703740223695e-17
ENSG00000196935,SRGAP1,-1.34801247916171,2.3741887156021e-17
ENSG00000156475,PPP2R2B,-1.58038233189178,2.6173950840451e-17
ENSG00000169991,IFFO2,-1.47179802687408,2.72818634059693e-17
ENSG00000136160,EDNRB,-2.6164787877972,2.89418338037679e-17
ENSG00000243978,RTL9,-2.92705739503442,2.9078342185823e-17
ENSG00000149295,DRD2,-2.02360217066,3.12254159207427e-17
ENSG00000182168,UNC5C,-1.62685361125715,3.70683096131987e-17
ENSG00000198756,COLGALT2,-1.53765996065825,3.79780570288573e-17
ENSG00000249835,VCAN-AS1,-2.85542229686652,4.12965491977429e-17
ENSG00000128512,DOCK4,-1.96740137136342,4.42221472089614e-17
ENSG00000255431,OR5B19P,-3.44913558644399,4.71801136985131e-17
ENSG00000111261,MANSC1,-2.08928440686017,4.7242481652826e-17
ENSG00000075391,RASAL2,-1.42781304059372,4.93690882038502e-17
ENSG00000289008,,-2.38701857521244,6.81605026982332e-17
ENSG00000062716,VMP1,-1.43404149836411,7.358727113805051e-17
ENSG00000145632,PLK2,-1.81975597642998,8.20507985604173e-17
ENSG00000256771,ZNF253,-1.46225898996315,8.611247081761381e-17
ENSG00000134853,PDGFRA,-1.93985073135343,8.9785946805105e-17
ENSG00000079931,MOXD1,-1.34014950264312,1.02798155826183e-16
ENSG00000284977,AL160272.1,-2.72196590944071,1.11696825414106e-16
ENSG00000197044,ZNF441,-1.40610936227936,1.40609671058132e-16
ENSG00000122786,CALD1,-1.39188333271336,1.42224898823416e-16
ENSG00000251675,AC010260.1,-2.88800661081449,1.6367297451829199e-16
ENSG00000238230,LINC00391,-2.59563267377614,1.67822431250896e-16
ENSG00000197442,MAP3K5,-1.14173514890191,1.69318124781191e-16
ENSG00000290923,,-2.06875423804879,1.69318124781191e-16
ENSG00000188042,ARL4C,-1.25090798344109,1.74913874090694e-16
ENSG00000128965,CHAC1,-1.90867941063497,1.74913874090694e-16
ENSG00000040731,CDH10,-2.63463680115382,1.85809997031135e-16
ENSG00000124380,SNRNP27,-1.33790505278369,2.01301168590609e-16
ENSG00000067113,PLPP1,-1.43629152305289,2.2716779697718e-16
ENSG00000130338,TULP4,-1.21521798599178,2.5026842087797e-16
ENSG00000277075,HIST1H2AE,-1.49633872467302,2.62093120738209e-16
ENSG00000075223,SEMA3C,-1.94770845454899,3.07073914105099e-16
ENSG00000109220,CHIC2,-1.29890754680754,3.28175415431563e-16
ENSG00000151491,EPS8,-1.37525648893854,3.44796809642287e-16
ENSG00000164128,NPY1R,-2.07983006213639,4.06110559025504e-16
ENSG00000145242,EPHA5,-1.64151658972639,4.26806788697084e-16
ENSG00000155090,KLF10,-1.91715383648546,4.43076591897022e-16
ENSG00000178033,CALHM5,-2.51442542379802,4.95833933557637e-16
ENSG00000104177,MYEF2,-1.28417142421451,5.35012286264565e-16
ENSG00000093144,ECHDC1,-1.17627722914703,5.68029557913264e-16
ENSG00000164442,CITED2,-1.48727713637604,5.85072115815526e-16
ENSG00000151150,ANK3,-2.00677120708192,5.96403957359228e-16
ENSG00000019549,SNAI2,-2.00334457540926,6.98281827878166e-16
ENSG00000146592,CREB5,-1.79673554056949,7.030950721901701e-16
ENSG00000235387,SPAAR,-1.7777751682542,7.18547092967928e-16
ENSG00000280077,AL353763.2,-2.35192558395179,7.24825432200694e-16
ENSG00000120370,GORAB,-1.66856263688368,8.23920804441135e-16
ENSG00000135549,PKIB,-2.68280186783987,8.49411369856889e-16
ENSG00000187231,SESTD1,-1.12836482803581,9.01322490373217e-16
ENSG00000118503,TNFAIP3,-1.79712691846483,9.36677009609169e-16
ENSG00000073712,FERMT2,-1.20919342558039,9.37886144500521e-16
ENSG00000138193,PLCE1,-1.25960790598309,9.64148942002472e-16
ENSG00000224531,SMIM13,-1.35012246912224,1.07807160393167e-15
ENSG00000171940,ZNF217,-1.24628698334912,1.2404714887306101e-15
ENSG00000102226,USP11,-1.33624709331308,1.26372224561962e-15
ENSG00000212961,HNRNPA1P40,-2.74424209773894,1.44097358239715e-15
ENSG00000107372,ZFAND5,-1.20234762174686,1.5707511824979e-15
ENSG00000116675,DNAJC6,-1.37346940544096,1.6126679772872501e-15
ENSG00000083290,ULK2,-1.28108727796239,1.8260771007477502e-15
ENSG00000073331,ALPK1,-1.33175706674246,2.13950147300176e-15
