ensembl_id,gene_symbol
ENSG00000153714,LURAP1L
ENSG00000147145,LPAR4
ENSG00000120833,SOCS2
ENSG00000028137,TNFRSF1B
ENSG00000146250,PRSS35
ENSG00000107731,UNC5B
ENSG00000088386,SLC15A1
ENSG00000116661,FBXO2
ENSG00000233901,LINC01503
ENSG00000115596,WNT6
ENSG00000117266,CDK18
ENSG00000060656,PTPRU
ENSG00000182022,CHST15
ENSG00000162511,LAPTM5
ENSG00000049540,ELN
ENSG00000153012,LGI2
ENSG00000276644,DACH1
ENSG00000142623,PADI1
ENSG00000242759,LINC00882
ENSG00000176092,CRYBG2
ENSG00000172005,MAL
ENSG00000106624,AEBP1
ENSG00000264230,ANXA8L1
ENSG00000120278,PLEKHG1
ENSG00000048052,HDAC9
ENSG00000077092,RARB
ENSG00000127329,PTPRB
ENSG00000138623,SEMA7A
ENSG00000277363,SRCIN1
ENSG00000165071,TMEM71
ENSG00000184985,SORCS2
ENSG00000149506,ZP1
ENSG00000129988,LBP
ENSG00000166106,ADAMTS15
ENSG00000277443,MARCKS
ENSG00000164125,FAM198B
ENSG00000090539,CHRD
ENSG00000158714,SLAMF8
ENSG00000143512,HHIPL2
ENSG00000047936,ROS1
ENSG00000160255,ITGB2
ENSG00000117525,F3
ENSG00000204060,FOXO6
ENSG00000134339,SAA2
ENSG00000113361,CDH6
ENSG00000186907,RTN4RL2
ENSG00000106351,AGFG2
ENSG00000175793,SFN
ENSG00000135925,WNT10A
ENSG00000139263,LRIG3
ENSG00000130477,UNC13A
ENSG00000075213,SEMA3A
ENSG00000108387,SEPT4
ENSG00000137474,MYO7A
ENSG00000113645,WWC1
ENSG00000108759,KRT32
ENSG00000128422,KRT17
ENSG00000182326,C1S
ENSG00000243323,PTPRVP
ENSG00000246985,SOCS2-AS1
ENSG00000114200,BCHE
ENSG00000018625,ATP1A2
ENSG00000158555,GDPD5
ENSG00000038427,VCAN
ENSG00000044524,EPHA3
ENSG00000174130,TLR6
ENSG00000128656,CHN1
ENSG00000128482,RNF112
ENSG00000184588,PDE4B
ENSG00000227640,SOX21-AS1
ENSG00000162595,DIRAS3
ENSG00000166394,CYB5R2
ENSG00000182379,NXPH4
ENSG00000161642,ZNF385A
ENSG00000173227,SYT12
ENSG00000189001,SBSN
ENSG00000088726,TMEM40
ENSG00000090339,ICAM1
ENSG00000269113,TRABD2B
ENSG00000116132,PRRX1
ENSG00000162692,VCAM1
ENSG00000143341,HMCN1
ENSG00000169129,AFAP1L2
ENSG00000172927,MYEOV
ENSG00000026950,BTN3A1
ENSG00000107719,PALD1
ENSG00000143850,PLEKHA6
ENSG00000150347,ARID5B
ENSG00000227502,LINC01268
ENSG00000100346,CACNA1I
ENSG00000131771,PPP1R1B
ENSG00000082684,SEMA5B
ENSG00000026025,VIM
ENSG00000012504,NR1H4
ENSG00000174403,MIR1-1HG-AS1
ENSG00000146267,FAXC
ENSG00000062282,DGAT2
ENSG00000186470,BTN3A2
ENSG00000185924,RTN4RL1
ENSG00000122779,TRIM24
ENSG00000129521,EGLN3
ENSG00000134532,SOX5
ENSG00000167552,TUBA1A
ENSG00000178695,KCTD12
ENSG00000131773,KHDRBS3
ENSG00000064195,DLX3
ENSG00000167895,TMC8
ENSG00000135074,ADAM19
ENSG00000251320,AC011352.3
ENSG00000186081,KRT5
ENSG00000273769,U52112.1
ENSG00000164690,SHH
ENSG00000153094,BCL2L11
ENSG00000137877,SPTBN5
ENSG00000156804,FBXO32
ENSG00000165617,DACT1
ENSG00000138685,FGF2
ENSG00000198125,MB
ENSG00000104381,GDAP1
ENSG00000255248,MIR100HG
ENSG00000099994,SUSD2
ENSG00000149043,SYT8
ENSG00000182704,TSKU
ENSG00000137962,ARHGAP29
ENSG00000288557,
ENSG00000113721,PDGFRB
ENSG00000091129,NRCAM
ENSG00000133121,STARD13
ENSG00000052850,ALX4
ENSG00000104055,TGM5
ENSG00000187391,MAGI2
ENSG00000128564,VGF
ENSG00000154556,SORBS2
ENSG00000138316,ADAMTS14
ENSG00000139211,AMIGO2
ENSG00000158560,DYNC1I1
ENSG00000180801,ARSJ
ENSG00000101210,EEF1A2
ENSG00000123453,SARDH
ENSG00000076706,MCAM
ENSG00000128242,GAL3ST1
ENSG00000143320,CRABP2
ENSG00000197471,SPN
ENSG00000270823,AC007938.2
ENSG00000103852,TTC23
ENSG00000124479,NDP
ENSG00000181449,SOX2
ENSG00000154133,ROBO4
ENSG00000158525,CPA5
ENSG00000077942,FBLN1
ENSG00000161249,DMKN
ENSG00000169783,LINGO1
ENSG00000146674,IGFBP3
ENSG00000245552,AP000787.1
ENSG00000117472,TSPAN1
ENSG00000081189,MEF2C
ENSG00000150782,IL18
ENSG00000187775,DNAH17
ENSG00000144406,UNC80
ENSG00000171951,SCG2
ENSG00000169933,FRMPD4
ENSG00000156675,RAB11FIP1
ENSG00000213190,MLLT11
ENSG00000134827,TCN1
ENSG00000078018,MAP2
ENSG00000023171,GRAMD1B
ENSG00000168398,BDKRB2
ENSG00000083067,TRPM3
ENSG00000168269,FOXI1
ENSG00000153233,PTPRR
ENSG00000274750,HIST1H3E
ENSG00000186854,TRABD2A
ENSG00000179403,VWA1
ENSG00000107159,CA9
ENSG00000215386,MIR99AHG
ENSG00000227300,KRT16P2
ENSG00000117226,GBP3
ENSG00000166407,LMO1
ENSG00000104998,IL27RA
ENSG00000242265,PEG10
ENSG00000231163,CSMD2-AS1
ENSG00000132329,RAMP1
ENSG00000175274,TP53I11
ENSG00000197043,ANXA6
ENSG00000204767,FAM196B
ENSG00000162878,PKDCC
ENSG00000111057,KRT18
ENSG00000169760,NLGN1
ENSG00000189320,FAM180A
ENSG00000124762,CDKN1A
ENSG00000249992,TMEM158
ENSG00000149212,SESN3
ENSG00000115041,KCNIP3
ENSG00000154358,OBSCN
ENSG00000138622,HCN4
ENSG00000270117,AP000769.2
ENSG00000135842,FAM129A
ENSG00000164078,MST1R
ENSG00000144810,COL8A1
ENSG00000196196,HRCT1
ENSG00000105048,TNNT1
ENSG00000009950,MLXIPL
ENSG00000132359,RAP1GAP2
ENSG00000261371,PECAM1
ENSG00000175832,ETV4
ENSG00000132854,KANK4
ENSG00000144642,RBMS3
ENSG00000184564,SLITRK6
ENSG00000272398,CD24
ENSG00000169994,MYO7B
ENSG00000277496,AL357033.4
ENSG00000241644,INMT
ENSG00000112559,MDFI
ENSG00000153253,SCN3A
ENSG00000163435,ELF3
ENSG00000184414,IRS3P
ENSG00000064042,LIMCH1
ENSG00000120899,PTK2B
ENSG00000003137,CYP26B1
ENSG00000168685,IL7R
ENSG00000042832,TG
ENSG00000065717,TLE2
ENSG00000240476,LINC00973
ENSG00000287066,
ENSG00000147689,FAM83A
ENSG00000155926,SLA
ENSG00000168477,TNXB
ENSG00000229989,MIR181A1HG
ENSG00000198624,CCDC69
ENSG00000099365,STX1B
ENSG00000197587,DMBX1
ENSG00000154589,LY96
ENSG00000158125,XDH
ENSG00000249106,AC097537.1
ENSG00000069702,TGFBR3
ENSG00000250033,SLC7A11-AS1
ENSG00000205363,C15orf59
ENSG00000226053,LINC01776
ENSG00000268621,IGFL2-AS1
ENSG00000174945,AMZ1
ENSG00000196954,CASP4
ENSG00000165238,WNK2
ENSG00000204876,AC021218.1
ENSG00000164418,GRIK2
ENSG00000145416,MARCH1
ENSG00000084636,COL16A1
ENSG00000241560,ZBTB20-AS1
ENSG00000183722,LHFPL6
ENSG00000186642,PDE2A
ENSG00000156711,MAPK13
ENSG00000131620,ANO1
ENSG00000072163,LIMS2
ENSG00000142235,LMTK3
ENSG00000165272,AQP3
ENSG00000197142,ACSL5
ENSG00000107438,PDLIM1
ENSG00000138650,PCDH10
ENSG00000259828,AL355596.1
ENSG00000214548,MEG3
ENSG00000164400,CSF2
ENSG00000156453,PCDH1
ENSG00000196878,LAMB3
ENSG00000070808,CAMK2A
ENSG00000236581,STARD13-AS
ENSG00000280432,AP000962.2
ENSG00000140416,TPM1
ENSG00000184956,MUC6
ENSG00000183114,FAM43B
ENSG00000262001,DLGAP1-AS2
ENSG00000178597,PSAPL1
ENSG00000126895,AVPR2
ENSG00000157613,CREB3L1
ENSG00000174482,LINGO2
ENSG00000151458,ANKRD50
ENSG00000233237,LINC00472
ENSG00000125266,EFNB2
ENSG00000159339,PADI4
ENSG00000164199,ADGRV1
ENSG00000146373,RNF217
ENSG00000074416,MGLL
ENSG00000196159,FAT4
ENSG00000129514,FOXA1
ENSG00000261150,EPPK1
ENSG00000116329,OPRD1
ENSG00000171246,NPTX1
ENSG00000114738,MAPKAPK3
ENSG00000130592,LSP1
ENSG00000179388,EGR3
ENSG00000104833,TUBB4A
ENSG00000144366,GULP1
ENSG00000197329,PELI1
ENSG00000121207,LRAT
ENSG00000171877,FRMD5
ENSG00000278909,AC007608.4
ENSG00000018510,AGPS
ENSG00000090530,P3H2
ENSG00000197457,STMN3
ENSG00000128567,PODXL
ENSG00000116983,HPCAL4
ENSG00000162892,IL24
ENSG00000160963,COL26A1
ENSG00000020181,ADGRA2
ENSG00000280587,LINC01348
ENSG00000189184,PCDH18
ENSG00000166924,NYAP1
ENSG00000006016,CRLF1
ENSG00000286696,
ENSG00000147454,SLC25A37
ENSG00000204262,COL5A2
ENSG00000189143,CLDN4
ENSG00000253738,OTUD6B-AS1
ENSG00000111341,MGP
ENSG00000261655,AC100803.2
ENSG00000158050,DUSP2
ENSG00000204882,GPR20
ENSG00000105855,ITGB8
ENSG00000131791,PRKAB2
ENSG00000123700,KCNJ2
ENSG00000073670,ADAM11
ENSG00000072422,RHOBTB1
ENSG00000133055,MYBPH
ENSG00000126882,FAM78A
ENSG00000144488,ESPNL
ENSG00000069869,NEDD4
ENSG00000179082,C9orf106
ENSG00000005102,MEOX1
ENSG00000128284,APOL3
ENSG00000151322,NPAS3
ENSG00000073146,MOV10L1
ENSG00000175147,TMEM51-AS1
ENSG00000138615,CILP
ENSG00000138696,BMPR1B
ENSG00000236671,PRKG1-AS1
ENSG00000137393,RNF144B
ENSG00000145536,ADAMTS16
ENSG00000231881,AL109615.2
ENSG00000112144,ICK
ENSG00000162496,DHRS3
ENSG00000265817,FSBP
ENSG00000103742,IGDCC4
ENSG00000058335,RASGRF1
ENSG00000168675,LDLRAD4
ENSG00000166415,WDR72
ENSG00000170801,HTRA3
ENSG00000197558,SSPO
ENSG00000180448,ARHGAP45
ENSG00000132640,BTBD3
ENSG00000168481,LGI3
ENSG00000184185,KCNJ12
ENSG00000053747,LAMA3
ENSG00000077238,IL4R
ENSG00000198846,TOX
ENSG00000152661,GJA1
ENSG00000165323,FAT3
ENSG00000114279,FGF12
ENSG00000224055,GAPDHP55
ENSG00000062038,CDH3
ENSG00000150540,HNMT
ENSG00000074181,NOTCH3
ENSG00000169302,STK32A
ENSG00000235448,LURAP1L-AS1
ENSG00000197147,LRRC8B
ENSG00000164300,SERINC5
ENSG00000134955,SLC37A2
ENSG00000137801,THBS1
ENSG00000183160,TMEM119
ENSG00000181722,ZBTB20
ENSG00000139278,GLIPR1
ENSG00000185046,ANKS1B
ENSG00000106034,CPED1
ENSG00000171388,APLN
ENSG00000171451,DSEL
ENSG00000057019,DCBLD2
ENSG00000128052,KDR
ENSG00000198576,ARC
ENSG00000144645,OSBPL10
ENSG00000160867,FGFR4
ENSG00000269950,AP000962.1
ENSG00000182557,SPNS3
ENSG00000175728,C11orf44
ENSG00000184922,FMNL1
ENSG00000169252,ADRB2
ENSG00000170549,IRX1
ENSG00000143322,ABL2
ENSG00000182621,PLCB1
ENSG00000145349,CAMK2D
ENSG00000182287,AP1S2
ENSG00000170006,TMEM154
ENSG00000141738,GRB7
ENSG00000168386,FILIP1L
ENSG00000142949,PTPRF
ENSG00000270071,AP001172.1
ENSG00000103811,CTSH
ENSG00000197261,C6orf141
ENSG00000259070,LINC00639
ENSG00000286656,
ENSG00000245526,LINC00461
ENSG00000105289,TJP3
ENSG00000111801,BTN3A3
ENSG00000179300,RTL3
ENSG00000188322,SBK1
ENSG00000139289,PHLDA1
ENSG00000167105,TMEM92
ENSG00000089472,HEPH
ENSG00000150551,LYPD1
ENSG00000175879,HOXD8
ENSG00000232406,AL121895.1
ENSG00000261824,LINC00662
ENSG00000259560,AC020687.1
ENSG00000172159,FRMD3
ENSG00000181790,ADGRB1
ENSG00000187720,THSD4
ENSG00000162545,CAMK2N1
ENSG00000148344,PTGES
ENSG00000125148,MT2A
ENSG00000143816,WNT9A
ENSG00000183778,B3GALT5
ENSG00000139182,CLSTN3
ENSG00000196628,TCF4
ENSG00000136869,TLR4
ENSG00000276851,AC002401.4
ENSG00000181444,ZNF467
ENSG00000248092,NNT-AS1
ENSG00000130475,FCHO1
ENSG00000067798,NAV3
ENSG00000185607,ACTBP7
ENSG00000145990,GFOD1
ENSG00000155324,GRAMD2B
ENSG00000162836,ACP6
ENSG00000079482,OPHN1
ENSG00000173237,C11orf86
ENSG00000178031,ADAMTSL1
ENSG00000171219,CDC42BPG
ENSG00000040608,RTN4R
ENSG00000254253,AC022861.1
ENSG00000227619,AL391056.1
ENSG00000241743,XACT
ENSG00000100578,KIAA0586
ENSG00000144476,ACKR3
ENSG00000130513,GDF15
ENSG00000287862,
ENSG00000125945,ZNF436
ENSG00000081026,MAGI3
ENSG00000115107,STEAP3
ENSG00000225746,MEG8
ENSG00000163995,ABLIM2
ENSG00000132688,NES
ENSG00000105711,SCN1B
ENSG00000115935,WIPF1
ENSG00000242808,SOX2-OT
ENSG00000255130,AC022874.1
ENSG00000291189,
ENSG00000214900,LINC01588
ENSG00000167703,SLC43A2
ENSG00000180914,OXTR
ENSG00000166250,CLMP
ENSG00000287023,
ENSG00000131711,MAP1B
ENSG00000099957,P2RX6
ENSG00000143162,CREG1
ENSG00000158825,CDA
ENSG00000158292,GPR153
ENSG00000003096,KLHL13
ENSG00000076826,CAMSAP3
ENSG00000225269,LINC00705
ENSG00000162616,DNAJB4
ENSG00000138311,ZNF365
ENSG00000076716,GPC4
ENSG00000136928,GABBR2
ENSG00000085511,MAP3K4
ENSG00000090776,EFNB1
ENSG00000183248,PRR36
ENSG00000125355,TMEM255A
ENSG00000117318,ID3
ENSG00000167723,TRPV3
ENSG00000159337,PLA2G4D
ENSG00000165899,OTOGL
ENSG00000042493,CAPG
ENSG00000160161,CILP2
ENSG00000134259,NGF
ENSG00000131746,TNS4
ENSG00000117643,MAN1C1
ENSG00000176256,HMGB4
ENSG00000088827,SIGLEC1
ENSG00000221890,NPTXR
ENSG00000227959,AL451042.2
ENSG00000156103,MMP16
ENSG00000122335,SERAC1
ENSG00000118432,CNR1
ENSG00000060718,COL11A1
ENSG00000005379,TSPOAP1
ENSG00000101846,STS
ENSG00000104368,PLAT
ENSG00000143842,SOX13
ENSG00000155465,SLC7A7
ENSG00000073910,FRY
ENSG00000184838,PRR16
ENSG00000110693,SOX6
ENSG00000104419,NDRG1
ENSG00000164520,RAET1E
ENSG00000170412,GPRC5C
ENSG00000139292,LGR5
ENSG00000049192,ADAMTS6
ENSG00000081913,PHLPP1
ENSG00000137968,SLC44A5
ENSG00000177822,AC098864.1
ENSG00000099998,GGT5
ENSG00000205189,ZBTB10
ENSG00000173267,SNCG
ENSG00000125848,FLRT3
ENSG00000146247,PHIP
ENSG00000188910,GJB3
ENSG00000146122,DAAM2
ENSG00000152818,UTRN
ENSG00000249825,AC012636.1
ENSG00000128340,RAC2
ENSG00000182901,RGS7
ENSG00000008196,TFAP2B
ENSG00000183087,GAS6
ENSG00000182263,FIGN
ENSG00000253661,ZFHX4-AS1
ENSG00000167191,GPRC5B
ENSG00000267121,AC008105.3
ENSG00000152402,GUCY1A2
ENSG00000166145,SPINT1
ENSG00000049249,TNFRSF9
ENSG00000253915,MAPRE1P1
ENSG00000184898,RBM43
ENSG00000182010,RTKN2
ENSG00000286387,
ENSG00000289513,
ENSG00000048540,LMO3
ENSG00000180592,SKIDA1
ENSG00000175084,DES
ENSG00000111275,ALDH2
ENSG00000113369,ARRDC3
ENSG00000115963,RND3
ENSG00000197635,DPP4
ENSG00000197461,PDGFA
ENSG00000132274,TRIM22
ENSG00000117707,PROX1
ENSG00000227466,AL590783.1
ENSG00000168209,DDIT4
ENSG00000148541,FAM13C
ENSG00000181143,MUC16
ENSG00000188707,ZBED6CL
ENSG00000171345,KRT19
ENSG00000279289,AL136164.3
ENSG00000188505,NCCRP1
ENSG00000171310,CHST11
ENSG00000280109,PLAC4
ENSG00000114270,COL7A1
ENSG00000124839,RAB17
ENSG00000121753,ADGRB2
ENSG00000132561,MATN2
ENSG00000186056,MATN1-AS1
ENSG00000073060,SCARB1
ENSG00000236276,NDP-AS1
ENSG00000276317,AL357033.3
ENSG00000139865,TTC6
ENSG00000139567,ACVRL1
ENSG00000239381,AC125613.1
ENSG00000178694,NSUN3
ENSG00000069535,MAOB
ENSG00000124766,SOX4
ENSG00000139946,PELI2
ENSG00000113504,SLC12A7
ENSG00000154678,PDE1C
ENSG00000244509,APOBEC3C
ENSG00000184304,PRKD1
ENSG00000027869,SH2D2A
ENSG00000140798,ABCC12
ENSG00000170558,CDH2
ENSG00000169403,PTAFR
ENSG00000188396,TCTEX1D4
ENSG00000203865,ATP1A1-AS1
ENSG00000132000,PODNL1
ENSG00000173376,NDNF
ENSG00000111817,DSE
ENSG00000132357,CARD6
ENSG00000167850,CD300C
ENSG00000085662,AKR1B1
ENSG00000122035,RASL11A
ENSG00000258655,ARHGAP5-AS1
ENSG00000151612,ZNF827
ENSG00000254416,AP000924.1
ENSG00000226808,LINC00840
ENSG00000173598,NUDT4
ENSG00000188089,PLA2G4E
ENSG00000164294,GPX8
ENSG00000214357,NEURL1B
ENSG00000185630,PBX1
ENSG00000167779,IGFBP6
ENSG00000214049,UCA1
ENSG00000105246,EBI3
ENSG00000135048,TMEM2
ENSG00000134982,APC
ENSG00000276850,AC245041.2
ENSG00000130294,KIF1A
ENSG00000234362,LINC01914
ENSG00000115380,EFEMP1
ENSG00000167676,PLIN4
ENSG00000179954,SSC5D
ENSG00000138131,LOXL4
ENSG00000151470,C4orf33
ENSG00000163399,ATP1A1
ENSG00000246640,AC009720.1
ENSG00000276107,AC037198.1
ENSG00000071282,LMCD1
ENSG00000100385,IL2RB
ENSG00000184613,NELL2
ENSG00000091622,PITPNM3
ENSG00000074706,IPCEF1
ENSG00000137573,SULF1
ENSG00000253976,AC022679.2
ENSG00000124772,CPNE5
ENSG00000164626,KCNK5
ENSG00000285979,
ENSG00000198948,MFAP3L
ENSG00000170989,S1PR1
ENSG00000224596,ZMIZ1-AS1
ENSG00000130052,STARD8
ENSG00000007314,SCN4A
ENSG00000171236,LRG1
ENSG00000176049,JAKMIP2
ENSG00000080854,IGSF9B
ENSG00000109819,PPARGC1A
ENSG00000163814,CDCP1
ENSG00000101203,COL20A1
ENSG00000183134,PTGDR2
ENSG00000081277,PKP1
ENSG00000186575,NF2
ENSG00000144230,GPR17
ENSG00000177425,PAWR
ENSG00000142634,EFHD2
ENSG00000087245,MMP2
ENSG00000196415,PRTN3
ENSG00000180616,SSTR2
ENSG00000183186,C2CD4C
ENSG00000268460,AC006262.1
ENSG00000178773,CPNE7
ENSG00000128394,APOBEC3F
ENSG00000028277,POU2F2
ENSG00000186517,ARHGAP30
ENSG00000105737,GRIK5
ENSG00000289886,
ENSG00000163220,S100A9
ENSG00000173546,CSPG4
ENSG00000142185,TRPM2
ENSG00000039068,CDH1
ENSG00000204839,MROH6
ENSG00000239713,APOBEC3G
ENSG00000178038,ALS2CL
ENSG00000101333,PLCB4
ENSG00000184916,JAG2
ENSG00000184486,POU3F2
ENSG00000282834,AP000787.3
ENSG00000235568,NFAM1
ENSG00000186998,EMID1
ENSG00000270885,RASL10B
ENSG00000267736,HMGB2P1
ENSG00000238273,AC108058.1
ENSG00000101144,BMP7
ENSG00000065361,ERBB3
ENSG00000132016,C19orf57
ENSG00000162407,PLPP3
ENSG00000228526,MIR34AHG
ENSG00000165795,NDRG2
ENSG00000137745,MMP13
ENSG00000109265,KIAA1211
ENSG00000021826,CPS1
ENSG00000287263,
ENSG00000185338,SOCS1
ENSG00000029993,HMGB3
ENSG00000232053,AC078845.1
ENSG00000115504,EHBP1
ENSG00000101197,BIRC7
ENSG00000130635,COL5A1
ENSG00000141068,KSR1
ENSG00000223749,MIR503HG
ENSG00000013588,GPRC5A
ENSG00000109625,CPZ
ENSG00000133317,LGALS12
ENSG00000173868,PHOSPHO1
ENSG00000140678,ITGAX
ENSG00000291075,
ENSG00000130203,APOE
ENSG00000162631,NTNG1
ENSG00000196739,COL27A1
ENSG00000183049,CAMK1D
ENSG00000105514,RAB3D
ENSG00000157617,C2CD2
ENSG00000166341,DCHS1
ENSG00000174672,BRSK2
ENSG00000161921,CXCL16
ENSG00000267136,AP005131.1
ENSG00000003436,TFPI
ENSG00000177679,SRRM3
ENSG00000157259,GATAD1
ENSG00000187193,MT1X
ENSG00000169507,SLC38A11
ENSG00000183128,CALHM3
ENSG00000118922,KLF12
ENSG00000100105,PATZ1
ENSG00000050555,LAMC3
ENSG00000204272,NBDY
ENSG00000113396,SLC27A6
ENSG00000179761,PIPOX
ENSG00000171992,SYNPO
ENSG00000135540,NHSL1
ENSG00000089692,LAG3
ENSG00000135519,KCNH3
ENSG00000254187,AC008708.2
ENSG00000162383,SLC1A7
ENSG00000249867,AC090833.1
ENSG00000279946,AC244034.3
ENSG00000196935,SRGAP1
ENSG00000114646,CSPG5
ENSG00000079337,RAPGEF3
ENSG00000156475,PPP2R2B
ENSG00000188372,ZP3
ENSG00000169991,IFFO2
ENSG00000002079,MYH16
ENSG00000183963,SMTN
ENSG00000186847,KRT14
ENSG00000182240,BACE2
ENSG00000136160,EDNRB
ENSG00000243978,RTL9
ENSG00000115255,REEP6
ENSG00000149295,DRD2
ENSG00000100167,SEPT3
ENSG00000196092,PAX5
ENSG00000140368,PSTPIP1
ENSG00000175294,CATSPER1
ENSG00000182168,UNC5C
ENSG00000198756,COLGALT2
ENSG00000158186,MRAS
ENSG00000249835,VCAN-AS1
ENSG00000147394,ZNF185
ENSG00000177508,IRX3
ENSG00000128512,DOCK4
ENSG00000143851,PTPN7
ENSG00000115641,FHL2
ENSG00000255431,OR5B19P
ENSG00000111261,MANSC1
ENSG00000075391,RASAL2
ENSG00000124116,WFDC3
ENSG00000177106,EPS8L2
ENSG00000112782,CLIC5
ENSG00000127561,SYNGR3
ENSG00000168309,FAM107A
ENSG00000124920,MYRF
ENSG00000006062,MAP3K14
ENSG00000107957,SH3PXD2A
ENSG00000289008,
ENSG00000062716,VMP1
ENSG00000266094,RASSF5
ENSG00000145632,PLK2
ENSG00000256771,ZNF253
ENSG00000134853,PDGFRA
ENSG00000156234,CXCL13
ENSG00000079931,MOXD1
ENSG00000180638,SLC47A2
ENSG00000284977,AL160272.1
ENSG00000116852,KIF21B
ENSG00000197044,ZNF441
ENSG00000122786,CALD1
ENSG00000249669,CARMN
ENSG00000251675,AC010260.1
ENSG00000238230,LINC00391
ENSG00000197442,MAP3K5
ENSG00000290923,
ENSG00000139648,KRT71
ENSG00000187908,DMBT1
ENSG00000148204,CRB2
ENSG00000188042,ARL4C
ENSG00000128965,CHAC1
ENSG00000109472,CPE
ENSG00000163485,ADORA1
ENSG00000187867,PALM3
ENSG00000040731,CDH10
ENSG00000289423,
ENSG00000189337,KAZN
ENSG00000106991,ENG
ENSG00000124380,SNRNP27
ENSG00000067113,PLPP1
ENSG00000261578,AP003119.3
ENSG00000117016,RIMS3
ENSG00000130338,TULP4
ENSG00000277075,HIST1H2AE
ENSG00000110400,NECTIN1
ENSG00000173559,NABP1
ENSG00000129667,RHBDF2
ENSG00000075223,SEMA3C
ENSG00000204362,AL590644.1
ENSG00000177374,HIC1
ENSG00000109220,CHIC2
ENSG00000130270,ATP8B3
ENSG00000151491,EPS8
ENSG00000111110,PPM1H
ENSG00000167100,SAMD14
ENSG00000092051,JPH4
ENSG00000253666,AP000424.1
ENSG00000164128,NPY1R
ENSG00000158055,GRHL3
ENSG00000145242,EPHA5
ENSG00000155090,KLF10
ENSG00000178033,CALHM5
ENSG00000232803,SLCO4A1-AS1
ENSG00000111319,SCNN1A
ENSG00000244242,IFITM10
ENSG00000104177,MYEF2
ENSG00000093144,ECHDC1
ENSG00000101198,NKAIN4
ENSG00000164442,CITED2
ENSG00000151150,ANK3
ENSG00000203697,CAPN8
ENSG00000171729,TMEM51
ENSG00000019549,SNAI2
ENSG00000146592,CREB5
ENSG00000173706,HEG1
ENSG00000235387,SPAAR
ENSG00000280077,AL353763.2
ENSG00000092929,UNC13D
ENSG00000253125,AC055854.1
ENSG00000168646,AXIN2
ENSG00000286214,
ENSG00000120370,GORAB
ENSG00000286502,
ENSG00000135549,PKIB
ENSG00000187260,WDR86
ENSG00000181577,C6orf223
ENSG00000187231,SESTD1
