"seqnames","start","end","width","strand","name","score","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chr1",2019794,2050059,30266,"*","consensus_peak_174_overlaps2,consensus_peak_175_overlaps3,consensus_peak_176_overlaps2",2.333333333,"Promoter (<=1kb)",1,2049203,2049651,449,2,"105378591","ENST00000445600.1",0
"chr1",2051444,2057510,6067,"*","consensus_peak_179_overlaps2",2,"Promoter (<=1kb)",1,2055441,2071536,16096,1,"5590","ENST00000479566.5",0
"chr1",2059359,2062194,2836,"*","consensus_peak_182_overlaps2",2,"Exon (ENST00000378567.8/5590, exon 4 of 18)",1,2055679,2135347,79669,1,"5590","ENST00000466651.5",3680
"chr1",2067371,2077491,10121,"*","consensus_peak_185_overlaps2",2,"Promoter (<=1kb)",1,2073462,2185390,111929,1,"5590","ENST00000400921.6",0
"chr1",2079868,2117213,37346,"*","consensus_peak_188_overlaps2,consensus_peak_189_overlaps3,consensus_peak_190_overlaps2",2.333333333,"Promoter (<=1kb)",1,2082248,2150936,68689,1,"5590","ENST00000481140.5",0
"chr1",2124671,2131197,6527,"*","consensus_peak_192_overlaps2",2,"Promoter (2-3kb)",1,2133638,2148924,15287,1,"5590","ENST00000471018.6",-2441
"chr1",2132148,2138733,6586,"*","consensus_peak_194_overlaps2,consensus_peak_195_overlaps3,consensus_peak_196_overlaps2",2.333333333,"Promoter (<=1kb)",1,2133638,2148924,15287,1,"5590","ENST00000471018.6",0
"chr1",2141855,2146860,5006,"*","consensus_peak_199_overlaps2",2,"Promoter (<=1kb)",1,2144451,2185395,40945,1,"5590","ENST00000479263.5",0
"chr1",2156491,2186523,30033,"*","consensus_peak_202_overlaps2,consensus_peak_203_overlaps3,consensus_peak_204_overlaps2",2.333333333,"Promoter (<=1kb)",1,2181794,2183875,2082,2,"100506504","ENST00000333854.2",0
"chr1",2189481,2192193,2713,"*","consensus_peak_207_overlaps2,consensus_peak_208_overlaps3,consensus_peak_209_overlaps2",2.333333333,"Promoter (1-2kb)",1,2189544,2194108,4565,2,"199990","ENST00000497675.2",1915
"chr1",2193553,2211125,17573,"*","consensus_peak_211_overlaps2,consensus_peak_212_overlaps3,consensus_peak_213_overlaps2,consensus_peak_214_overlaps3,consensus_peak_215_overlaps2",2.4,"Promoter (<=1kb)",1,2184461,2194775,10315,2,"199990","ENST00000400919.7",0
"chr1",2229066,2235168,6103,"*","consensus_peak_219_overlaps2",2,"Promoter (<=1kb)",1,2232479,2303038,70560,1,"6497","ENST00000508416.1",0
"chr1",2286169,2295998,9830,"*","consensus_peak_222_overlaps2,consensus_peak_223_overlaps3,consensus_peak_224_overlaps2",2.333333333,"Intron (ENST00000378536.5/6497, intron 1 of 6)",1,2303646,2304368,723,1,"6497","ENST00000507179.1",-7648
"chr1",2310147,2349426,39280,"*","consensus_peak_227_overlaps2,consensus_peak_228_overlaps3,consensus_peak_229_overlaps2,consensus_peak_230_overlaps3,consensus_peak_231_overlaps2,consensus_peak_232_overlaps3,consensus_peak_233_overlaps2",2.428571429,"Promoter (2-3kb)",1,2351644,2351857,214,2,"100129534","ENST00000417061.2",2431
"chr1",2350559,2360409,9851,"*","consensus_peak_236_overlaps2",2,"Promoter (<=1kb)",1,2350414,2352820,2407,2,"100129534","ENST00000602865.1",0
"chr1",2372097,2387269,15173,"*","consensus_peak_239_overlaps2,consensus_peak_240_overlaps3,consensus_peak_241_overlaps2",2.333333333,"Promoter (<=1kb)",1,2358638,2375878,17241,2,"79906","ENST00000607342.5",0
"chr1",2412538,2420914,8377,"*","consensus_peak_244_overlaps2,consensus_peak_245_overlaps3,consensus_peak_246_overlaps2",2.333333333,"Promoter (<=1kb)",1,2403964,2412564,8601,2,"5192","ENST00000288774.8",0
"chr1",2523909,2540552,16644,"*","consensus_peak_250_overlaps2",2,"Promoter (<=1kb)",1,2528745,2530263,1519,2,"388585","ENST00000378453.4",0
"chr1",2543370,2548974,5605,"*","consensus_peak_252_overlaps2",2,"Promoter (2-3kb)",1,2550074,2551598,1525,2,"115110","ENST00000448624.2",2624
"chr1",2553721,2567917,14197,"*","consensus_peak_255_overlaps2,consensus_peak_256_overlaps3,consensus_peak_257_overlaps2",2.333333333,"Promoter (<=1kb)",1,2566410,2569888,3479,1,"100996583","ENST00000456687.3",0
"chr1",2582500,2598741,16242,"*","consensus_peak_261_overlaps2,consensus_peak_262_overlaps3,consensus_peak_263_overlaps2",2.333333333,"Promoter (<=1kb)",1,2586491,2589632,3142,1,"127281","ENST00000493183.5",0
"chr1",2601994,2613513,11520,"*","consensus_peak_266_overlaps2,consensus_peak_267_overlaps3,consensus_peak_268_overlaps2",2.333333333,"Promoter (<=1kb)",1,2606281,2611401,5121,2,"79258","ENST00000509374.1",0
"chr1",2627941,2635736,7796,"*","consensus_peak_272_overlaps2",2,"Promoter (<=1kb)",1,2632568,2636620,4053,1,"105378597","ENST00000427302.1",0
"chr1",2799614,2811321,11708,"*","consensus_peak_275_overlaps2",2,"Promoter (<=1kb)",1,2636986,2801693,164708,2,"100287898","ENST00000401095.9",0
"chr1",2847124,2848626,1503,"*","consensus_peak_279_overlaps2",2,"Distal Intergenic",1,2636986,2801693,164708,2,"100287898","ENST00000401095.9",-45431
"chr1",2856638,2858913,2276,"*","consensus_peak_282_overlaps2",2,"Distal Intergenic",1,2636986,2801693,164708,2,"100287898","ENST00000401095.9",-54945
"chr1",2922094,2929626,7533,"*","consensus_peak_287_overlaps2",2,"Distal Intergenic",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",-91841
"chr1",2965923,2976330,10408,"*","consensus_peak_290_overlaps2",2,"Exon (ENST00000642073.1/ENST00000642073.1, exon 1 of 3)",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",-45137
"chr1",2978394,2985626,7233,"*","consensus_peak_293_overlaps2",2,"Distal Intergenic",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",-35841
"chr1",2998186,3006112,7927,"*","consensus_peak_296_overlaps2",2,"Distal Intergenic",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",-15355
"chr1",3008910,3025685,16776,"*","consensus_peak_299_overlaps2,consensus_peak_300_overlaps3,consensus_peak_301_overlaps2",2.333333333,"Promoter (<=1kb)",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",0
"chr1",3026579,3041240,14662,"*","consensus_peak_303_overlaps2,consensus_peak_304_overlaps3,consensus_peak_305_overlaps2",2.333333333,"Distal Intergenic",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",5112
"chr1",3060117,3086485,26369,"*","consensus_peak_308_overlaps2,consensus_peak_309_overlaps3,consensus_peak_310_overlaps2",2.333333333,"Promoter (<=1kb)",1,3059611,3069088,9478,2,"440556","ENST00000687743.1",0
"chr1",3168843,3176002,7160,"*","consensus_peak_317_overlaps2,consensus_peak_318_overlaps3,consensus_peak_319_overlaps2",2.333333333,"Intron (ENST00000511072.5/63976, intron 1 of 15)",1,3127975,3128035,61,1,"100422968","ENST00000635819.1",40868
"chr1",3213611,3226016,12406,"*","consensus_peak_322_overlaps2,consensus_peak_323_overlaps3,consensus_peak_324_overlaps2",2.333333333,"Intron (ENST00000511072.5/63976, intron 2 of 15)",1,3237931,3433925,195995,1,"63976","ENST00000512462.5",-11915
"chr1",3303160,3314688,11529,"*","consensus_peak_327_overlaps2,consensus_peak_328_overlaps3,consensus_peak_329_overlaps2",2.333333333,"Exon (ENST00000607061.1/ENST00000607061.1, exon 1 of 1)",1,3313052,3323149,10098,2,"105378604","ENST00000669140.1",8461
"chr1",3319033,3321268,2236,"*","consensus_peak_332_overlaps2",2,"Promoter (1-2kb)",1,3313052,3323149,10098,2,"105378604","ENST00000669140.1",1881
"chr1",3322535,3325365,2831,"*","consensus_peak_334_overlaps2",2,"Promoter (<=1kb)",1,3313052,3323149,10098,2,"105378604","ENST00000669140.1",0
"chr1",3345928,3370835,24908,"*","consensus_peak_337_overlaps2,consensus_peak_338_overlaps3,consensus_peak_339_overlaps2,consensus_peak_340_overlaps3,consensus_peak_341_overlaps2,consensus_peak_342_overlaps3,consensus_peak_343_overlaps2,consensus_peak_344_overlaps3,consensus_peak_345_overlaps2",2.444444444,"Exon (ENST00000665088.1/ENST00000665088.1, exon 2 of 2)",1,3313052,3323149,10098,2,"105378604","ENST00000669140.1",-22779
"chr1",3371804,3379055,7252,"*","consensus_peak_347_overlaps2,consensus_peak_348_overlaps3,consensus_peak_349_overlaps2",2.333333333,"Exon (ENST00000665088.1/ENST00000665088.1, exon 1 of 2)",1,3396491,3434293,37803,1,"63976","ENST00000509860.1",-17436
"chr1",3380096,3381485,1390,"*","consensus_peak_352_overlaps2",2,"Intron (ENST00000511072.5/63976, intron 3 of 15)",1,3396491,3434293,37803,1,"63976","ENST00000509860.1",-15006
"chr1",3443707,3445668,1962,"*","consensus_peak_357_overlaps2",2,"Distal Intergenic",1,3454665,3481113,26449,1,"27237","ENST00000378378.9",-8997
"chr1",3449243,3474852,25610,"*","consensus_peak_360_overlaps2,consensus_peak_361_overlaps3,consensus_peak_362_overlaps2,consensus_peak_363_overlaps3,consensus_peak_364_overlaps2",2.4,"Promoter (<=1kb)",1,3454665,3481113,26449,1,"27237","ENST00000378378.9",0
"chr1",3559621,3571565,11945,"*","consensus_peak_371_overlaps2",2,"Promoter (<=1kb)",1,3560695,3560790,96,2,"693135","ENST00000385042.1",0
"chr1",3573278,3582559,9282,"*","consensus_peak_374_overlaps2,consensus_peak_375_overlaps3,consensus_peak_376_overlaps2",2.333333333,"Exon (ENST00000356575.9/1953, exon 4 of 37)",1,3560695,3560790,96,2,"693135","ENST00000385042.1",-12488
"chr1",3586296,3626113,39818,"*","consensus_peak_379_overlaps2,consensus_peak_380_overlaps3,consensus_peak_381_overlaps2",2.333333333,"Promoter (<=1kb)",1,3625015,3630127,5113,1,"127262","ENST00000378344.7",0
"chr1",3666183,3693565,27383,"*","consensus_peak_383_overlaps2",2,"Promoter (<=1kb)",1,3658938,3668772,9835,2,"105378610","ENST00000443034.1",0
"chr1",3695066,3724784,29719,"*","consensus_peak_386_overlaps2,consensus_peak_387_overlaps3,consensus_peak_388_overlaps2,consensus_peak_389_overlaps3,consensus_peak_390_overlaps2",2.4,"Promoter (<=1kb)",1,3698046,3708534,10489,1,"7161","ENST00000604194.1",0
"chr1",3761047,3779463,18417,"*","consensus_peak_393_overlaps2",2,"Promoter (<=1kb)",1,3772749,3775956,3208,1,"388588","ENST00000642557.4",0
"chr1",3856570,3859986,3417,"*","consensus_peak_397_overlaps2,consensus_peak_398_overlaps3,consensus_peak_399_overlaps2",2.333333333,"Promoter (<=1kb)",1,3857267,3860490,3224,1,"1677","ENST00000625756.2",0
"chr1",3900305,3901684,1380,"*","consensus_peak_402_overlaps3,consensus_peak_403_overlaps2",2.5,"Promoter (<=1kb)",1,3900347,3914654,14308,1,"100133612","ENST00000667408.2",0
"chr1",3907382,3913317,5936,"*","consensus_peak_406_overlaps2",2,"Intron (ENST00000667408.2/100133612, intron 1 of 1)",1,3900437,3906036,5600,1,"100133612","ENST00000693306.1",6945
"chr1",4602133,4603948,1816,"*","consensus_peak_414_overlaps2",2,"Distal Intergenic",1,4571548,4583421,11874,1,"105376679","ENST00000420522.1",30585
"chr1",4652690,4653994,1305,"*","consensus_peak_417_overlaps2",2,"Promoter (<=1kb)",1,4654609,4792534,137926,1,"55966","ENST00000378191.5",-615
"chr1",5427393,5430674,3282,"*","consensus_peak_423_overlaps2",2,"Distal Intergenic",1,5490829,5492804,1976,2,"105376686","ENST00000649109.1",62130
"chr1",5501804,5514955,13152,"*","consensus_peak_427_overlaps2,consensus_peak_428_overlaps3,consensus_peak_429_overlaps2,consensus_peak_430_overlaps3,consensus_peak_431_overlaps2",2.4,"Distal Intergenic",1,5489795,5493057,3263,2,"105376686","ENST00000641860.1",-8747
"chr1",5741531,5759845,18315,"*","consensus_peak_436_overlaps2,consensus_peak_437_overlaps3,consensus_peak_438_overlaps2",2.333333333,"Exon (ENST00000701409.1/ENST00000701409.1, exon 2 of 4)",1,5862672,5862741,70,2,"100616421","ENST00000582517.1",102896
"chr1",5992416,5994773,2358,"*","consensus_peak_444_overlaps2",2,"Promoter (<=1kb)",1,5862811,5992424,129614,2,"261734","ENST00000478423.6",0
"chr1",6012795,6017229,4435,"*","consensus_peak_447_overlaps2",2,"Intron (ENST00000655548.1/8514, intron 1 of 9)",1,6026013,6099119,73107,1,"8514","ENST00000428161.6",-8784
"chr1",6071454,6073114,1661,"*","consensus_peak_451_overlaps2",2,"Promoter (<=1kb)",1,6073415,6087511,14097,1,"8514","ENST00000663671.1",-301
"chr1",6080278,6084437,4160,"*","consensus_peak_453_overlaps2",2,"3' UTR",1,6087501,6092187,4687,1,"8514","ENST00000656607.1",-3064
"chr1",6091564,6106861,15298,"*","consensus_peak_456_overlaps2,consensus_peak_457_overlaps3,consensus_peak_458_overlaps2",2.333333333,"Promoter (<=1kb)",1,6105081,6106772,1692,2,"26038","ENST00000475121.1",0
"chr1",6108635,6113315,4681,"*","consensus_peak_461_overlaps2,consensus_peak_462_overlaps3,consensus_peak_463_overlaps2,consensus_peak_464_overlaps3,consensus_peak_465_overlaps2",2.4,"Promoter (1-2kb)",1,6105081,6106772,1692,2,"26038","ENST00000475121.1",-1863
"chr1",6150768,6174272,23505,"*","consensus_peak_470_overlaps2,consensus_peak_471_overlaps3,consensus_peak_472_overlaps2,consensus_peak_473_overlaps3,consensus_peak_474_overlaps2,consensus_peak_475_overlaps3,consensus_peak_476_overlaps2",2.428571429,"3' UTR",1,6105091,6180023,74933,2,"26038","ENST00000496404.1",5751
"chr1",6204984,6208397,3414,"*","consensus_peak_480_overlaps2",2,"Promoter (<=1kb)",1,6204840,6205780,941,2,"102724450","ENST00000455744.1",0
"chr1",6209348,6214177,4830,"*","consensus_peak_482_overlaps2",2,"Promoter (<=1kb)",1,6192930,6209389,16460,2,"107985733","ENST00000465335.1",0
"chr1",6237946,6279188,41243,"*","consensus_peak_486_overlaps2,consensus_peak_487_overlaps3,consensus_peak_488_overlaps2,consensus_peak_489_overlaps3,consensus_peak_490_overlaps2,consensus_peak_491_overlaps3,consensus_peak_492_overlaps2,consensus_peak_493_overlaps3,consensus_peak_494_overlaps2,consensus_peak_495_overlaps3,consensus_peak_496_overlaps2",2.454545455,"Promoter (<=1kb)",1,6247353,6261098,13746,2,"387509","ENST00000377893.3",0
"chr1",6343231,6352541,9311,"*","consensus_peak_500_overlaps2,consensus_peak_501_overlaps3,consensus_peak_502_overlaps2",2.333333333,"Promoter (<=1kb)",1,6281130,6352249,71120,2,"11332","ENST00000473466.2",0
"chr1",6412981,6442185,29205,"*","consensus_peak_505_overlaps2,consensus_peak_506_overlaps3,consensus_peak_507_overlaps2,consensus_peak_508_overlaps3,consensus_peak_509_overlaps2",2.4,"Promoter (<=1kb)",1,6429834,6429896,63,2,"100422975","ENST00000585139.1",0
"chr1",6443219,6457526,14308,"*","consensus_peak_511_overlaps2,consensus_peak_512_overlaps3,consensus_peak_513_overlaps2",2.333333333,"Promoter (<=1kb)",1,6447331,6449056,1726,1,"83715","ENST00000632803.1",0
"chr1",6464282,6477664,13383,"*","consensus_peak_516_overlaps2,consensus_peak_517_overlaps3,consensus_peak_518_overlaps2",2.333333333,"Promoter (<=1kb)",1,6467122,6471583,4462,2,"57449","ENST00000487949.4",0
"chr1",6481945,6493619,11675,"*","consensus_peak_521_overlaps2,consensus_peak_522_overlaps3,consensus_peak_523_overlaps2",2.333333333,"Promoter (<=1kb)",1,6467122,6485469,18348,2,"57449","ENST00000535355.6",0
"chr1",6494750,6514226,19477,"*","consensus_peak_526_overlaps3,consensus_peak_527_overlaps2,consensus_peak_528_overlaps3,consensus_peak_529_overlaps2",2.5,"Promoter (<=1kb)",1,6467122,6496569,29448,2,"57449","ENST00000377748.6",0
"chr1",6518662,6520652,1991,"*","consensus_peak_532_overlaps2,consensus_peak_533_overlaps3,consensus_peak_534_overlaps2",2.333333333,"Promoter (<=1kb)",1,6467122,6520009,52888,2,"57449","ENST00000377740.5",0
"chr1",6579583,6580980,1398,"*","consensus_peak_538_overlaps2",2,"Promoter (<=1kb)",1,6579994,6589280,9287,1,"3104","ENST00000377674.9",0
"chr1",6585709,6588826,3118,"*","consensus_peak_541_overlaps2",2,"Promoter (<=1kb)",1,6586207,6589280,3074,1,"3104","ENST00000498342.5",0
"chr1",6612756,6613895,1140,"*","consensus_peak_545_overlaps2",2,"Promoter (<=1kb)",1,6613731,6624030,10300,1,"148479","ENST00000377648.5",0
"chr1",6624682,6625798,1117,"*","consensus_peak_548_overlaps2",2,"Promoter (<=1kb)",1,6624868,6633562,8695,1,"90326","ENST00000054650.9",0
"chr1",6770698,6771757,1060,"*","consensus_peak_552_overlaps2",2,"Distal Intergenic",1,6783892,6784843,952,2,"110841581","ENST00000442889.1",13086
"chr1",6785081,6786503,1423,"*","consensus_peak_555_overlaps2",2,"Promoter (<=1kb)",1,6785454,6872053,86600,1,"23261","ENST00000490738.5",0
"chr1",7047967,7054049,6083,"*","consensus_peak_562_overlaps2",2,"Intron (ENST00000303635.12/23261, intron 3 of 22)",1,6874056,6887842,13787,1,"23261","ENST00000467267.1",173911
"chr1",7117397,7119111,1715,"*","consensus_peak_566_overlaps2,consensus_peak_567_overlaps3,consensus_peak_568_overlaps2",2.333333333,"Intron (ENST00000303635.12/23261, intron 4 of 22)",1,6874056,6887842,13787,1,"23261","ENST00000467267.1",243341
"chr1",7265789,7267985,2197,"*","consensus_peak_574_overlaps2",2,"Intron (ENST00000303635.12/23261, intron 5 of 22)",1,7368942,7370270,1329,1,"23261","ENST00000427317.1",-100957
"chr1",7387563,7390806,3244,"*","consensus_peak_578_overlaps2,consensus_peak_579_overlaps3,consensus_peak_580_overlaps2",2.333333333,"Promoter (<=1kb)",1,7382487,7389754,7268,2,"102725193","ENST00000618051.1",0
"chr1",7622941,7637992,15052,"*","consensus_peak_589_overlaps2",2,"Intron (ENST00000303635.12/23261, intron 6 of 22)",1,7664285,7767830,103546,1,"23261","ENST00000700419.1",-26293
"chr1",7639582,7653208,13627,"*","consensus_peak_591_overlaps2,consensus_peak_592_overlaps3,consensus_peak_593_overlaps2",2.333333333,"3' UTR",1,7664285,7767830,103546,1,"23261","ENST00000700419.1",-11077
"chr1",7659591,7665470,5880,"*","consensus_peak_596_overlaps2",2,"Promoter (<=1kb)",1,7664285,7767830,103546,1,"23261","ENST00000700419.1",0
"chr1",7666358,7689812,23455,"*","consensus_peak_598_overlaps2,consensus_peak_599_overlaps3,consensus_peak_600_overlaps2",2.333333333,"Promoter (<=1kb)",1,7669759,7767736,97978,1,"23261","ENST00000700420.1",0
"chr1",7700791,7706155,5365,"*","consensus_peak_603_overlaps2,consensus_peak_604_overlaps3,consensus_peak_605_overlaps2,consensus_peak_606_overlaps3,consensus_peak_607_overlaps2",2.4,"Promoter (<=1kb)",1,7704838,7767777,62940,1,"23261","ENST00000700423.1",0
"chr1",8004223,8005573,1351,"*","consensus_peak_612_overlaps2,consensus_peak_613_overlaps3,consensus_peak_614_overlaps2",2.333333333,"3' UTR",1,8013427,8015633,2207,2,"54206","ENST00000467067.1",10060
"chr1",8026231,8028528,2298,"*","consensus_peak_617_overlaps2,consensus_peak_618_overlaps3,consensus_peak_619_overlaps2",2.333333333,"Promoter (<=1kb)",1,8004404,8026283,21880,2,"54206","ENST00000474874.5",0
"chr1",8312428,8319062,6635,"*","consensus_peak_630_overlaps2,consensus_peak_631_overlaps3,consensus_peak_632_overlaps2",2.333333333,"Promoter (<=1kb)",1,8318114,8344165,26052,1,"50651","ENST00000471889.7",0
"chr1",8342315,8352347,10033,"*","consensus_peak_635_overlaps2",2,"3' UTR",1,8355521,8362844,7324,2,"473","ENST00000505225.1",10497
