Term,P-value,Regulation,Category,Genes,Combined_score,Overlap
filopodium (GO:0030175),0.04239284,Down,GO_Cellular_Component_2021,RIPOR2;GPM6A;TENM2;VCAM1;ITGB3;RDX;TWF2;TWF1;UNC5C;ANTXR1;ACTG2;SYNE2;MTM1;SHTN1;GAP43;KITLG;MAP2;RUFY3;PDPN;ITGAV;DMD;LCP1;UTRN;FGF13,27.06832,24/58
filopodium membrane (GO:0031527),0.1001527,Down,GO_Cellular_Component_2021,GAP43;ITGB3;PDPN;DMD;ITGAV;UTRN;ANTXR1;SYNE2,63.62205,8/12
actin cytoskeleton (GO:0015629),0.1009931,Down,GO_Cellular_Component_2021,WDR1;WIPF1;IFIT5;FMN2;WASL;PPP1R9A;ACTB;ACTG1;AMOT;RND1;AKAP13;SIPA1L1;OPHN1;CDH2;PSTPIP2;CFL2;SH3PXD2B;PLS3;TOPBP1;ACTR3;GAS2L3;ANXA1;PPP1R12A;TPM4;SWAP70;PAWR;SHROOM3;SHROOM4;CTTNBP2NL;PALLD;CDC42EP3;MYADM;ANG;HAP1;LCP1;EPHA3;DBN1;RHOQ;DDR2;GAS7;MACF1;CD274;PLEKHH2;SYNPO2;TWF2;TWF1;NEXN;CNN3;CORO1C;ARHGAP21;ABLIM1;ABLIM3;CALD1;CNR1;ARSJ;MYO6;ABL1;STK38L;FLNA;ABL2;LPXN;PDLIM5;ZNF268;PDLIM7;SVIL;VCAM1;RDX;MYO5A;KLHL2;DSTN;PARVA;SORBS2;AIF1L;KLHL20;MYO1D;MSRA;ARHGAP32;MYO1E;FER;MARCKS;MYO5B;ZNF74;SPRY2;FILIP1;INTS6,11.13805,85/316
cytoskeleton (GO:0005856),0.2083378,Down,GO_Cellular_Component_2021,FHOD3;RIPOR2;WIPF1;IFIT5;ACTB;ACTG1;RASSF1;OPHN1;CFL2;KIFAP3;GAS2L3;TPM4;SWAP70;TMOD2;ANK3;EML1;GTF2F2;FRMD3;SHTN1;CLIP1;FRMD5;FRMD6;AKAP9;PPP1R42;TNIK;FAM161B;UTRN;EPHA3;ZNF397;EXD2;CD274;MACF1;SHMT2;TWF1;SLAIN2;DDX60;RHOBTB1;CORO1C;CNN3;EPB41L5;ARHGAP21;ATXN7;CALD1;EPB41L2;ARSJ;EPB41L3;MYO6;ABL1;MAP7;ABL2;STK38L;ZNF268;MARK1;DTNA;MYO5A;DSTN;TBCC;PARVA;AIF1L;KLHL20;MSRA;ARHGAP32;FER;SESTD1;MYO5B;NF2;INTS6;NES;SNAP25;TENM1;DYRK4;DYRK2;MTCL1;MAST2;FMN2;WASL;PPP1R9A;BICD1;RND3;SYNE2;RND1;TUBA1C;AKAP13;TUBA1B;EPB41L4A;TUBA1A;SIPA1L1;DBT;TOPBP1;ACTR3;OVGP1;PPP1R12A;DST;RIPK2;TRPC4;CEP295;TUBB;PAWR;SHROOM3;PJA2;SHROOM4;CTTNBP2NL;DNM3;TUBB2B;PALLD;CDC42EP3;CDC42EP1;ANG;HAP1;LCP1;SAXO1;MAPRE2;DBN1;DDR2;ROCK1;SYNPO2;ZBTB49;DDX20;NEXN;ADD3;JAKMIP2;ABLIM1;ABLIM3;CNR1;FLNA;MAPK1;IGF2BP2;PDLIM5;PDLIM7;SVIL;STN1;MCF2;KLHL2;SORBS2;KLHL4;CDC42BPA;MYO1D;MYO1E;MARCKS;TAOK1;ZNF74;SPRY2;FILIP1;PKN2;VIM,8.185553,145/600
cell-cell junction (GO:0005911),0.2083378,Down,GO_Cellular_Component_2021,BMPR2;WDR1;CTNND2;ITGB3;PTPRJ;PTPRK;ACTB;FGFRL1;VSIG10;CDH8;ACTG1;RND1;TMEM47;CDH6;GJA1;CDH2;HMCN1;KIRREL3;ANXA1;ANXA2;TRPC4;MAGI3;MAGI2;GAB1;SHROOM3;FRS2;FRMD4A;SHROOM4;RAP2C;FRMD5;RAP2B;PARD3;CDH10;MYADM;PKP2;CDH12;CDC42EP1;RAPGEF2;DSC2;USP53;TWF1;LIN7A;LIN7C;CNN3;RAP1B;CYTH3;FLRT2;EPB41L3;CTNNA1;FLNA;CTNNA2;ECT2;PDLIM5;PAK2;PDLIM7;JAG1;CADM1;SORBS1;KLHL24;WTIP;CDC42BPA;TJP1;IGSF11;MYO1E;DNMBP;APC;FAT1;PKN2;NECTIN3;FERMT2;EIF4G2;LIMS1,9.072536,72/271
collagen-containing extracellular matrix (GO:0062023),1.108783e-08,Up,GO_Cellular_Component_2021,SPON1;TPSB2;COL16A1;SERPINE2;F13A1;CLU;LOXL1;ICAM1;LOXL2;COMP;EFEMP2;TNN;HMCN2;TGM2;COL27A1;COL23A1;FIBCD1;SERPINF2;P3H2;ADAM11;P3H1;PCOLCE;HSPG2;BCAM;SLPI;COL4A2;COL4A4;COL8A2;SERPING1;PRTN3;S100A4;S100A9;S100A8;FLG;SEMA7A;COL13A1;PDGFB;HTRA1;LTBP4;FBLN1;LTBP2;AEBP1;FBLN2;NID2;ADAMTS10;FBLN5;SERPINH1;APOE;ELANE;S100A10;AMBP;RARRES2;PRG2;SSC5D;L1CAM;HRNR;CXCL12;COL5A1;CILP;COL5A3;COL20A1;COL9A3;CSPG4;COL9A2;TGFBI;FGFR2;COL18A1;SERPINA1;TINAGL1;LAMC3;ELN;LAMC2;SERPINA5;SHH;ADAMTSL4;MDK;MMP28;ANXA6;CTSH;TIMP3;ANXA8;EMILIN1;CTSF;SOST;FGFBP3;TPSAB1;CTSD;ADAMTS9;CTSB;SBSPON;EGFL7;COL25A1;MMP2;BGN;APOA4;F3;MMP9;F7;COL6A2;COL6A1;MMRN2;MATN1;VWA1;CDH13;COL6A3;VWA2;ANGPTL4;CRELD1;ZP3;MATN3;MATN2;LRRC15;LAMA5;COL15A1;TNXB;LAMA1;LAMA3;NTN5;PRELP;ITIH1;THSD4;NTN3;THBS3;ACAN;CLEC3B;MUC2;GPC1;ANGPT4;COL26A1;LAMB3;GDF15;F12;PODN;KAZALD1;COL3A1;FRAS1;COL7A1;AGRN,51.05762,138/380
integral component of plasma membrane (GO:0005887),8.658798e-05,Up,GO_Cellular_Component_2021,CNTFR;RXFP4;SLC4A1;CLDN1;HTR6;GJA3;GJA5;CMKLR1;CXADR;CEL;CLDN4;BCAM;CLDN3;ADCY9;TYRO3;ORAI1;HPN;CLCNKB;CLCNKA;GRIN2A;GALR2;NPBWR2;FLRT1;ST3GAL5;PROM1;PROM2;JAG2;GPR17;NGFR;ST14;GRIN2C;GP6;GRIN2B;GP5;MYMK;SLC16A14;GRIN2D;SLC16A13;MYMX;GJB4;FXYD3;FXYD2;RET;PIGR;KCNC3;KCNC4;GPR20;PTH1R;LRRC32;SLC6A1;ABCC11;SLC6A2;ASGR1;FCRLB;MMP24;C1QTNF1;KCND1;TPSG1;KCND3;FCRL6;IFNGR2;ROM1;TACR2;SLC39A14;MMP14;GPRC5A;SLC7A7;SLC7A8;SLCO4A1;GPRC5C;HBEGF;PLPPR2;PLPPR3;PTAFR;KCNA7;ADCY7;ADCY5;CHRND;GPR151;HAS1;IL12RB1;IL12RB2;GOLM1;KCNB1;ECEL1;LAPTM5;GPR4;GPR3;SLCO3A1;ADGRL1;LGR6;ADGRL3;SLC28A3;KCNG2;CSF3R;GPR68;CHRM4;NCF4;TNF;SLC8A1;SLC8A2;MAEA;SLCO2B1;ADORA1;SLC16A8;SLC39A8;PLXNC1;SLC16A2;SLC16A3;SLC39A4;SLC16A5;KCNH2;SEMA6B;KCNH3;KCNH4;KCNH6;SEMA6D;ATP11A;MAG;OBSCN;LTB4R2;SLCO2A1;ADAM8;ROR2;TRABD2B;RHCE;TRABD2A;RTN4R;CSF1R;SEMA7A;SLC26A2;NOTCH4;GPR88;ITPR3;SLC9A1;CLCA2;PLXNA1;SLC38A3;SLC38A5;PLXNA4;KCNF1;SLC14A1;ATP8B1;TNFRSF9;HTR1D;NOXA1;CSPG5;PLXNB2;CSPG4;SLC26A6;KCNK5;KCNK6;FLT1;GAL3ST1;FLT4;ADRA1B;TSPAN11;TSPAN10;SPN;SLC13A2;SLC13A4;COL25A1;AVPR2;HTR3A;KCNAB2;KCNAB3;ADRA2B;TNFRSF1A;PECAM1;TNFRSF25;TNFRSF21;SLC24A4;LRP1;SEMA3G;SEMA3F;IL2RG;TSPAN32;P2RY8;P2RY6;P2RY2;BSND;PCDH1;KCNJ4;NTRK1;SLC12A3;SEMA4A;KCNIP1;KCNJ11;SEMA4D;NTRK3;PCDH7;TIE1;KCNIP3;SEMA4B;KCNJ14;TSPAN16;P2RX7;TSPAN15;P2RX6;TSPAN13;P2RX3;TSPAN18;P2RX1;IL2RB;KCNK3;EPHB6;OXTR;VIPR1;NPFFR1;VIPR2;ICAM2;AQP6;ICAM5;ICAM1;IL27RA;AQP1;VSIG2;EPHB2;EPHB1;EPHB4;SCN1B;IL1R1;SLC11A1;KCNK15;SLC6A12;KCNK16;SLC6A11;KCNK17;ADGRB2;ADGRB1;KCNQ2;KCNQ4;EPHA1;PLPP3;PLPP2;EPHA2;ADCYAP1R1;EPHA10;SDC4;LPAR2;MST1R;SLC6A20;CD79B;TRPM2;TSPAN9;TSPAN4;KCNN1;RCE1;KCNN4;TRPM5;TSPAN1;CCR10;NTSR1;TNFSF15;LRRN4;PILRB;MARCO;SDC1;SLC22A7;CD22;SCN2B;CD320;ACVRL1;RYR1;PTPRU;RDH8;PTGDR2;GRIK4;SLC7A10;PTPRF;STAB1;FFAR2;FFAR1;CD34;CCR3;CCR2;FCER1G;AVPR1B;GP1BB;INSRR;IL17RB;AJAP1;ANO1;NCR3;B3GNT3;CD47;CD46;OPRD1;RAMP2;GUCY2D;SLC20A1;PTGER2;SLC43A1;KISS1R;GABRE;GABRD;DUOX2;GABRQ;GRIN1;XG;AXL;ESYT3;RAMP1;IL18R1;CD82;CD81;HFE;TMEM266;SIT1;CCRL2;PDGFRB;ABCG8;IL4R;SCARA5;SLC30A3;ATP1B2;TMEM130;PROCR;SCNN1D;SCNN1A;CD300C;CHRNA4;NPR2;SLC1A1;C5AR1;CSF2RB;ADRB2;FUT1;AGER;CACNA1H;CACNA1G;CACNA1I;EFNB1;ADGRG1;CALHM1;KCNV2;ASIC4;CALHM2;EFNB3;HRH2;PODXL;ADGRG5;ADGRG6;ASIC3;ASIC1;OPN4;CAV3;TRPV2;SLC52A1;TRPV3;CALHM3;TRPV4;FGFR4;FGFR2;FGFR1;GLP1R;ADGRE1;GRM4;ADGRE5;BDKRB2;BDKRB1;SCN5A;PTGIR;ABCC5;SSTR2;SSTR3;SSTR5;TGFBR3;CDHR1;CDHR2;SCN4A;CDH16;SCN4B;LTK;NPY4R;ATP1A3;ATP1A2;DLL1;CLCN1;MUC1;ERBB3;PRRG2;TAS1R3;MUC4;S1PR4;ATP2B3;ATP2B2;EPOR;CD4;CD6;HCN2,19.99456,391/1454
keratin filament (GO:0045095),0.003554051,Up,GO_Cellular_Component_2021,KRT71;KRT82;FAM83H;KRT18;KRT4;KRT3;FBF1;KRT14;EPPK1;KRT5;KRT84,105.0396,11/15
intermediate filament (GO:0005882),0.01044639,Up,GO_Cellular_Component_2021,DSP;KRT71;FLG;KRT82;KRT4;KRT3;KRT2;FBF1;KRT8;KRT7;KRT5;KRT75;EVPL;PPL;KRT84;FAM83H;NCKIPSD;KRT18;KRT16;KRT14;PKP1;EPPK1;PLEC,28.34829,23/50
NMDA selective glutamate receptor complex (GO:0017146),0.01123484,Up,GO_Cellular_Component_2021,GRIN2A;GRIN3B;PTK2B;GRIN2C;GRIN2B;GRIN1;GRIN2D,224.9526,7/8
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978),0.05476909,Down,GO_Molecular_Function_2021,ATF2;EHF;BACH1;SOX21;CCAR1;ZNF606;CREB3L2;TRIM24;ZNF724;SOX9;SOX6;HOXA5;SOX4;SOX5;MEF2A;ZNF18;MEF2C;ZNF285;ZNF281;SOX13;RFX3;SOX11;RUNX1;AR;RFX7;RFX4;ZSCAN21;ZNF713;ATF6;ATF3;ATF4;ZNF155;ZNF397;ZNF396;ZNF273;MYNN;TWIST1;GATA3;ZNF24;ZBTB2;PGBD1;DHX36;PRDM16;ZBED1;ZSCAN12;ZNF821;ZNF148;PATZ1;ZNF268;ZSCAN16;ZNF267;ZNF146;STAT5B;JUN;ZNF383;ZNF382;ZNF260;BCL11A;NR2F1;POU6F2;NR1D2;NR1D1;PBX1;FOSL2;SOX30;ZBTB6;ZNF816;ZNF813;SNAI2;ZNF136;ZNF256;ZNF134;ZNF254;ZNF253;ZNF251;ZNF490;BHLHE41;HEY1;ZNF41;ZNF280C;TEAD1;ZIK1;ZNF484;ZNF362;TCF12;PROX1;ZEB2;PAX9;RARB;ZNF780A;ZNF234;FOXC1;ZNF8;ARNTL2;RXRB;HSF2;ZNF229;ZNF107;ZNF227;ZNF225;HDX;ZNF222;ZNF585A;ZNF100;ARNT2;ZNF461;ZNF460;STAT2;NFYC;NR1H4;PER1;ZNF71;NFIB;ZNF74;ZNF217;ZNF699;ZNF333;NEUROG2;GZF1;ZNF211;ZFP28;ZNF354B;FOXA1;ZNF570;PRDM4;ZBTB26;ZSCAN9;ZBTB20;RORB;PRDM1;NR3C1;CARF;NR3C2;ZNF81;DACH1;ZFP30;SALL3;ZNF85;ZNF569;ZNF205;ZNF689;PITX2;ZNF322;ZNF320;ZNF561;ZNF681;ZBTB38;ZBTB37;ZBTB34;MITF;ZBTB33;POU3F2;FOXP1;POU3F4;ZNF91;ZNF92;ZNF93;ZNF319;ZNF678;ZNF677;ZNF430;DLX1;DLX2;ZNF670;DLX5;DLX6;GLIS3;ZKSCAN8;ZKSCAN3;ZKSCAN2;ZNF426;ZNF304;ZNF546;ZKSCAN4;SKIL;ZBTB17;TFAP2B;SMAD1;TFAP2C;SMAD4;ZBTB14;HMGA2;ESRRG;ZFHX4;ESR1;SMAD5;NFKB1;BCL6;ZNF419;ZNF416;ZNF658;ZNF536;TCF4;ZNF777;ZNF655;ZNF776;SP9;ZNF773;NFE2L2;ZNF772;THRB;THRA;ZFP82;NR2E1;CHD2;ZNF408;ZNF649;SNAPC3;ZNF646;UTY;ZNF644;ZNF641;KDM6A;TGIF1;KDM6B;KLF10;KLF12;DNMT3A;ZNF75D;KLF17;ELF1;CREB1;ELF4;DMRTA1;IRF2;ZNF516;ZNF630;IRF9;CREB5;HDAC5;ZNF197;HLF;CEBPD;ZNF195;PLAG1;SRF;ZBTB49;CEBPG;ZBTB45;ZBTB41;ZBTB40;CIART;IFI16;ZNF629;ZNF506;NRIP1;ZNF746;ZNF623;HES1;E2F5;ZNF189;ZNF286A;IRX1;TCF7L2;PRRX1;ZNF184;FOXJ2;TBX19;KLF3;TBX3;KLF7;REST;KLF6;MEIS1;KLF5;TEF;ZNF616;ZNF615;KLF9;ZNF613;ZNF853;ZNF610;ZNF730;RBMX,12.42139,274/1149
