"seqnames","start","end","width","strand","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chr1",4262827,4265953,3127,"*",91.8528180368019,3.15191268092412,0.503928242843949,6.25468551462034,3.98317730357614e-10,5.59904842666384e-07,"Distal Intergenic",1,4412027,4424689,12663,1,"284661","ENST00000635002.1",-146074
"chr1",4271213,4272439,1227,"*",87.2394823553226,2.73468981524848,0.437784821734525,6.24665287483816,4.19341577197243e-10,5.7691586645002e-07,"Distal Intergenic",1,4412027,4424689,12663,1,"284661","ENST00000635002.1",-139588
"chr1",4395124,4396870,1747,"*",94.9234251744305,2.28445438525956,0.366332515910568,6.23601314663877,4.48863394610849e-10,6.04665749144419e-07,"Distal Intergenic",1,4412027,4424689,12663,1,"284661","ENST00000635002.1",-15157
"chr1",4406295,4406904,610,"*",129.941317127021,2.44087986500114,0.392082783050746,6.22541965757579,4.80268719471272e-10,6.33768483055754e-07,"Distal Intergenic",1,4412027,4424689,12663,1,"284661","ENST00000635002.1",-5123
"chr1",4408379,4409184,806,"*",247.455162334615,-1.60320656262572,0.257671915686496,-6.22189095910751,4.91198382370484e-10,6.35227572049158e-07,"Promoter (2-3kb)",1,4412027,4424689,12663,1,"284661","ENST00000635002.1",-2843
"chr1",4454229,4455165,937,"*",238.163882598446,-1.96330578692427,0.31581872228939,-6.2165592105881,5.08174678443705e-10,6.44295742800949e-07,"Distal Intergenic",1,4416311,4424689,8379,1,"284661","ENST00000635642.1",37918
"chr1",4585207,4586477,1271,"*",288.169942112305,-1.63090710000315,0.262649873060728,-6.20943418322563,5.31757147695201e-10,6.61229787059988e-07,"Intron (ENST00000634256.1/105376679, intron 1 of 1)",1,4571548,4583421,11874,1,"105376679","ENST00000420522.1",13659
"chr1",4602574,4603905,1332,"*",105.461512047075,2.17066378987986,0.351001713259597,6.18419713602498,6.24193254383325e-10,7.61527547578871e-07,"Distal Intergenic",1,4571548,4583421,11874,1,"105376679","ENST00000420522.1",31026
"chr1",4632542,4633586,1045,"*",89.5044801130056,2.39683738545449,0.388048481065571,6.17664416279337,6.54784212829559e-10,7.84055592329113e-07,"Distal Intergenic",1,4654609,4792534,137926,1,"55966","ENST00000378191.5",-21023
"chr1",4649235,4650871,1637,"*",39.1100906873763,4.51780620624382,0.73292454237675,6.16408094562279,7.08936733832744e-10,8.33464693570165e-07,"Distal Intergenic",1,4654609,4792534,137926,1,"55966","ENST00000378191.5",-3738
"chr1",4769453,4770331,879,"*",93.7343797284931,2.76294945796893,0.44870710710998,6.15757899571608,7.38654014992272e-10,8.52894772560988e-07,"Exon (ENST00000378191.5/55966, exon 3 of 6)",1,4711155,4712165,1011,1,"55966","ENST00000466761.1",58298
"chr1",4816415,4817093,679,"*",156.061167456893,-1.91655330702772,0.31181469284229,-6.1464496414769,7.92364632347365e-10,8.98861219161631e-07,"Distal Intergenic",1,4711155,4712165,1011,1,"55966","ENST00000466761.1",105260
"chr1",4851620,4853231,1612,"*",113.745391598678,2.87710053938558,0.4691982474684,6.13195073704821,8.6807987054775e-10,9.67774353611863e-07,"Distal Intergenic",1,4973381,4981568,8188,1,"105376680","ENST00000641403.1",-120150
"chr1",4879378,4879880,503,"*",180.198758145808,2.31793757924124,0.378813806951805,6.11893636584409,9.42020101718347e-10,1.0324061321561e-06,"Distal Intergenic",1,4973381,4981568,8188,1,"105376680","ENST00000641403.1",-93501
"chr1",4971946,4972573,628,"*",140.548062737878,2.30940759915419,0.377957067421403,6.11023790323602,9.94827303842237e-10,1.07210880489571e-06,"Promoter (<=1kb)",1,4973381,4981568,8188,1,"105376680","ENST00000641403.1",-808
"chr1",5008835,5010588,1754,"*",171.595824178706,2.12539336504561,0.349747372911315,6.0769387554043,1.2249852086635e-09,1.29850440290805e-06,"Distal Intergenic",1,4973381,4981568,8188,1,"105376680","ENST00000641403.1",35454
"chr1",5027369,5027976,608,"*",42.4727337248698,3.95017679192328,0.65131799759784,6.06489734122522,1.32037962160192e-09,1.37704946310325e-06,"Distal Intergenic",1,4973381,4981568,8188,1,"105376680","ENST00000641403.1",53988
"chr1",5076722,5077713,992,"*",53.7960157445612,2.9154843922151,0.480981229976408,6.0615346514834,1.34828831961011e-09,1.38383604816364e-06,"Distal Intergenic",1,5086459,5090899,4441,2,"105376681","ENST00000443270.1",13186
"chr1",5108313,5109102,790,"*",45.9326169062995,3.34547646451972,0.552238411168491,6.05802928021787,1.37799317386557e-09,1.3922252596144e-06,"Distal Intergenic",1,5086459,5090899,4441,2,"105376681","ENST00000443270.1",-17414
"chr1",5115469,5116481,1013,"*",403.549667048473,1.46800597677906,0.242463388333002,6.05454698489523,1.40813371632352e-09,1.400789757403e-06,"Distal Intergenic",1,5086459,5090899,4441,2,"105376681","ENST00000443270.1",-24570
"chr1",5164630,5165791,1162,"*",73.3892838159621,2.56931310049677,0.425116758094896,6.04378221176413,1.50542692771629e-09,1.46306075099699e-06,"Distal Intergenic",1,5086459,5090899,4441,2,"105376681","ENST00000443270.1",-73731
"chr1",5194417,5195464,1048,"*",171.256578776719,-1.77194091831102,0.293238795252364,-6.04265515681877,1.51598444683501e-09,1.46306075099699e-06,"Distal Intergenic",1,5086459,5090899,4441,2,"105376681","ENST00000443270.1",-103518
"chr1",5196475,5197222,748,"*",93.9731285104629,2.63756118993452,0.436938850020523,6.03645381913426,1.57537808665325e-09,1.49802238913361e-06,"Distal Intergenic",1,5086459,5090899,4441,2,"105376681","ENST00000443270.1",-105576
"chr1",5254294,5255396,1103,"*",130.310663974698,2.15047984812079,0.356485901857746,6.0324400962676,1.61502219794392e-09,1.51346304842394e-06,"Distal Intergenic",1,5086459,5090899,4441,2,"105376681","ENST00000443270.1",-163395
"chr1",5267546,5268896,1351,"*",189.270513106184,2.22469272074869,0.370640720050765,6.00228901034938,1.94554993523533e-09,1.77742377621996e-06,"Distal Intergenic",1,5086459,5090899,4441,2,"105376681","ENST00000443270.1",-176647
"chr1",5285202,5286133,932,"*",43.899907109118,3.36853699067915,0.561885706556851,5.99505727120383,2.03413741575721e-09,1.77742377621996e-06,"Distal Intergenic",1,5086459,5090899,4441,2,"105376681","ENST00000443270.1",-194303
"chr1",5312567,5313108,542,"*",71.0499785834223,2.8776119192828,0.479709606253565,5.99865393932043,1.98959852988288e-09,1.77742377621996e-06,"Distal Intergenic",1,5490829,5492804,1976,2,"105376686","ENST00000649109.1",179696
"chr1",5318476,5319070,595,"*",91.634590573407,-2.93698889330953,0.489611863376592,-5.99860647381925,1.99018007901841e-09,1.77742377621996e-06,"Distal Intergenic",1,5490829,5492804,1976,2,"105376686","ENST00000649109.1",173734
"chr1",5442983,5444146,1164,"*",108.552028099855,3.12415227574038,0.52104885874006,5.99589121698653,2.02372464610991e-09,1.77742377621996e-06,"Distal Intergenic",1,5490829,5492804,1976,2,"105376686","ENST00000649109.1",48658
"chr1",5502118,5504357,2240,"*",195.585880262505,1.98810929500756,0.332613324056486,5.9772388873692,2.26951278640995e-09,1.93138229005823e-06,"Distal Intergenic",1,5489795,5493057,3263,2,"105376686","ENST00000641860.1",-9061
"chr1",5729812,5730615,804,"*",116.108667031653,2.39482002259792,0.400659254628891,5.97719881652582,2.27007089349725e-09,1.93138229005823e-06,"Distal Intergenic",1,5862672,5862741,70,2,"100616421","ENST00000582517.1",132126
"chr1",5757043,5758067,1025,"*",108.153953450721,-2.52946718807857,0.423907643259728,-5.96702425232933,2.41619507491936e-09,2.0136952624434e-06,"Intron (ENST00000701409.1/ENST00000701409.1, intron 1 of 3)",1,5862672,5862741,70,2,"100616421","ENST00000582517.1",104674
"chr1",5811055,5811791,737,"*",139.396805877315,2.11816272032442,0.35502981409803,5.96615449242118,2.42910302145938e-09,2.0136952624434e-06,"Distal Intergenic",1,5862672,5862741,70,2,"100616421","ENST00000582517.1",50950
"chr1",5927035,5928256,1222,"*",108.687001959773,2.93139757353616,0.493439174961978,5.94074755771476,2.83725242462996e-09,2.32227315226579e-06,"3' UTR",1,5886495,5905324,18830,2,"261734","ENST00000466897.1",-21711
"chr1",5975371,5976148,778,"*",133.173628571432,-2.49096757381414,0.419526521834507,-5.93756876900567,2.89279719033247e-09,2.3381394890511e-06,"Intron (ENST00000478423.6/261734, intron 1 of 25)",1,5990927,6090419,99493,1,"8514","ENST00000655548.1",-14779
"chr1",5993179,5993873,695,"*",137.906452110878,2.00523509472827,0.338413697089211,5.92539578621032,3.11546109722388e-09,2.48702259268633e-06,"Promoter (<=1kb)",1,5992760,6086371,93612,1,"8514","ENST00000462676.3",419
"chr1",6021641,6022506,866,"*",65.1574655689951,2.65128237536404,0.44844957609581,5.91210810911236,3.37756725261849e-09,2.66337653806786e-06,"Intron (ENST00000655548.1/8514, intron 1 of 9)",1,6026163,6101178,75016,1,"8514","ENST00000352527.6",-3657
"chr1",6108814,6109568,755,"*",82.1107956445986,2.86742430364797,0.486175462074401,5.89792066307361,3.68110882019821e-09,2.86776117376911e-06,"Promoter (2-3kb)",1,6105081,6106772,1692,2,"26038","ENST00000475121.1",-2042
"chr1",6157365,6158333,969,"*",51.072877208244,2.91955268722248,0.496826593572625,5.87640179690927,4.19279943545544e-09,3.22750719399981e-06,"Intron (ENST00000262450.8/26038, intron 3 of 41)",1,6105081,6144104,39024,2,"26038","ENST00000462991.5",-13261
"chr1",6199042,6199647,606,"*",334.730132818755,-1.62638852466294,0.277753150380852,-5.85551783096919,4.75525995623221e-09,3.58968093695444e-06,"Promoter (<=1kb)",1,6185020,6199595,14576,2,"6146","ENST00000234875.9",0
"chr1",6273021,6273919,899,"*",115.810222419654,2.18741290414362,0.373606807974582,5.8548529027138,4.77432394454279e-09,3.58968093695444e-06,"Intron (ENST00000608083.5/11332, intron 8 of 8)",1,6247353,6261098,13746,2,"387509","ENST00000377893.3",-11923
"chr1",6343399,6343922,524,"*",56.2950027770771,-2.65940697122607,0.454552859642958,-5.85060002331737,4.89802802661352e-09,3.59899307078246e-06,"Intron (ENST00000608083.5/11332, intron 2 of 8)",1,6281130,6352249,71120,2,"11332","ENST00000473466.2",8327
"chr1",6348799,6349612,814,"*",93.3997317063695,2.17126842599496,0.371063591865063,5.85147256048914,4.87239676734138e-09,3.59899307078246e-06,"Promoter (2-3kb)",1,6281130,6352249,71120,2,"11332","ENST00000473466.2",2637
"chr1",6367560,6368193,634,"*",113.747909749278,2.05838803062332,0.352103888228662,5.84596790730855,5.03631143778366e-09,3.65902172897224e-06,"Intron (ENST00000608083.5/11332, intron 1 of 8)",1,6264273,6360707,96435,2,"11332","ENST00000377845.7",-6853
"chr1",6378130,6379510,1381,"*",120.182738036377,2.44373918219566,0.41848258088383,5.83952425698224,5.23500944546874e-09,3.76112161948282e-06,"Intron (ENST00000608083.5/11332, intron 1 of 8)",1,6264273,6385813,121541,2,"11332","ENST00000377855.6",6303
"chr1",6384894,6386525,1632,"*",102.993454547747,2.51677089311833,0.431446269446863,5.83333562333257,5.43301287493036e-09,3.86048401654804e-06,"Promoter (<=1kb)",1,6264273,6385813,121541,2,"11332","ENST00000377855.6",0
"chr1",6392007,6392799,793,"*",88.7592440743072,2.67450606925137,0.4594610211716,5.82096401220615,5.85091680235992e-09,4.11224055823255e-06,"Promoter (<=1kb)",1,6264269,6393361,129093,2,"11332","ENST00000608083.5",562
"chr1",6491554,6492777,1224,"*",152.539960105635,-2.01576490200392,0.34646149610089,-5.81814985125196,5.95025478915515e-09,4.13709059055442e-06,"Promoter (<=1kb)",1,6467122,6491667,24546,2,"57449","ENST00000377728.8",0
"chr1",6518704,6520593,1890,"*",224.618341607957,-1.56263777828803,0.269028163284196,-5.80845424959205,6.30522536911243e-09,4.27313093634474e-06,"Promoter (<=1kb)",1,6467122,6520009,52888,2,"57449","ENST00000377740.5",0
"chr1",6545259,6546181,923,"*",116.935252659655,2.27343967781625,0.391265516813489,5.81047800054398,6.22947188484574e-09,4.27313093634474e-06,"Promoter (<=1kb)",1,6531995,6545017,13023,2,"79707","ENST00000464383.1",-242
"chr1",6682666,6683402,737,"*",173.633723966148,-1.78365409338242,0.307133492418242,-5.80742295260171,6.34417299282558e-09,4.27313093634474e-06,"Promoter (1-2kb)",1,6634168,6681037,46870,2,"55735","ENST00000451196.5",-1629
"chr1",6688806,6689497,692,"*",173.917854899415,1.71073536080596,0.294673727841096,5.80552386987305,6.4165062243918e-09,4.27729596881854e-06,"Intron (ENST00000377577.10/55735, intron 1 of 15)",1,6634168,6681037,46870,2,"55735","ENST00000451196.5",-7769
"chr1",6702019,6703226,1208,"*",113.308012320745,2.71620991233044,0.46929260599506,5.78788132954098,7.12797376380502e-09,4.70308073001425e-06,"Promoter (<=1kb)",1,6635113,6701924,66812,2,"55735","ENST00000294401.11",-95
"chr1",6707569,6708403,835,"*",82.0229843109148,2.61958470823248,0.453235421475064,5.77974400082631,7.48143771539269e-09,4.789675684307e-06,"Distal Intergenic",1,6635113,6701924,66812,2,"55735","ENST00000294401.11",-5645
"chr1",6716163,6717053,891,"*",111.10590263206,2.27552275378608,0.393675587541061,5.7801977714677,7.46128619707642e-09,4.789675684307e-06,"Distal Intergenic",1,6724637,6727408,2772,1,"100505887","ENST00000432429.5",-7584
"chr1",6737484,6738718,1235,"*",125.695089357421,2.06136823111522,0.356480117669779,5.78256157619636,7.35716255483306e-09,4.789675684307e-06,"Distal Intergenic",1,6724673,6729993,5321,1,"100505887","ENST00000654537.1",12811
"chr1",6770692,6771736,1045,"*",147.459555743158,-1.89075093646276,0.328276189415768,-5.75963471437792,8.42961599733415e-09,5.34379803925121e-06,"Distal Intergenic",1,6783892,6784843,952,2,"110841581","ENST00000442889.1",13107
"chr1",6786287,6786838,552,"*",113.759169695561,2.67431289439626,0.464547045523533,5.75681821715683,8.57141251989776e-09,5.38093305775834e-06,"Promoter (<=1kb)",1,6785552,6887787,102236,1,"23261","ENST00000461311.1",735
"chr1",6802165,6803858,1694,"*",174.448367101512,1.98309883955468,0.345050189974358,5.74727647506019,9.06923718797095e-09,5.48061631599429e-06,"Intron (ENST00000490738.5/23261, intron 1 of 2)",1,6820203,6887342,67140,1,"23261","ENST00000700418.1",-16345
"chr1",6809367,6811080,1714,"*",106.614937657702,2.35866067023127,0.410306098102126,5.74853915440514,9.00178018399264e-09,5.48061631599429e-06,"Intron (ENST00000490738.5/23261, intron 1 of 2)",1,6820203,6887342,67140,1,"23261","ENST00000700418.1",-9123
"chr1",6864100,6864854,755,"*",125.879893573912,-1.92204136256305,0.334392873151336,-5.74785384763028,9.03833105109662e-09,5.48061631599429e-06,"Intron (ENST00000490738.5/23261, intron 2 of 2)",1,6874056,6887842,13787,1,"23261","ENST00000467267.1",-9202
"chr1",6925568,6926070,503,"*",63.439608979474,2.84600352752476,0.494913658347141,5.75050512250871,8.89772076898975e-09,5.48061631599429e-06,"Intron (ENST00000303635.12/23261, intron 3 of 22)",1,6874056,6887842,13787,1,"23261","ENST00000467267.1",51512
"chr1",7135959,7136867,909,"*",36.6842745488848,4.55839462742738,0.793488009835333,5.74475552361951,9.20538884859398e-09,5.51138563276792e-06,"Intron (ENST00000303635.12/23261, intron 4 of 22)",1,7008376,7014279,5904,2,"127138864","ENST00000456701.1",-121680
"chr1",7147640,7148221,582,"*",50.3347956317385,3.04548144532061,0.530820690014743,5.73730734805387,9.61936008519233e-09,5.70639855475799e-06,"Intron (ENST00000303635.12/23261, intron 4 of 22)",1,7008376,7014279,5904,2,"127138864","ENST00000456701.1",-133361
"chr1",7175818,7177216,1399,"*",90.7268976306746,2.25367311468002,0.393137260284946,5.7325350261803,9.89405942423428e-09,5.81599796754921e-06,"Intron (ENST00000303635.12/23261, intron 4 of 22)",1,7008376,7014279,5904,2,"127138864","ENST00000456701.1",-161539
"chr1",7197761,7198722,962,"*",200.26258047028,1.59002474820734,0.277494246472651,5.7299377137322,1.0046751834658e-08,5.85254973316056e-06,"Intron (ENST00000303635.12/23261, intron 4 of 22)",1,7368942,7370270,1329,1,"23261","ENST00000427317.1",-170220
"chr1",7207875,7208925,1051,"*",43.3626661214912,3.39431072488078,0.592887711356622,5.72504820029758,1.0340437836466e-08,5.96984866914042e-06,"Intron (ENST00000303635.12/23261, intron 4 of 22)",1,7368942,7370270,1329,1,"23261","ENST00000427317.1",-160017
"chr1",7265016,7268369,3354,"*",104.755223190366,2.18259819363378,0.381435324310249,5.72206624433797,1.05236256738141e-08,6.02184212119021e-06,"Intron (ENST00000303635.12/23261, intron 5 of 22)",1,7368942,7370270,1329,1,"23261","ENST00000427317.1",-100573
"chr1",7301610,7303644,2035,"*",152.973372715845,2.24734123297459,0.393058413051302,5.71757570466065,1.08054539771717e-08,6.02320223808531e-06,"Intron (ENST00000303635.12/23261, intron 5 of 22)",1,7368942,7370270,1329,1,"23261","ENST00000427317.1",-65298
