"","seqnames","start","end","width","strand","GFP_1","GFP_3","YAF_2","YAF_3"
"131","1",9195722,9204677,8956,"*",700,687,706,545
"132","1",9239586,9245595,6010,"*",281,260,418,312
"133","1",9274959,9277200,2242,"*",136,163,292,223
"134","1",9278630,9284496,5867,"*",384,352,633,396
"135","1",9285464,9297175,11712,"*",530,460,760,463
"136","1",9300444,9306786,6343,"*",275,274,440,295
"137","1",9380444,9389263,8820,"*",547,499,767,462
"138","1",9396919,9403285,6367,"*",322,321,486,303
"139","1",9409838,9414221,4384,"*",133,107,345,233
"140","1",9437322,9441923,4602,"*",163,147,330,241
"141","1",9451853,9457991,6139,"*",310,257,397,251
"142","1",9470669,9481367,10699,"*",445,399,680,452
"143","1",9538205,9541014,2810,"*",93,82,167,124
"144","1",9625850,9632794,6945,"*",510,472,416,302
"145","1",9662079,9663505,1427,"*",60,74,90,64
"146","1",9714474,9725423,10950,"*",640,609,606,343
"147","1",9765837,9768294,2458,"*",55,49,157,142
"148","1",9822354,9827804,5451,"*",242,259,515,316
"149","1",9838761,9849913,11153,"*",694,649,713,446
"150","1",9869601,9887405,17805,"*",1393,1325,1529,1093
"151","1",9888339,9894952,6614,"*",371,379,560,440
"152","1",9900266,9911316,11051,"*",529,472,730,514
"153","1",10063616,10067369,3754,"*",58,48,216,166
"154","1",10073154,10075790,2637,"*",67,55,265,238
"155","1",10209812,10212457,2646,"*",62,53,199,159
"156","1",10398285,10400491,2207,"*",168,136,297,193
"157","1",10507196,10515214,8019,"*",219,235,494,353
"158","1",10673558,10693165,19608,"*",1251,1263,920,615
"159","1",10694758,10730170,35413,"*",2236,2096,1815,1146
"160","1",10785440,10791803,6364,"*",476,471,481,257
"161","1",10793316,10801925,8610,"*",532,472,487,320
"162","1",10822546,10842991,20446,"*",1062,1117,1226,752
"163","1",10853791,10882024,28234,"*",1636,1566,1367,917
"164","1",10888510,10892568,4059,"*",230,228,208,121
"165","1",10896829,10905032,8204,"*",587,492,511,353
"166","1",10905916,10918795,12880,"*",816,781,741,467
"167","1",10933303,10951100,17798,"*",1371,1336,1065,699
"168","1",10978569,10982542,3974,"*",156,165,237,183
"169","1",11037668,11040129,2462,"*",152,140,170,140
"170","1",11042172,11047500,5329,"*",329,324,240,178
"171","1",11052069,11064376,12308,"*",539,532,540,341
"172","1",11157914,11159185,1272,"*",25,33,84,83
"173","1",11272662,11273873,1212,"*",71,95,88,67
"174","1",11514484,11532528,18045,"*",953,864,696,414
"175","1",11645634,11659026,13393,"*",995,988,949,572
"176","1",11660075,11665020,4946,"*",279,261,267,163
"177","1",11687576,11717464,29889,"*",2083,2066,2033,1226
"178","1",11734550,11756165,21616,"*",1192,1135,1271,905
"179","1",11760033,11769666,9634,"*",624,588,504,322
"180","1",11774538,11797904,23367,"*",1259,1199,1149,765
"181","1",11802241,11807525,5285,"*",204,184,295,215
"182","1",11835497,11842278,6782,"*",358,303,353,244
"183","1",11854443,11883965,29523,"*",1545,1420,1436,981
"184","1",11885375,11895499,10125,"*",576,556,575,369
"185","1",11918111,11921546,3436,"*",133,109,220,149
"186","1",11933583,11935358,1776,"*",68,72,140,102
"187","1",12019158,12020716,1559,"*",75,112,196,111
"188","1",12027366,12032877,5512,"*",278,290,256,161
"189","1",12044236,12050279,6044,"*",315,312,314,227
"190","1",12062988,12066201,3214,"*",158,191,160,133
"191","1",12117602,12118968,1367,"*",42,39,74,64
"192","1",12121172,12149177,28006,"*",1620,1516,1550,1088
"193","1",12160918,12195626,34709,"*",2507,2408,2397,1595
"194","1",12229896,12231506,1611,"*",65,75,133,88
"195","1",12432822,12439468,6647,"*",87,84,598,460
"196","1",12453490,12458946,5457,"*",113,82,533,370
"197","1",12463787,12465311,1525,"*",37,16,143,96
"198","1",12475155,12487154,12000,"*",245,287,1191,808
"199","1",12537486,12543343,5858,"*",211,234,728,457
"200","1",12572607,12575612,3006,"*",98,84,327,250
"201","1",12588204,12589339,1136,"*",41,43,135,101
"202","1",12590217,12605459,15243,"*",498,489,1547,980
"203","1",12613435,12623315,9881,"*",350,289,978,597
"204","1",12758912,12761052,2141,"*",103,79,115,61
"205","1",13664630,13667356,2727,"*",98,108,169,124
"206","1",13721753,13727237,5485,"*",211,196,251,188
"207","1",14189454,14191599,2146,"*",53,65,155,87
"208","1",14319582,14322751,3170,"*",43,25,130,124
"209","1",14345618,14347789,2172,"*",37,41,245,188
"210","1",14485300,14488753,3454,"*",162,157,446,342
"211","1",14571857,14573217,1361,"*",74,72,125,85
"212","1",14590403,14603886,13484,"*",484,472,676,522
"213","1",14668595,14677970,9376,"*",320,302,431,331
"214","1",14704125,14705540,1416,"*",33,39,133,112
"215","1",14728566,14735890,7325,"*",302,269,417,300
"216","1",14736729,14746036,9308,"*",338,282,699,506
"217","1",14820493,14828268,7776,"*",291,281,407,272
"218","1",14892044,14897288,5245,"*",258,225,430,315
"219","1",14909428,14911898,2471,"*",118,95,241,173
"220","1",14920476,14926023,5548,"*",286,256,378,237
"221","1",14967198,14970806,3609,"*",155,170,449,358
"222","1",14993706,14999481,5776,"*",189,198,444,273
"223","1",15044525,15048159,3635,"*",134,152,173,143
"224","1",15094178,15104703,10526,"*",607,525,708,476
"225","1",15124202,15132015,7814,"*",313,276,436,324
"226","1",15202166,15208324,6159,"*",252,233,307,213
"227","1",15323273,15327918,4646,"*",270,227,273,187
"228","1",15334422,15338634,4213,"*",168,176,282,216
"229","1",15349233,15357494,8262,"*",353,327,676,478
"230","1",15378350,15395739,17390,"*",1150,1028,1265,969
"231","1",15402647,15414933,12287,"*",694,629,775,498
"232","1",15415914,15420131,4218,"*",266,271,388,280
"233","1",15421133,15433866,12734,"*",766,756,857,545
"234","1",15603053,15604715,1663,"*",59,53,110,63
"235","1",15678735,15681821,3087,"*",74,84,201,171
"236","1",15701954,15704324,2371,"*",92,80,142,103
"237","1",15753504,15766399,12896,"*",734,658,871,574
"238","1",15790853,15792427,1575,"*",89,84,100,69
"239","1",15797839,15804284,6446,"*",369,308,679,481
"240","1",15945469,15954650,9182,"*",512,450,821,536
"241","1",15965542,15967303,1762,"*",47,63,160,116
"242","1",15988770,15995968,7199,"*",537,551,522,328
"243","1",16003902,16034634,30733,"*",2490,2279,1912,1231
"244","1",16036933,16056666,19734,"*",1479,1365,1011,677
"245","1",16057511,16086212,28702,"*",2018,1870,2050,1298
"246","1",16087651,16098505,10855,"*",608,619,698,435
"247","1",16109292,16126628,17337,"*",1023,1017,1199,844
"248","1",16137760,16160380,22621,"*",1681,1508,2140,1386
"249","1",16163542,16179513,15972,"*",1070,975,1292,788
"250","1",16180109,16185329,5221,"*",309,320,496,346
"251","1",16186509,16192439,5931,"*",357,345,478,346
"252","1",16195595,16213391,17797,"*",1219,1113,1034,677
"253","1",16235571,16238887,3317,"*",135,113,263,204
"254","1",16385120,16387748,2629,"*",122,106,234,190
"255","1",16612195,16619086,6892,"*",380,293,487,398
"256","1",16620288,16622746,2459,"*",119,131,154,92
"257","1",16676882,16678324,1443,"*",48,55,81,51
"258","1",16715650,16722811,7162,"*",434,449,284,197
"259","1",16723740,16726087,2348,"*",175,136,176,107
"260","1",16920534,16928440,7907,"*",539,570,510,313
"261","1",16951250,16953304,2055,"*",137,132,129,110
"262","1",16962791,16973759,10969,"*",1251,1182,932,562
"263","1",16974969,16992539,17571,"*",1387,1260,1122,722
"264","1",16993679,17016709,23031,"*",1184,1169,1379,916
"265","1",17053352,17060797,7446,"*",280,249,445,295
"266","1",17074569,17078136,3568,"*",150,131,184,131
"267","1",17082988,17092435,9448,"*",632,545,641,416
"268","1",17093395,17100176,6782,"*",498,447,409,296
"269","1",17111443,17124535,13093,"*",897,838,1085,674
"270","1",17161358,17171121,9764,"*",426,461,944,644
"271","1",17189734,17205463,15730,"*",573,522,1326,921
"272","1",17207111,17209185,2075,"*",118,115,216,158
"273","1",17227857,17247766,19910,"*",1026,953,2006,1396
"274","1",17248754,17262316,13563,"*",633,602,970,683
"275","1",17275779,17288220,12442,"*",608,583,831,559
"276","1",17365395,17375683,10289,"*",498,475,611,430
"277","1",17395690,17408104,12415,"*",616,570,780,552
"278","1",17501638,17504065,2428,"*",146,114,171,121
"279","1",17526153,17534028,7876,"*",277,318,530,378
"280","1",17535169,17541521,6353,"*",380,340,527,343
"281","1",17545074,17578419,33346,"*",1646,1670,2553,1784
"282","1",17584607,17598543,13937,"*",848,891,1192,801
"283","1",17627255,17640340,13086,"*",590,586,758,468
"284","1",17723223,17727352,4130,"*",211,206,257,174
"285","1",17761974,17770849,8876,"*",416,432,668,455
"286","1",18479015,18486574,7560,"*",325,344,467,333
"287","1",18571319,18579274,7956,"*",453,471,477,337
"288","1",18624296,18651213,26918,"*",1723,1647,1425,932
"289","1",18680713,18682559,1847,"*",81,89,86,58
"290","1",18816642,18825086,8445,"*",669,692,557,364
"291","1",18845534,18893033,47500,"*",2639,2587,2371,1565
"292","1",18895139,18906103,10965,"*",385,378,616,440
"293","1",18912102,18919440,7339,"*",195,196,444,286
"294","1",18920796,18933540,12745,"*",521,543,1331,891
"295","1",18935014,18967892,32879,"*",935,913,2407,1545
"296","1",18996857,18999848,2992,"*",119,99,233,148
"297","1",19003692,19014417,10726,"*",287,284,796,539
"298","1",19031623,19038793,7171,"*",356,324,609,378
"299","1",19040305,19048093,7789,"*",311,313,593,413
"300","1",19061780,19078317,16538,"*",1038,939,1317,854
"301","1",19241385,19242899,1515,"*",62,59,134,90
"302","1",19310204,19316516,6313,"*",341,353,546,321
"303","1",19341536,19346145,4610,"*",223,220,315,181
"304","1",19429577,19431082,1506,"*",64,83,168,118
"305","1",19435225,19442525,7301,"*",211,223,477,358
"306","1",19447613,19455786,8174,"*",418,429,583,411
"307","1",19640206,19641895,1690,"*",138,126,153,124
"308","1",19642924,19673135,30212,"*",2060,1893,2110,1439
"309","1",19681770,19684511,2742,"*",137,173,215,152
"310","1",19701765,19705798,4034,"*",154,154,211,143
"311","1",19733304,19741258,7955,"*",360,345,726,500
"312","1",19757099,19764080,6982,"*",337,330,602,411
"313","1",19881917,19883369,1453,"*",43,55,111,92
"314","1",19948966,19951343,2378,"*",49,57,109,90
"315","1",20124297,20127343,3047,"*",145,160,260,153
"316","1",20145663,20153156,7494,"*",424,403,344,233
"317","1",20190599,20197748,7150,"*",258,245,388,264
"318","1",20209377,20213660,4284,"*",219,187,294,258
"319","1",20351871,20392548,40678,"*",1874,1734,2724,1876
"320","1",20409468,20416026,6559,"*",219,216,451,314
"321","1",20440849,20449423,8575,"*",423,417,605,380
"322","1",20483610,20498544,14935,"*",935,835,1235,858
"323","1",20548635,20558859,10225,"*",668,611,788,559
"324","1",20611136,20614914,3779,"*",86,88,243,192
"325","1",20714747,20734401,19655,"*",1547,1472,1116,775
"326","1",21232077,21240011,7935,"*",372,397,641,456
"327","1",21254541,21271830,17290,"*",954,874,1307,864
"328","1",21292594,21311711,19118,"*",892,842,1385,1083
"329","1",21319508,21329999,10492,"*",526,467,922,630
"330","1",21330916,21348131,17216,"*",988,977,1430,870
"331","1",21348986,21351008,2023,"*",126,127,182,157
"332","1",21368570,21372660,4091,"*",167,158,234,168
"333","1",21439131,21440881,1751,"*",86,66,84,67
"334","1",21490112,21493309,3198,"*",135,162,221,145
"335","1",21503467,21519474,16008,"*",880,843,903,665
"336","1",21529342,21544555,15214,"*",850,922,988,652
"337","1",21555476,21581248,25773,"*",1694,1582,1664,1016
"338","1",21638261,21674179,35919,"*",2362,2278,2437,1523
"339","1",21845722,21859976,14255,"*",831,758,679,471
"340","1",21863936,21905531,41596,"*",2510,2465,2548,1660
"341","1",21929680,21940895,11216,"*",632,587,696,485
"342","1",21955136,21959292,4157,"*",199,209,294,190
"343","1",21961006,21964961,3956,"*",168,168,215,188
"344","1",22024997,22026249,1253,"*",66,66,124,96
"345","1",22119636,22147807,28172,"*",1668,1616,1556,952
"346","1",22201870,22213390,11521,"*",774,630,841,566
"347","1",22240808,22278522,37715,"*",2352,2343,2441,1690
"348","1",22337498,22352627,15130,"*",898,875,854,559
"349","1",22382277,22411663,29387,"*",1656,1519,1692,1166
"350","1",22412510,22425574,13065,"*",709,652,805,521
"351","1",22535506,22574689,39184,"*",2747,2787,2118,1468
"352","1",22575670,22605079,29410,"*",1867,1755,1388,869
"353","1",22623945,22656558,32614,"*",1929,1860,1969,1369
"354","1",22700757,22704969,4213,"*",185,179,224,198
"355","1",22734058,22748416,14359,"*",610,508,1073,799
"356","1",22822701,22833065,10365,"*",619,568,1008,666
"357","1",22844300,22863727,19428,"*",1077,1002,1137,784
"358","1",22868388,22871703,3316,"*",171,156,232,186
"359","1",22962119,22965803,3685,"*",236,227,295,188
"360","1",22974911,22977167,2257,"*",80,100,189,164
"361","1",22978244,22979860,1617,"*",33,32,96,85
"362","1",23212122,23222614,10493,"*",518,477,605,411
"363","1",23367545,23372671,5127,"*",174,195,443,307
"364","1",23392223,23397925,5703,"*",198,196,452,302
"365","1",23402379,23405276,2898,"*",97,119,231,185
"366","1",23448958,23458425,9468,"*",786,667,1019,674
"367","1",23474901,23476655,1755,"*",97,100,186,157
"368","1",23480405,23486261,5857,"*",309,290,419,270
"369","1",23523771,23535791,12021,"*",730,684,1020,667
"370","1",23550683,23562692,12010,"*",437,440,1031,763
"371","1",23590374,23595342,4969,"*",221,220,436,279
"372","1",23634365,23635777,1413,"*",78,70,97,89
"373","1",23648701,23652783,4083,"*",158,164,207,123
"374","1",23656474,23658097,1624,"*",57,72,103,66
"375","1",23809668,23812828,3161,"*",104,127,237,178
"376","1",23864943,23871693,6751,"*",369,340,435,326
"377","1",23915431,23917328,1898,"*",95,80,120,107
"378","1",24046247,24047524,1278,"*",37,46,123,88
"379","1",24070883,24076317,5435,"*",295,264,328,247
"380","1",24085628,24100702,15075,"*",936,905,897,661
"381","1",24101816,24127598,25783,"*",1344,1291,1562,1056
"382","1",24147226,24151920,4695,"*",257,255,356,257
"383","1",24199395,24207008,7614,"*",399,390,579,398
"384","1",24236125,24237595,1471,"*",96,67,205,132
"385","1",24264133,24267803,3671,"*",105,112,386,275
"386","1",24277007,24280953,3947,"*",107,116,283,215
"387","1",24282574,24292174,9601,"*",370,387,735,539
"388","1",24293496,24295917,2422,"*",62,71,263,180
"389","1",24306301,24312109,5809,"*",250,230,467,371
"390","1",24314893,24329850,14958,"*",862,786,1115,798
"391","1",24331603,24355822,24220,"*",1295,1278,1574,966
"392","1",24357183,24371101,13919,"*",601,609,1035,678
"393","1",24391391,24394364,2974,"*",92,89,260,189
"394","1",24415437,24419837,4401,"*",143,146,414,305
"395","1",24514330,24516865,2536,"*",43,40,163,125
"396","1",24539758,24542308,2551,"*",28,25,99,90
"397","1",24555362,24560934,5573,"*",268,276,355,236
"398","1",24704485,24706841,2357,"*",87,82,182,185
"399","1",24724491,24725760,1270,"*",38,73,144,123
"400","1",24742190,24747945,5756,"*",147,183,345,239
"401","1",24895868,24907863,11996,"*",936,901,709,436
"402","1",24908709,24919575,10867,"*",716,674,738,463
"403","1",24920825,24944843,24019,"*",1301,1299,1283,826
"404","1",24945703,24952725,7023,"*",333,339,714,452
"405","1",24953525,24973656,20132,"*",1126,1197,1623,1058
"406","1",25011743,25058343,46601,"*",2869,2846,3235,2203
"407","1",25061135,25074590,13456,"*",1110,1109,1137,739
"408","1",25080126,25094178,14053,"*",876,821,910,598
"409","1",25097842,25109316,11475,"*",724,692,831,554
"410","1",25167028,25170642,3615,"*",317,342,380,279
"411","1",25189825,25201350,11526,"*",765,711,765,478
"412","1",25239630,25240983,1354,"*",56,54,150,100
"413","1",25534059,25539011,4953,"*",317,259,418,274
"414","1",25540746,25546633,5888,"*",314,263,324,174
"415","1",25561656,25575764,14109,"*",851,736,1005,683
"416","1",25608688,25625861,17174,"*",839,776,990,675
"417","1",25734472,25745154,10683,"*",530,531,550,392
"418","1",25804179,25811850,7672,"*",554,538,649,436
"419","1",25817630,25822208,4579,"*",265,253,537,293
"420","1",25895397,25899331,3935,"*",181,154,278,139
"421","1",25905063,25909732,4670,"*",204,218,365,257
"422","1",25996925,25999474,2550,"*",89,113,221,174
"423","1",26019699,26047693,27995,"*",2134,2075,2256,1400
"424","1",26080496,26086240,5745,"*",253,216,336,285
"425","1",26096664,26098305,1642,"*",57,45,98,96
"426","1",26153671,26172076,18406,"*",1286,1198,1161,725
"427","1",26233674,26237908,4235,"*",136,133,297,243
"428","1",26274186,26298133,23948,"*",1339,1340,1908,1332
"429","1",26314546,26325991,11446,"*",597,546,741,505
"430","1",26336081,26347262,11182,"*",748,676,761,511
"431","1",26349324,26368617,19294,"*",1191,1095,1684,1138
"432","1",26408435,26420882,12448,"*",517,478,713,453
"433","1",26524288,26525429,1142,"*",80,65,126,72
"434","1",26528674,26540719,12046,"*",649,671,735,498
"435","1",26676418,26678002,1585,"*",64,63,161,118
"436","1",26721860,26725962,4103,"*",89,105,282,242
"437","1",26742410,26745139,2730,"*",76,76,276,179
"438","1",26771217,26775679,4463,"*",96,102,386,257
"439","1",26799437,26801533,2097,"*",62,62,179,127
"440","1",26847942,26859015,11074,"*",599,612,904,548
"441","1",26861211,26865960,4750,"*",389,372,457,272
"442","1",26965951,26974146,8196,"*",511,459,514,348
"443","1",26990528,27013347,22820,"*",1154,1163,1568,1121
"444","1",27044437,27050315,5879,"*",280,253,286,214
"445","1",27068961,27075112,6152,"*",295,280,275,190
"446","1",27097424,27108031,10608,"*",641,621,802,473
"447","1",27108838,27112676,3839,"*",176,157,327,223
"448","1",27148813,27155360,6548,"*",319,285,435,271
"449","1",27296223,27308430,12208,"*",541,590,830,574
"450","1",27338707,27343951,5245,"*",346,360,399,243
"451","1",27344883,27354275,9393,"*",547,579,500,322
"452","1",27376189,27384282,8094,"*",508,465,440,291
"453","1",27386259,27397300,11042,"*",491,499,625,469
"454","1",27488115,27490843,2729,"*",74,80,167,133
"455","1",27515385,27530084,14700,"*",700,657,1001,622
"456","1",27534824,27540978,6155,"*",329,307,636,488
"457","1",27554307,27580624,26318,"*",1355,1320,1680,1137
"458","1",27585979,27619941,33963,"*",2109,2031,2356,1534
"459","1",27630467,27638227,7761,"*",396,338,418,250
"460","1",27643614,27648749,5136,"*",262,267,299,201
"461","1",27650104,27651350,1247,"*",35,39,143,100
"462","1",27655331,27657022,1692,"*",59,69,181,128
"463","1",27658132,27661084,2953,"*",105,139,270,192
"464","1",27662321,27666767,4447,"*",198,142,258,180
"465","1",27724720,27726609,1890,"*",75,76,104,73
"466","1",27862170,27864520,2351,"*",132,116,185,135
"467","1",27868808,27870223,1416,"*",102,88,119,59
"468","1",27871823,27880215,8393,"*",393,360,423,238
"469","1",27934808,27938102,3295,"*",179,149,197,150
"470","1",28087654,28089043,1390,"*",46,43,145,101
"471","1",28128013,28130441,2429,"*",64,52,132,90
"472","1",28163267,28164892,1626,"*",95,85,90,100
"473","1",28235729,28237539,1811,"*",84,81,171,89
"474","1",28247238,28251122,3885,"*",94,88,237,159
"475","1",28313867,28315649,1783,"*",69,57,113,71
"476","1",28369403,28371853,2451,"*",56,82,157,111
"477","1",28437221,28438489,1269,"*",42,37,154,131
"478","1",28598804,28603699,4896,"*",183,149,332,228
"479","1",28784916,28787953,3038,"*",102,99,133,130
"480","1",28810250,28820618,10369,"*",838,722,771,577
"481","1",28853257,28857708,4452,"*",268,293,321,220
"482","1",28876032,28880392,4361,"*",174,146,228,183
"483","1",28881596,28890903,9308,"*",451,418,630,387
"484","1",29127511,29136973,9463,"*",533,553,623,442
"485","1",29202372,29205114,2743,"*",107,77,230,130
"486","1",29230915,29261265,30351,"*",1836,1750,2513,1666
"487","1",29270726,29274004,3279,"*",140,147,239,150
"488","1",29389420,29398820,9401,"*",506,478,712,496
"489","1",29490198,29492391,2194,"*",76,73,125,95
"490","1",29569864,29571824,1961,"*",96,79,206,141
"491","1",29579384,29581198,1815,"*",126,126,165,115
"492","1",29590677,29600710,10034,"*",471,466,630,387
"493","1",29694338,29714810,20473,"*",1022,998,1092,764
"494","1",29792914,29794215,1302,"*",47,63,115,64
"495","1",30703557,30736377,32821,"*",1784,1807,2199,1480
"496","1",30754749,30766595,11847,"*",645,614,937,580
"497","1",30768370,30780321,11952,"*",585,578,628,421
"498","1",30797131,30810942,13812,"*",828,808,1125,731
"499","1",30813030,30827398,14369,"*",899,923,1486,1019
"500","1",30840449,30846264,5816,"*",300,306,407,299
"501","1",30852195,30862596,10402,"*",408,422,607,441
"502","1",30869885,30889662,19778,"*",998,955,1151,688
