"","CHR","START","END","GFP_1","GFP_3","YAF_2","YAF_3"
"51",1,2601878,2613726,790,781,558,337
"52",1,2627927,2635899,416,461,350,191
"53",1,2799580,2811893,861,782,429,297
"54",1,2845322,2848815,195,141,139,89
"55",1,2965827,2976535,588,580,346,202
"56",1,2978274,2985664,506,484,282,161
"57",1,2998112,3006230,520,533,264,194
"58",1,3008857,3045531,2618,2474,1533,1009
"59",1,3060066,3087818,1866,1892,1204,735
"60",1,3168608,3176105,818,758,735,509
"61",1,3211754,3239596,1493,1615,1312,862
"62",1,3301585,3317929,873,926,959,575
"63",1,3319004,3325825,378,434,418,257
"64",1,3345077,3379164,2514,2367,1732,1130
"65",1,3449242,3474971,3079,3133,2558,1554
"66",1,3475866,3486213,1339,1391,1083,677
"67",1,3573067,3582588,693,704,725,438
"68",1,3584047,3626154,3215,3233,3190,1942
"69",1,3666182,3693713,1969,1960,1522,1005
"70",1,3695049,3725398,2163,2216,1512,932
"71",1,3760906,3779989,1253,1262,1030,616
"72",1,3855542,3859997,235,231,251,198
"73",1,3899677,3901691,76,99,137,93
"74",1,3902704,3916981,675,713,804,443
"75",1,4598815,4604580,285,273,324,264
"76",1,5421509,5425866,257,232,374,282
"77",1,5501338,5516762,755,773,861,558
"78",1,5741500,5759878,1003,1068,902,561
"79",1,6012765,6018527,307,334,311,208
"80",1,6089209,6106864,1159,1092,643,413
"81",1,6108400,6113722,373,368,231,157
"82",1,6150624,6174406,1786,1644,1431,930
"83",1,6204771,6214236,636,516,461,296
"84",1,6237872,6283063,3322,3161,2912,1803
"85",1,6342154,6352689,518,511,682,451
"86",1,6410893,6442238,2553,2349,1954,1276
"87",1,6443218,6457808,1033,962,608,394
"88",1,6459369,6477925,972,926,820,515
"89",1,6481049,6493647,760,768,867,573
"90",1,6494669,6514362,1592,1553,1257,751
"91",1,6517382,6520739,186,180,282,244
"92",1,6584305,6589883,282,302,363,245
"93",1,6599099,6603545,196,186,318,236
"94",1,6612735,6613908,64,59,99,49
"95",1,6624111,6626403,68,82,157,94
"96",1,6770688,6772328,63,76,113,105
"97",1,6784674,6786940,82,75,124,94
"98",1,7046380,7054133,440,410,524,333
"99",1,7115879,7124507,348,370,658,536
"100",1,7207239,7209134,47,41,137,71
"101",1,7264104,7268571,122,125,306,232
"102",1,7297805,7304164,146,110,456,320
"103",1,7382057,7391466,412,404,593,387
"104",1,7620365,7654070,1955,1793,2011,1375
"105",1,7655639,7692743,2674,2498,2427,1562
"106",1,7700706,7706407,365,359,453,281
"107",1,7893637,7894783,43,36,102,103
"108",1,8004127,8006806,147,140,273,196
"109",1,8021676,8028687,240,203,649,422
"110",1,8075672,8079381,73,68,302,203
"111",1,8089436,8091763,57,53,198,154
"112",1,8137027,8138310,42,45,146,112
"113",1,8154112,8156973,80,86,226,185
"114",1,8210671,8213738,149,149,240,194
"115",1,8312427,8319311,429,506,510,361
"116",1,8342298,8352484,627,623,759,492
"117",1,8396250,8398972,39,27,214,157
"118",1,8407849,8410561,44,40,168,177
"119",1,8524889,8526721,35,37,174,117
"120",1,8843175,8849828,357,314,506,301
"121",1,8873553,8875871,33,36,169,124
"122",1,8889223,8890617,68,66,155,118
"123",1,8985158,8986986,64,59,173,107
"124",1,9025013,9026567,113,82,115,59
"125",1,9037350,9043569,364,383,295,188
"126",1,9084512,9086327,81,77,147,115
"127",1,9107789,9115295,310,344,399,261
"128",1,9127476,9129476,164,128,157,109
"129",1,9141491,9147228,256,235,362,219
"130",1,9172876,9175404,85,73,96,52
"131",1,9195722,9204677,700,687,706,545
"132",1,9239586,9245595,281,260,418,312
"133",1,9274959,9277200,136,163,292,223
"134",1,9278630,9284496,384,352,633,396
"135",1,9285464,9297175,530,460,760,463
"136",1,9300444,9306786,275,274,440,295
"137",1,9380444,9389263,547,499,767,462
"138",1,9396919,9403285,322,321,486,303
"139",1,9409838,9414221,133,107,345,233
"140",1,9437322,9441923,163,147,330,241
"141",1,9451853,9457991,310,257,397,251
"142",1,9470669,9481367,445,399,680,452
"143",1,9538205,9541014,93,82,167,124
"144",1,9625850,9632794,510,472,416,302
"145",1,9662079,9663505,60,74,90,64
"146",1,9714474,9725423,640,609,606,343
"147",1,9765837,9768294,55,49,157,142
"148",1,9822354,9827804,242,259,515,316
"149",1,9838761,9849913,694,649,713,446
"150",1,9869601,9887405,1393,1325,1529,1093
"151",1,9888339,9894952,371,379,560,440
"152",1,9900266,9911316,529,472,730,514
"153",1,10063616,10067369,58,48,216,166
"154",1,10073154,10075790,67,55,265,238
"155",1,10209812,10212457,62,53,199,159
"156",1,10398285,10400491,168,136,297,193
"157",1,10507196,10515214,219,235,494,353
"158",1,10673558,10693165,1251,1263,920,615
"159",1,10694758,10730170,2236,2096,1815,1146
"160",1,10785440,10791803,476,471,481,257
"161",1,10793316,10801925,532,472,487,320
"162",1,10822546,10842991,1062,1117,1226,752
"163",1,10853791,10882024,1636,1566,1367,917
"164",1,10888510,10892568,230,228,208,121
"165",1,10896829,10905032,587,492,511,353
"166",1,10905916,10918795,816,781,741,467
"167",1,10933303,10951100,1371,1336,1065,699
"168",1,10978569,10982542,156,165,237,183
"169",1,11037668,11040129,152,140,170,140
"170",1,11042172,11047500,329,324,240,178
"171",1,11052069,11064376,539,532,540,341
"172",1,11157914,11159185,25,33,84,83
"173",1,11272662,11273873,71,95,88,67
"174",1,11514484,11532528,953,864,696,414
"175",1,11645634,11659026,995,988,949,572
"176",1,11660075,11665020,279,261,267,163
"177",1,11687576,11717464,2083,2066,2033,1226
"178",1,11734550,11756165,1192,1135,1271,905
"179",1,11760033,11769666,624,588,504,322
"180",1,11774538,11797904,1259,1199,1149,765
"181",1,11802241,11807525,204,184,295,215
"182",1,11835497,11842278,358,303,353,244
"183",1,11854443,11883965,1545,1420,1436,981
"184",1,11885375,11895499,576,556,575,369
"185",1,11918111,11921546,133,109,220,149
"186",1,11933583,11935358,68,72,140,102
"187",1,12019158,12020716,75,112,196,111
"188",1,12027366,12032877,278,290,256,161
"189",1,12044236,12050279,315,312,314,227
"190",1,12062988,12066201,158,191,160,133
"191",1,12117602,12118968,42,39,74,64
"192",1,12121172,12149177,1620,1516,1550,1088
"193",1,12160918,12195626,2507,2408,2397,1595
"194",1,12229896,12231506,65,75,133,88
"195",1,12432822,12439468,87,84,598,460
"196",1,12453490,12458946,113,82,533,370
"197",1,12463787,12465311,37,16,143,96
"198",1,12475155,12487154,245,287,1191,808
"199",1,12537486,12543343,211,234,728,457
"200",1,12572607,12575612,98,84,327,250
"201",1,12588204,12589339,41,43,135,101
"202",1,12590217,12605459,498,489,1547,980
"203",1,12613435,12623315,350,289,978,597
"204",1,12758912,12761052,103,79,115,61
"205",1,13664630,13667356,98,108,169,124
"206",1,13721753,13727237,211,196,251,188
"207",1,14189454,14191599,53,65,155,87
"208",1,14319582,14322751,43,25,130,124
"209",1,14345618,14347789,37,41,245,188
"210",1,14485300,14488753,162,157,446,342
"211",1,14571857,14573217,74,72,125,85
"212",1,14590403,14603886,484,472,676,522
"213",1,14668595,14677970,320,302,431,331
"214",1,14704125,14705540,33,39,133,112
"215",1,14728566,14735890,302,269,417,300
"216",1,14736729,14746036,338,282,699,506
"217",1,14820493,14828268,291,281,407,272
"218",1,14892044,14897288,258,225,430,315
"219",1,14909428,14911898,118,95,241,173
"220",1,14920476,14926023,286,256,378,237
"221",1,14967198,14970806,155,170,449,358
"222",1,14993706,14999481,189,198,444,273
"223",1,15044525,15048159,134,152,173,143
"224",1,15094178,15104703,607,525,708,476
"225",1,15124202,15132015,313,276,436,324
"226",1,15202166,15208324,252,233,307,213
"227",1,15323273,15327918,270,227,273,187
"228",1,15334422,15338634,168,176,282,216
"229",1,15349233,15357494,353,327,676,478
"230",1,15378350,15395739,1150,1028,1265,969
"231",1,15402647,15414933,694,629,775,498
"232",1,15415914,15420131,266,271,388,280
"233",1,15421133,15433866,766,756,857,545
"234",1,15603053,15604715,59,53,110,63
"235",1,15678735,15681821,74,84,201,171
"236",1,15701954,15704324,92,80,142,103
"237",1,15753504,15766399,734,658,871,574
"238",1,15790853,15792427,89,84,100,69
"239",1,15797839,15804284,369,308,679,481
"240",1,15945469,15954650,512,450,821,536
"241",1,15965542,15967303,47,63,160,116
"242",1,15988770,15995968,537,551,522,328
"243",1,16003902,16034634,2490,2279,1912,1231
"244",1,16036933,16056666,1479,1365,1011,677
"245",1,16057511,16086212,2018,1870,2050,1298
"246",1,16087651,16098505,608,619,698,435
"247",1,16109292,16126628,1023,1017,1199,844
"248",1,16137760,16160380,1681,1508,2140,1386
"249",1,16163542,16179513,1070,975,1292,788
"250",1,16180109,16185329,309,320,496,346
"251",1,16186509,16192439,357,345,478,346
"252",1,16195595,16213391,1219,1113,1034,677
"253",1,16235571,16238887,135,113,263,204
"254",1,16385120,16387748,122,106,234,190
"255",1,16612195,16619086,380,293,487,398
"256",1,16620288,16622746,119,131,154,92
"257",1,16676882,16678324,48,55,81,51
"258",1,16715650,16722811,434,449,284,197
"259",1,16723740,16726087,175,136,176,107
"260",1,16920534,16928440,539,570,510,313
"261",1,16951250,16953304,137,132,129,110
"262",1,16962791,16973759,1251,1182,932,562
"263",1,16974969,16992539,1387,1260,1122,722
"264",1,16993679,17016709,1184,1169,1379,916
"265",1,17053352,17060797,280,249,445,295
"266",1,17074569,17078136,150,131,184,131
"267",1,17082988,17092435,632,545,641,416
"268",1,17093395,17100176,498,447,409,296
"269",1,17111443,17124535,897,838,1085,674
"270",1,17161358,17171121,426,461,944,644
"271",1,17189734,17205463,573,522,1326,921
"272",1,17207111,17209185,118,115,216,158
"273",1,17227857,17247766,1026,953,2006,1396
"274",1,17248754,17262316,633,602,970,683
"275",1,17275779,17288220,608,583,831,559
"276",1,17365395,17375683,498,475,611,430
"277",1,17395690,17408104,616,570,780,552
"278",1,17501638,17504065,146,114,171,121
"279",1,17526153,17534028,277,318,530,378
"280",1,17535169,17541521,380,340,527,343
"281",1,17545074,17578419,1646,1670,2553,1784
"282",1,17584607,17598543,848,891,1192,801
"283",1,17627255,17640340,590,586,758,468
"284",1,17723223,17727352,211,206,257,174
"285",1,17761974,17770849,416,432,668,455
"286",1,18479015,18486574,325,344,467,333
"287",1,18571319,18579274,453,471,477,337
"288",1,18624296,18651213,1723,1647,1425,932
"289",1,18680713,18682559,81,89,86,58
"290",1,18816642,18825086,669,692,557,364
"291",1,18845534,18893033,2639,2587,2371,1565
"292",1,18895139,18906103,385,378,616,440
"293",1,18912102,18919440,195,196,444,286
"294",1,18920796,18933540,521,543,1331,891
"295",1,18935014,18967892,935,913,2407,1545
"296",1,18996857,18999848,119,99,233,148
"297",1,19003692,19014417,287,284,796,539
"298",1,19031623,19038793,356,324,609,378
"299",1,19040305,19048093,311,313,593,413
"300",1,19061780,19078317,1038,939,1317,854
"301",1,19241385,19242899,62,59,134,90
"302",1,19310204,19316516,341,353,546,321
"303",1,19341536,19346145,223,220,315,181
"304",1,19429577,19431082,64,83,168,118
"305",1,19435225,19442525,211,223,477,358
"306",1,19447613,19455786,418,429,583,411
"307",1,19640206,19641895,138,126,153,124
"308",1,19642924,19673135,2060,1893,2110,1439
"309",1,19681770,19684511,137,173,215,152
"310",1,19701765,19705798,154,154,211,143
"311",1,19733304,19741258,360,345,726,500
"312",1,19757099,19764080,337,330,602,411
"313",1,19881917,19883369,43,55,111,92
"314",1,19948966,19951343,49,57,109,90
"315",1,20124297,20127343,145,160,260,153
"316",1,20145663,20153156,424,403,344,233
"317",1,20190599,20197748,258,245,388,264
"318",1,20209377,20213660,219,187,294,258
"319",1,20351871,20392548,1874,1734,2724,1876
"320",1,20409468,20416026,219,216,451,314
"321",1,20440849,20449423,423,417,605,380
"322",1,20483610,20498544,935,835,1235,858
"323",1,20548635,20558859,668,611,788,559
"324",1,20611136,20614914,86,88,243,192
"325",1,20714747,20734401,1547,1472,1116,775
"326",1,21232077,21240011,372,397,641,456
"327",1,21254541,21271830,954,874,1307,864
"328",1,21292594,21311711,892,842,1385,1083
"329",1,21319508,21329999,526,467,922,630
"330",1,21330916,21348131,988,977,1430,870
"331",1,21348986,21351008,126,127,182,157
"332",1,21368570,21372660,167,158,234,168
"333",1,21439131,21440881,86,66,84,67
"334",1,21490112,21493309,135,162,221,145
"335",1,21503467,21519474,880,843,903,665
"336",1,21529342,21544555,850,922,988,652
"337",1,21555476,21581248,1694,1582,1664,1016
"338",1,21638261,21674179,2362,2278,2437,1523
"339",1,21845722,21859976,831,758,679,471
"340",1,21863936,21905531,2510,2465,2548,1660
"341",1,21929680,21940895,632,587,696,485
"342",1,21955136,21959292,199,209,294,190
"343",1,21961006,21964961,168,168,215,188
"344",1,22024997,22026249,66,66,124,96
"345",1,22119636,22147807,1668,1616,1556,952
"346",1,22201870,22213390,774,630,841,566
"347",1,22240808,22278522,2352,2343,2441,1690
"348",1,22337498,22352627,898,875,854,559
"349",1,22382277,22411663,1656,1519,1692,1166
"350",1,22412510,22425574,709,652,805,521
"351",1,22535506,22574689,2747,2787,2118,1468
"352",1,22575670,22605079,1867,1755,1388,869
"353",1,22623945,22656558,1929,1860,1969,1369
"354",1,22700757,22704969,185,179,224,198
"355",1,22734058,22748416,610,508,1073,799
"356",1,22822701,22833065,619,568,1008,666
"357",1,22844300,22863727,1077,1002,1137,784
"358",1,22868388,22871703,171,156,232,186
"359",1,22962119,22965803,236,227,295,188
"360",1,22974911,22977167,80,100,189,164
"361",1,22978244,22979860,33,32,96,85
"362",1,23212122,23222614,518,477,605,411
"363",1,23367545,23372671,174,195,443,307
"364",1,23392223,23397925,198,196,452,302
"365",1,23402379,23405276,97,119,231,185
"366",1,23448958,23458425,786,667,1019,674
"367",1,23474901,23476655,97,100,186,157
"368",1,23480405,23486261,309,290,419,270
"369",1,23523771,23535791,730,684,1020,667
"370",1,23550683,23562692,437,440,1031,763
"371",1,23590374,23595342,221,220,436,279
"372",1,23634365,23635777,78,70,97,89
"373",1,23648701,23652783,158,164,207,123
"374",1,23656474,23658097,57,72,103,66
"375",1,23809668,23812828,104,127,237,178
"376",1,23864943,23871693,369,340,435,326
"377",1,23915431,23917328,95,80,120,107
"378",1,24046247,24047524,37,46,123,88
"379",1,24070883,24076317,295,264,328,247
"380",1,24085628,24100702,936,905,897,661
"381",1,24101816,24127598,1344,1291,1562,1056
"382",1,24147226,24151920,257,255,356,257
"383",1,24199395,24207008,399,390,579,398
"384",1,24236125,24237595,96,67,205,132
"385",1,24264133,24267803,105,112,386,275
"386",1,24277007,24280953,107,116,283,215
"387",1,24282574,24292174,370,387,735,539
"388",1,24293496,24295917,62,71,263,180
"389",1,24306301,24312109,250,230,467,371
"390",1,24314893,24329850,862,786,1115,798
"391",1,24331603,24355822,1295,1278,1574,966
"392",1,24357183,24371101,601,609,1035,678
"393",1,24391391,24394364,92,89,260,189
"394",1,24415437,24419837,143,146,414,305
"395",1,24514330,24516865,43,40,163,125
"396",1,24539758,24542308,28,25,99,90
"397",1,24555362,24560934,268,276,355,236
"398",1,24704485,24706841,87,82,182,185
"399",1,24724491,24725760,38,73,144,123
"400",1,24742190,24747945,147,183,345,239
"401",1,24895868,24907863,936,901,709,436
"402",1,24908709,24919575,716,674,738,463
"403",1,24920825,24944843,1301,1299,1283,826
"404",1,24945703,24952725,333,339,714,452
"405",1,24953525,24973656,1126,1197,1623,1058
"406",1,25011743,25058343,2869,2846,3235,2203
"407",1,25061135,25074590,1110,1109,1137,739
"408",1,25080126,25094178,876,821,910,598
"409",1,25097842,25109316,724,692,831,554
"410",1,25167028,25170642,317,342,380,279
"411",1,25189825,25201350,765,711,765,478
"412",1,25239630,25240983,56,54,150,100
"413",1,25534059,25539011,317,259,418,274
"414",1,25540746,25546633,314,263,324,174
"415",1,25561656,25575764,851,736,1005,683
"416",1,25608688,25625861,839,776,990,675
"417",1,25734472,25745154,530,531,550,392
"418",1,25804179,25811850,554,538,649,436
"419",1,25817630,25822208,265,253,537,293
"420",1,25895397,25899331,181,154,278,139
"421",1,25905063,25909732,204,218,365,257
"422",1,25996925,25999474,89,113,221,174
"423",1,26019699,26047693,2134,2075,2256,1400
"424",1,26080496,26086240,253,216,336,285
"425",1,26096664,26098305,57,45,98,96
"426",1,26153671,26172076,1286,1198,1161,725
"427",1,26233674,26237908,136,133,297,243
"428",1,26274186,26298133,1339,1340,1908,1332
"429",1,26314546,26325991,597,546,741,505
"430",1,26336081,26347262,748,676,761,511
"431",1,26349324,26368617,1191,1095,1684,1138
"432",1,26408435,26420882,517,478,713,453
"433",1,26524288,26525429,80,65,126,72
"434",1,26528674,26540719,649,671,735,498
"435",1,26676418,26678002,64,63,161,118
"436",1,26721860,26725962,89,105,282,242
"437",1,26742410,26745139,76,76,276,179
"438",1,26771217,26775679,96,102,386,257
"439",1,26799437,26801533,62,62,179,127
"440",1,26847942,26859015,599,612,904,548
"441",1,26861211,26865960,389,372,457,272
"442",1,26965951,26974146,511,459,514,348
"443",1,26990528,27013347,1154,1163,1568,1121
"444",1,27044437,27050315,280,253,286,214
"445",1,27068961,27075112,295,280,275,190
"446",1,27097424,27108031,641,621,802,473
"447",1,27108838,27112676,176,157,327,223
"448",1,27148813,27155360,319,285,435,271
"449",1,27296223,27308430,541,590,830,574
"450",1,27338707,27343951,346,360,399,243
"451",1,27344883,27354275,547,579,500,322
"452",1,27376189,27384282,508,465,440,291
"453",1,27386259,27397300,491,499,625,469
"454",1,27488115,27490843,74,80,167,133
"455",1,27515385,27530084,700,657,1001,622
"456",1,27534824,27540978,329,307,636,488
"457",1,27554307,27580624,1355,1320,1680,1137
"458",1,27585979,27619941,2109,2031,2356,1534
"459",1,27630467,27638227,396,338,418,250
"460",1,27643614,27648749,262,267,299,201
"461",1,27650104,27651350,35,39,143,100
"462",1,27655331,27657022,59,69,181,128
"463",1,27658132,27661084,105,139,270,192
"464",1,27662321,27666767,198,142,258,180
"465",1,27724720,27726609,75,76,104,73
"466",1,27862170,27864520,132,116,185,135
"467",1,27868808,27870223,102,88,119,59
"468",1,27871823,27880215,393,360,423,238
"469",1,27934808,27938102,179,149,197,150
"470",1,28087654,28089043,46,43,145,101
"471",1,28128013,28130441,64,52,132,90
"472",1,28163267,28164892,95,85,90,100
"473",1,28235729,28237539,84,81,171,89
"474",1,28247238,28251122,94,88,237,159
"475",1,28313867,28315649,69,57,113,71
"476",1,28369403,28371853,56,82,157,111
"477",1,28437221,28438489,42,37,154,131
"478",1,28598804,28603699,183,149,332,228
"479",1,28784916,28787953,102,99,133,130
"480",1,28810250,28820618,838,722,771,577
"481",1,28853257,28857708,268,293,321,220
"482",1,28876032,28880392,174,146,228,183
"483",1,28881596,28890903,451,418,630,387
"484",1,29127511,29136973,533,553,623,442
"485",1,29202372,29205114,107,77,230,130
"486",1,29230915,29261265,1836,1750,2513,1666
"487",1,29270726,29274004,140,147,239,150
"488",1,29389420,29398820,506,478,712,496
"489",1,29490198,29492391,76,73,125,95
"490",1,29569864,29571824,96,79,206,141
"491",1,29579384,29581198,126,126,165,115
"492",1,29590677,29600710,471,466,630,387
"493",1,29694338,29714810,1022,998,1092,764
"494",1,29792914,29794215,47,63,115,64
"495",1,30703557,30736377,1784,1807,2199,1480
"496",1,30754749,30766595,645,614,937,580
"497",1,30768370,30780321,585,578,628,421
"498",1,30797131,30810942,828,808,1125,731
"499",1,30813030,30827398,899,923,1486,1019
"500",1,30840449,30846264,300,306,407,299
"501",1,30852195,30862596,408,422,607,441
"502",1,30869885,30889662,998,955,1151,688
"503",1,30890929,30916108,1426,1349,1635,989
"504",1,30928561,30931282,96,94,233,193
"505",1,31098823,31104461,293,279,245,187
"506",1,31152275,31153808,31,36,82,86
"507",1,31178922,31188704,468,446,710,450
"508",1,31232930,31241283,579,546,637,424
"509",1,31376125,31377239,76,68,129,78
"510",1,31393871,31398623,239,221,441,345
"511",1,31405193,31417889,965,899,1162,828
"512",1,31420610,31439834,1013,988,1438,967
"513",1,31497728,31513576,789,715,1372,931
"514",1,31546806,31550390,238,216,386,288
"515",1,31562329,31565433,140,125,257,225
"516",1,31571404,31578217,475,437,861,585
"517",1,31579280,31594711,941,911,1227,802
"518",1,31612725,31633510,1331,1221,1820,1178
"519",1,31648923,31675804,1975,1809,1952,1277
"520",1,31676894,31709721,2210,2068,2090,1389
"521",1,31795389,31801306,435,390,550,329
"522",1,31931789,31933040,18,19,64,59
"523",1,31976592,31979354,62,69,129,70
"524",1,32214656,32217494,141,98,204,129
"525",1,32234352,32236619,72,87,242,183
"526",1,32246626,32248486,110,107,152,132
"527",1,32249698,32254177,242,241,347,228
"528",1,32272733,32275446,162,160,268,135
"529",1,32329920,32343566,962,858,1527,1009
"530",1,32344449,32350213,387,321,508,317
"531",1,32393364,32395453,73,89,214,135
"532",1,32698915,32704752,298,306,444,288
"533",1,32715689,32722246,396,411,474,345
"534",1,32724527,32725768,81,90,181,126
"535",1,32739641,32744731,311,262,368,234
"536",1,32753649,32756046,114,100,131,72
"537",1,32765043,32777016,566,612,962,704
"538",1,32816659,32818636,63,63,136,71
"539",1,32866620,32879497,1145,1173,1069,706
"540",1,32880192,32908189,2141,2097,2000,1189
"541",1,32962020,32965229,104,77,206,122
"542",1,32991620,32994267,138,150,200,170
"543",1,33004758,33009230,185,150,311,217
"544",1,33035161,33037293,132,139,249,166
"545",1,33044540,33050994,383,343,392,284
"546",1,33053658,33064028,804,742,554,432
"547",1,33079073,33089277,793,679,725,452
"548",1,33096515,33100665,176,205,411,288
"549",1,33178990,33183991,301,265,319,229
"550",1,33218781,33222826,206,193,351,226
"551",1,33254532,33267107,677,636,780,520
"552",1,33292792,33304431,457,489,745,534
"553",1,33327200,33333205,144,155,459,311
"554",1,33336331,33343899,178,158,564,410
"555",1,33346159,33351767,128,131,385,298
"556",1,33363827,33374603,592,588,696,519
"557",1,33426005,33431882,163,135,355,224
"558",1,33433475,33437283,113,97,315,237
"559",1,33438629,33444270,133,109,354,283
"560",1,33466029,33471100,255,262,431,294
"561",1,33633157,33639235,303,323,537,358
"562",1,33640907,33644760,80,81,191,130
"563",1,33762939,33764619,39,36,122,113
"564",1,33980482,33988463,398,398,670,466
"565",1,34161263,34167970,380,382,519,305
"566",1,34197860,34201206,75,88,267,177
"567",1,34264701,34276029,315,292,783,626
"568",1,34354495,34373425,418,351,1664,1179
"569",1,34596543,34599336,84,83,211,116
"570",1,34779499,34789665,716,684,896,606
"571",1,35030370,35032194,31,21,80,76
"572",1,35046893,35048015,34,39,132,107
"573",1,35447820,35455103,148,155,507,395
"574",1,35504771,35507714,57,59,218,195
"575",1,35555684,35569630,641,605,910,577
"576",1,35706940,35711050,292,261,369,230
"577",1,35713402,35721045,371,348,577,401
"578",1,36094817,36100990,266,239,414,216
"579",1,36104230,36109851,345,328,372,242
"580",1,36121136,36129101,543,519,489,336
"581",1,36133400,36138156,164,156,385,277
"582",1,36148715,36153691,161,154,335,263
"583",1,36186792,36188660,97,99,168,144
"584",1,36298396,36301012,68,58,219,172
"585",1,36305459,36308627,256,229,326,216
"586",1,36348152,36356272,571,484,980,680
"587",1,36366419,36370264,116,115,279,162
"588",1,36372800,36375313,103,115,340,231
"589",1,36384564,36388924,124,100,414,279
"590",1,36396316,36398266,66,54,137,92
"591",1,36420877,36422777,70,58,102,71
"592",1,36470777,36476120,326,298,330,213
"593",1,36511872,36525875,766,782,863,528
"594",1,36647615,36652141,203,175,222,161
"595",1,36652932,36654978,87,103,112,79
"596",1,36703659,36707651,204,164,219,148
"597",1,37415037,37416929,96,82,117,94
"598",1,37428868,37441489,751,669,762,527
"599",1,37471339,37487780,894,857,1432,918
"600",1,37611285,37644890,2062,1842,1753,1199
"601",1,37689094,37693248,152,141,253,131
"602",1,37739847,37742817,118,106,195,147
"603",1,37930437,37933291,124,92,190,131
"604",1,37996740,38001889,206,177,450,241
"605",1,38025155,38031980,434,457,667,398
"606",1,38032994,38079576,2605,2443,2687,1772
"607",1,38082979,38098915,737,788,985,634
"608",1,38584800,38589847,166,157,186,155
"609",1,38728208,38731598,132,118,226,138
"610",1,38940496,38942345,110,92,161,115
"611",1,39097593,39099922,91,87,158,111
"612",1,39129573,39133522,83,74,280,202
"613",1,39153061,39155459,83,90,205,163
"614",1,39158232,39160931,88,100,275,182
"615",1,39183604,39186197,43,45,164,145
"616",1,39191391,39193678,26,43,157,127
"617",1,39204254,39206412,47,55,249,199
"618",1,39407374,39414540,203,182,539,358
"619",1,39676514,39699786,1271,1175,1551,1069
"620",1,39785506,39789993,173,145,137,92
"621",1,39814226,39821257,400,389,521,367
"622",1,39895898,39904557,484,455,542,360
"623",1,39952009,39962356,444,420,689,442
"624",1,40078465,40080672,46,56,127,101
"625",1,40143719,40147498,145,141,208,183
"626",1,40309557,40319663,646,594,918,498
"627",1,40372102,40375907,88,96,251,200
"628",1,40621712,40631798,474,495,580,366
"629",1,40657190,40670064,680,576,738,515
"630",1,40778874,40813723,2171,2058,1858,1300
"631",1,40857834,40864042,360,326,367,259
"632",1,41001527,41004687,113,135,324,249
"633",1,41108886,41110661,35,37,144,119
"634",1,41274215,41291558,831,821,1038,706
"635",1,41313359,41324794,639,598,775,499
"636",1,41353949,41400505,3545,3365,3585,2247
"637",1,41401663,41438530,2381,2250,2530,1699
"638",1,41444507,41458227,594,617,904,611
"639",1,41473658,41506370,2683,2511,3182,1973
"640",1,41510493,41519525,557,529,646,433
"641",1,41616185,41621183,259,221,378,287
"642",1,41626087,41630090,156,150,371,236
"643",1,41658791,41675326,829,797,1262,911
"644",1,41776265,41785174,445,404,567,389
