"CHR","START","END","GFP_1","GFP_3","YAF_2","YAF_3"
"1",12537486,12543343,211,234,728,457
"1",12572607,12575612,98,84,327,250
"1",12588204,12589339,41,43,135,101
"1",12590217,12605459,498,489,1547,980
"1",12613435,12623315,350,289,978,597
"1",12758912,12761052,103,79,115,61
"1",13664630,13667356,98,108,169,124
"1",13721753,13727237,211,196,251,188
"1",14189454,14191599,53,65,155,87
"1",14319582,14322751,43,25,130,124
"1",14345618,14347789,37,41,245,188
"1",14485300,14488753,162,157,446,342
"1",14571857,14573217,74,72,125,85
"1",14590403,14603886,484,472,676,522
"1",14668595,14677970,320,302,431,331
"1",14704125,14705540,33,39,133,112
"1",14728566,14735890,302,269,417,300
"1",14736729,14746036,338,282,699,506
"1",14820493,14828268,291,281,407,272
"1",14892044,14897288,258,225,430,315
"1",14909428,14911898,118,95,241,173
"1",14920476,14926023,286,256,378,237
"1",14967198,14970806,155,170,449,358
"1",14993706,14999481,189,198,444,273
"1",15044525,15048159,134,152,173,143
"1",15094178,15104703,607,525,708,476
"1",15124202,15132015,313,276,436,324
"1",15202166,15208324,252,233,307,213
"1",15323273,15327918,270,227,273,187
"1",15334422,15338634,168,176,282,216
"1",15349233,15357494,353,327,676,478
"1",15378350,15395739,1150,1028,1265,969
"1",15402647,15414933,694,629,775,498
"1",15415914,15420131,266,271,388,280
"1",15421133,15433866,766,756,857,545
"1",15603053,15604715,59,53,110,63
"1",15678735,15681821,74,84,201,171
"1",15701954,15704324,92,80,142,103
"1",15753504,15766399,734,658,871,574
"1",15790853,15792427,89,84,100,69
"1",15797839,15804284,369,308,679,481
"1",15945469,15954650,512,450,821,536
"1",15965542,15967303,47,63,160,116
"1",15988770,15995968,537,551,522,328
"1",16003902,16034634,2490,2279,1912,1231
"1",16036933,16056666,1479,1365,1011,677
"1",16057511,16086212,2018,1870,2050,1298
"1",16087651,16098505,608,619,698,435
"1",16109292,16126628,1023,1017,1199,844
"1",16137760,16160380,1681,1508,2140,1386
"1",16163542,16179513,1070,975,1292,788
"1",16180109,16185329,309,320,496,346
"1",16186509,16192439,357,345,478,346
"1",16195595,16213391,1219,1113,1034,677
"1",16235571,16238887,135,113,263,204
"1",16385120,16387748,122,106,234,190
"1",16612195,16619086,380,293,487,398
"1",16620288,16622746,119,131,154,92
"1",16676882,16678324,48,55,81,51
"1",16715650,16722811,434,449,284,197
"1",16723740,16726087,175,136,176,107
"1",16920534,16928440,539,570,510,313
"1",16951250,16953304,137,132,129,110
"1",16962791,16973759,1251,1182,932,562
"1",16974969,16992539,1387,1260,1122,722
"1",16993679,17016709,1184,1169,1379,916
"1",17053352,17060797,280,249,445,295
"1",17074569,17078136,150,131,184,131
"1",17082988,17092435,632,545,641,416
"1",17093395,17100176,498,447,409,296
"1",17111443,17124535,897,838,1085,674
"1",17161358,17171121,426,461,944,644
"1",17189734,17205463,573,522,1326,921
"1",17207111,17209185,118,115,216,158
"1",17227857,17247766,1026,953,2006,1396
"1",17248754,17262316,633,602,970,683
"1",17275779,17288220,608,583,831,559
"1",17365395,17375683,498,475,611,430
"1",17395690,17408104,616,570,780,552
"1",17501638,17504065,146,114,171,121
"1",17526153,17534028,277,318,530,378
"1",17535169,17541521,380,340,527,343
"1",17545074,17578419,1646,1670,2553,1784
"1",17584607,17598543,848,891,1192,801
"1",17627255,17640340,590,586,758,468
"1",17723223,17727352,211,206,257,174
"1",17761974,17770849,416,432,668,455
"1",18479015,18486574,325,344,467,333
"1",18571319,18579274,453,471,477,337
"1",18624296,18651213,1723,1647,1425,932
"1",18680713,18682559,81,89,86,58
"1",18816642,18825086,669,692,557,364
"1",18845534,18893033,2639,2587,2371,1565
"1",18895139,18906103,385,378,616,440
"1",18912102,18919440,195,196,444,286
"1",18920796,18933540,521,543,1331,891
"1",18935014,18967892,935,913,2407,1545
"1",18996857,18999848,119,99,233,148
"1",19003692,19014417,287,284,796,539
"1",19031623,19038793,356,324,609,378
"1",19040305,19048093,311,313,593,413
"1",19061780,19078317,1038,939,1317,854
"1",19241385,19242899,62,59,134,90
"1",19310204,19316516,341,353,546,321
"1",19341536,19346145,223,220,315,181
"1",19429577,19431082,64,83,168,118
"1",19435225,19442525,211,223,477,358
"1",19447613,19455786,418,429,583,411
"1",19640206,19641895,138,126,153,124
"1",19642924,19673135,2060,1893,2110,1439
"1",19681770,19684511,137,173,215,152
"1",19701765,19705798,154,154,211,143
"1",19733304,19741258,360,345,726,500
"1",19757099,19764080,337,330,602,411
"1",19881917,19883369,43,55,111,92
"1",19948966,19951343,49,57,109,90
"1",20124297,20127343,145,160,260,153
"1",20145663,20153156,424,403,344,233
"1",20190599,20197748,258,245,388,264
"1",20209377,20213660,219,187,294,258
"1",20351871,20392548,1874,1734,2724,1876
"1",20409468,20416026,219,216,451,314
"1",20440849,20449423,423,417,605,380
"1",20483610,20498544,935,835,1235,858
"1",20548635,20558859,668,611,788,559
"1",20611136,20614914,86,88,243,192
"1",20714747,20734401,1547,1472,1116,775
"1",21232077,21240011,372,397,641,456
"1",21254541,21271830,954,874,1307,864
"1",21292594,21311711,892,842,1385,1083
"1",21319508,21329999,526,467,922,630
"1",21330916,21348131,988,977,1430,870
"1",21348986,21351008,126,127,182,157
"1",21368570,21372660,167,158,234,168
"1",21439131,21440881,86,66,84,67
"1",21490112,21493309,135,162,221,145
"1",21503467,21519474,880,843,903,665
"1",21529342,21544555,850,922,988,652
"1",21555476,21581248,1694,1582,1664,1016
"1",21638261,21674179,2362,2278,2437,1523
"1",21845722,21859976,831,758,679,471
"1",21863936,21905531,2510,2465,2548,1660
"1",21929680,21940895,632,587,696,485
"1",21955136,21959292,199,209,294,190
"1",21961006,21964961,168,168,215,188
"1",22024997,22026249,66,66,124,96
"1",22119636,22147807,1668,1616,1556,952
"1",22201870,22213390,774,630,841,566
"1",22240808,22278522,2352,2343,2441,1690
"1",22337498,22352627,898,875,854,559
"1",22382277,22411663,1656,1519,1692,1166
"1",22412510,22425574,709,652,805,521
"1",22535506,22574689,2747,2787,2118,1468
"1",22575670,22605079,1867,1755,1388,869
"1",22623945,22656558,1929,1860,1969,1369
"1",22700757,22704969,185,179,224,198
"1",22734058,22748416,610,508,1073,799
"1",22822701,22833065,619,568,1008,666
"1",22844300,22863727,1077,1002,1137,784
"1",22868388,22871703,171,156,232,186
"1",22962119,22965803,236,227,295,188
"1",22974911,22977167,80,100,189,164
"1",22978244,22979860,33,32,96,85
"1",23212122,23222614,518,477,605,411
"1",23367545,23372671,174,195,443,307
"1",23392223,23397925,198,196,452,302
"1",23402379,23405276,97,119,231,185
"1",23448958,23458425,786,667,1019,674
"1",23474901,23476655,97,100,186,157
"1",23480405,23486261,309,290,419,270
"1",23523771,23535791,730,684,1020,667
"1",23550683,23562692,437,440,1031,763
"1",23590374,23595342,221,220,436,279
"1",23634365,23635777,78,70,97,89
"1",23648701,23652783,158,164,207,123
"1",23656474,23658097,57,72,103,66
"1",23809668,23812828,104,127,237,178
"1",23864943,23871693,369,340,435,326
"1",23915431,23917328,95,80,120,107
"1",24046247,24047524,37,46,123,88
"1",24070883,24076317,295,264,328,247
"1",24085628,24100702,936,905,897,661
"1",24101816,24127598,1344,1291,1562,1056
"1",24147226,24151920,257,255,356,257
"1",24199395,24207008,399,390,579,398
"1",24236125,24237595,96,67,205,132
"1",24264133,24267803,105,112,386,275
"1",24277007,24280953,107,116,283,215
"1",24282574,24292174,370,387,735,539
"1",24293496,24295917,62,71,263,180
"1",24306301,24312109,250,230,467,371
"1",24314893,24329850,862,786,1115,798
"1",24331603,24355822,1295,1278,1574,966
"1",24357183,24371101,601,609,1035,678
"1",24391391,24394364,92,89,260,189
"1",24415437,24419837,143,146,414,305
"1",24514330,24516865,43,40,163,125
"1",24539758,24542308,28,25,99,90
"1",24555362,24560934,268,276,355,236
"1",24704485,24706841,87,82,182,185
"1",24724491,24725760,38,73,144,123
"1",24742190,24747945,147,183,345,239
"1",24895868,24907863,936,901,709,436
"1",24908709,24919575,716,674,738,463
"1",24920825,24944843,1301,1299,1283,826
"1",24945703,24952725,333,339,714,452
"1",24953525,24973656,1126,1197,1623,1058
"1",25011743,25058343,2869,2846,3235,2203
"1",25061135,25074590,1110,1109,1137,739
"1",25080126,25094178,876,821,910,598
"1",25097842,25109316,724,692,831,554
"1",25167028,25170642,317,342,380,279
"1",25189825,25201350,765,711,765,478
"1",25239630,25240983,56,54,150,100
"1",25534059,25539011,317,259,418,274
"1",25540746,25546633,314,263,324,174
"1",25561656,25575764,851,736,1005,683
"1",25608688,25625861,839,776,990,675
"1",25734472,25745154,530,531,550,392
"1",25804179,25811850,554,538,649,436
"1",25817630,25822208,265,253,537,293
"1",25895397,25899331,181,154,278,139
"1",25905063,25909732,204,218,365,257
"1",25996925,25999474,89,113,221,174
"1",26019699,26047693,2134,2075,2256,1400
"1",26080496,26086240,253,216,336,285
"1",26096664,26098305,57,45,98,96
"1",26153671,26172076,1286,1198,1161,725
"1",26233674,26237908,136,133,297,243
"1",26274186,26298133,1339,1340,1908,1332
"1",26314546,26325991,597,546,741,505
"1",26336081,26347262,748,676,761,511
"1",26349324,26368617,1191,1095,1684,1138
"1",26408435,26420882,517,478,713,453
"1",26524288,26525429,80,65,126,72
"1",26528674,26540719,649,671,735,498
"1",26676418,26678002,64,63,161,118
"1",26721860,26725962,89,105,282,242
"1",26742410,26745139,76,76,276,179
"1",26771217,26775679,96,102,386,257
"1",26799437,26801533,62,62,179,127
"1",26847942,26859015,599,612,904,548
"1",26861211,26865960,389,372,457,272
"1",26965951,26974146,511,459,514,348
"1",26990528,27013347,1154,1163,1568,1121
"1",27044437,27050315,280,253,286,214
"1",27068961,27075112,295,280,275,190
"1",27097424,27108031,641,621,802,473
"1",27108838,27112676,176,157,327,223
"1",27148813,27155360,319,285,435,271
"1",27296223,27308430,541,590,830,574
"1",27338707,27343951,346,360,399,243
"1",27344883,27354275,547,579,500,322
"1",27376189,27384282,508,465,440,291
"1",27386259,27397300,491,499,625,469
"1",27488115,27490843,74,80,167,133
"1",27515385,27530084,700,657,1001,622
"1",27534824,27540978,329,307,636,488
"1",27554307,27580624,1355,1320,1680,1137
"1",27585979,27619941,2109,2031,2356,1534
"1",27630467,27638227,396,338,418,250
"1",27643614,27648749,262,267,299,201
"1",27650104,27651350,35,39,143,100
"1",27655331,27657022,59,69,181,128
"1",27658132,27661084,105,139,270,192
"1",27662321,27666767,198,142,258,180
"1",27724720,27726609,75,76,104,73
"1",27862170,27864520,132,116,185,135
"1",27868808,27870223,102,88,119,59
"1",27871823,27880215,393,360,423,238
"1",27934808,27938102,179,149,197,150
"1",28087654,28089043,46,43,145,101
"1",28128013,28130441,64,52,132,90
"1",28163267,28164892,95,85,90,100
"1",28235729,28237539,84,81,171,89
"1",28247238,28251122,94,88,237,159
"1",28313867,28315649,69,57,113,71
"1",28369403,28371853,56,82,157,111
"1",28437221,28438489,42,37,154,131
"1",28598804,28603699,183,149,332,228
"1",28784916,28787953,102,99,133,130
"1",28810250,28820618,838,722,771,577
"1",28853257,28857708,268,293,321,220
"1",28876032,28880392,174,146,228,183
"1",28881596,28890903,451,418,630,387
"1",29127511,29136973,533,553,623,442
"1",29202372,29205114,107,77,230,130
"1",29230915,29261265,1836,1750,2513,1666
"1",29270726,29274004,140,147,239,150
"1",29389420,29398820,506,478,712,496
"1",29490198,29492391,76,73,125,95
"1",29569864,29571824,96,79,206,141
"1",29579384,29581198,126,126,165,115
"1",29590677,29600710,471,466,630,387
"1",29694338,29714810,1022,998,1092,764
"1",29792914,29794215,47,63,115,64
"1",30703557,30736377,1784,1807,2199,1480
"1",30754749,30766595,645,614,937,580
"1",30768370,30780321,585,578,628,421
"1",30797131,30810942,828,808,1125,731
"1",30813030,30827398,899,923,1486,1019
"1",30840449,30846264,300,306,407,299
"1",30852195,30862596,408,422,607,441
"1",30869885,30889662,998,955,1151,688
"1",30890929,30916108,1426,1349,1635,989
"1",30928561,30931282,96,94,233,193
"1",31098823,31104461,293,279,245,187
"1",31152275,31153808,31,36,82,86
"1",31178922,31188704,468,446,710,450
"1",31232930,31241283,579,546,637,424
"1",31376125,31377239,76,68,129,78
"1",31393871,31398623,239,221,441,345
"1",31405193,31417889,965,899,1162,828
"1",31420610,31439834,1013,988,1438,967
"1",31497728,31513576,789,715,1372,931
"1",31546806,31550390,238,216,386,288
"1",31562329,31565433,140,125,257,225
"1",31571404,31578217,475,437,861,585
"1",31579280,31594711,941,911,1227,802
"1",31612725,31633510,1331,1221,1820,1178
"1",31648923,31675804,1975,1809,1952,1277
"1",31676894,31709721,2210,2068,2090,1389
"1",31795389,31801306,435,390,550,329
"1",31931789,31933040,18,19,64,59
"1",31976592,31979354,62,69,129,70
"1",32214656,32217494,141,98,204,129
"1",32234352,32236619,72,87,242,183
"1",32246626,32248486,110,107,152,132
"1",32249698,32254177,242,241,347,228
"1",32272733,32275446,162,160,268,135
"1",32329920,32343566,962,858,1527,1009
"1",32344449,32350213,387,321,508,317
"1",32393364,32395453,73,89,214,135
"1",32698915,32704752,298,306,444,288
"1",32715689,32722246,396,411,474,345
"1",32724527,32725768,81,90,181,126
"1",32739641,32744731,311,262,368,234
"1",32753649,32756046,114,100,131,72
"1",32765043,32777016,566,612,962,704
"1",32816659,32818636,63,63,136,71
"1",32866620,32879497,1145,1173,1069,706
"1",32880192,32908189,2141,2097,2000,1189
"1",32962020,32965229,104,77,206,122
"1",32991620,32994267,138,150,200,170
"1",33004758,33009230,185,150,311,217
"1",33035161,33037293,132,139,249,166
"1",33044540,33050994,383,343,392,284
"1",33053658,33064028,804,742,554,432
"1",33079073,33089277,793,679,725,452
"1",33096515,33100665,176,205,411,288
"1",33178990,33183991,301,265,319,229
"1",33218781,33222826,206,193,351,226
"1",33254532,33267107,677,636,780,520
"1",33292792,33304431,457,489,745,534
"1",33327200,33333205,144,155,459,311
"1",33336331,33343899,178,158,564,410
"1",33346159,33351767,128,131,385,298
"1",33363827,33374603,592,588,696,519
"1",33426005,33431882,163,135,355,224
"1",33433475,33437283,113,97,315,237
"1",33438629,33444270,133,109,354,283
"1",33466029,33471100,255,262,431,294
"1",33633157,33639235,303,323,537,358
"1",33640907,33644760,80,81,191,130
"1",33762939,33764619,39,36,122,113
"1",33980482,33988463,398,398,670,466
"1",34161263,34167970,380,382,519,305
"1",34197860,34201206,75,88,267,177
"1",34264701,34276029,315,292,783,626
"1",34354495,34373425,418,351,1664,1179
"1",34596543,34599336,84,83,211,116
"1",34779499,34789665,716,684,896,606
"1",35030370,35032194,31,21,80,76
"1",35046893,35048015,34,39,132,107
"1",35447820,35455103,148,155,507,395
"1",35504771,35507714,57,59,218,195
"1",35555684,35569630,641,605,910,577
"1",35706940,35711050,292,261,369,230
"1",35713402,35721045,371,348,577,401
"1",36094817,36100990,266,239,414,216
"1",36104230,36109851,345,328,372,242
"1",36121136,36129101,543,519,489,336
"1",36133400,36138156,164,156,385,277
"1",36148715,36153691,161,154,335,263
"1",36186792,36188660,97,99,168,144
"1",36298396,36301012,68,58,219,172
"1",36305459,36308627,256,229,326,216
"1",36348152,36356272,571,484,980,680
"1",36366419,36370264,116,115,279,162
"1",36372800,36375313,103,115,340,231
"1",36384564,36388924,124,100,414,279
"1",36396316,36398266,66,54,137,92
"1",36420877,36422777,70,58,102,71
"1",36470777,36476120,326,298,330,213
"1",36511872,36525875,766,782,863,528
"1",36647615,36652141,203,175,222,161
"1",36652932,36654978,87,103,112,79
"1",36703659,36707651,204,164,219,148
"1",37415037,37416929,96,82,117,94
"1",37428868,37441489,751,669,762,527
"1",37471339,37487780,894,857,1432,918
"1",37611285,37644890,2062,1842,1753,1199
"1",37689094,37693248,152,141,253,131
"1",37739847,37742817,118,106,195,147
"1",37930437,37933291,124,92,190,131
"1",37996740,38001889,206,177,450,241
"1",38025155,38031980,434,457,667,398
"1",38032994,38079576,2605,2443,2687,1772
"1",38082979,38098915,737,788,985,634
"1",38584800,38589847,166,157,186,155
"1",38728208,38731598,132,118,226,138
"1",38940496,38942345,110,92,161,115
"1",39097593,39099922,91,87,158,111
"1",39129573,39133522,83,74,280,202
"1",39153061,39155459,83,90,205,163
"1",39158232,39160931,88,100,275,182
"1",39183604,39186197,43,45,164,145
"1",39191391,39193678,26,43,157,127
"1",39204254,39206412,47,55,249,199
"1",39407374,39414540,203,182,539,358
"1",39676514,39699786,1271,1175,1551,1069
"1",39785506,39789993,173,145,137,92
"1",39814226,39821257,400,389,521,367
"1",39895898,39904557,484,455,542,360
"1",39952009,39962356,444,420,689,442
"1",40078465,40080672,46,56,127,101
"1",40143719,40147498,145,141,208,183
"1",40309557,40319663,646,594,918,498
"1",40372102,40375907,88,96,251,200
"1",40621712,40631798,474,495,580,366
"1",40657190,40670064,680,576,738,515
"1",40778874,40813723,2171,2058,1858,1300
"1",40857834,40864042,360,326,367,259
"1",41001527,41004687,113,135,324,249
"1",41108886,41110661,35,37,144,119
"1",41274215,41291558,831,821,1038,706
"1",41313359,41324794,639,598,775,499
"1",41353949,41400505,3545,3365,3585,2247
"1",41401663,41438530,2381,2250,2530,1699
"1",41444507,41458227,594,617,904,611
"1",41473658,41506370,2683,2511,3182,1973
"1",41510493,41519525,557,529,646,433
"1",41616185,41621183,259,221,378,287
"1",41626087,41630090,156,150,371,236
"1",41658791,41675326,829,797,1262,911
"1",41776265,41785174,445,404,567,389
"1",41810482,41814555,125,105,312,232
"1",41821077,41824653,93,72,243,184
"1",41846491,41849069,71,50,180,136
"1",41855642,41857735,63,54,193,139
"1",41873975,41875907,80,92,159,119
"1",41900125,41906080,158,159,450,305
"1",41915577,41921771,186,187,579,415
"1",41952918,41960707,183,178,611,513
"1",42161383,42175978,715,732,1115,694
"1",42462831,42464095,53,52,91,103
"1",42764494,42768072,117,103,285,201
"1",42922801,42964096,1373,1311,3466,2339
"1",43020805,43023487,96,114,280,204
"1",43302215,43320170,1007,991,1086,596
"1",43357974,43369083,543,559,905,617
"1",43520520,43523695,106,110,251,154
"1",43575012,43585472,439,451,522,349
"1",43594592,43610215,888,816,824,541
"1",43649592,43651988,113,91,265,192
"1",43762888,43767481,86,83,345,276
"1",43782258,43784334,52,49,219,181
"1",43830445,43839768,259,267,939,747
"1",43849800,43855040,114,93,390,220
"1",43858012,43864922,359,358,648,432
"1",43876607,43880542,146,154,312,222
"1",43929691,43940230,499,528,759,493
"1",43969617,43987647,893,906,1194,688
"1",43990109,44004232,800,773,813,561
"1",44005065,44008686,267,275,325,245
"1",44009759,44018016,711,601,647,438
"1",44019376,44037253,957,929,1212,762
"1",44327521,44330499,109,97,291,239
"1",44405035,44409105,184,147,360,197
"1",44420410,44425955,239,209,541,414
"1",44495819,44502748,211,190,580,405
"1",44531655,44533313,55,44,228,175
"1",44591769,44595680,214,185,297,180
"1",44648617,44658219,409,383,622,403
"1",44670990,44675024,178,193,397,283
"1",44705829,44709017,166,148,299,217
"1",44714927,44717812,103,93,165,121
"1",44789855,44794082,228,231,279,205
"1",44799771,44814103,656,568,752,482
"1",45007313,45015511,384,349,591,344
"1",45015872,45020795,205,196,320,206
"1",45303571,45305939,108,70,174,135
"1",45488594,45492203,198,151,211,199
"1",45524496,45526534,44,60,93,75
"1",45549843,45552233,74,64,177,110
"1",45567012,45570696,176,127,314,224
"1",45802691,45806299,74,65,200,151
"1",46039309,46041562,63,69,193,143
"1",46131703,46135727,110,99,306,245
"1",46171185,46176705,341,295,478,294
"1",46177959,46186147,344,336,667,456
"1",46220070,46226518,186,197,378,303
"1",46246560,46249146,93,109,199,158
"1",46395660,46416330,1375,1288,1122,771
"1",46427691,46463128,2367,2259,2332,1537
"1",46464010,46500951,2759,2679,2880,1881
"1",46506397,46536341,2937,2726,3061,2019
"1",46537785,46562781,1641,1552,1730,1138
"1",46603430,46607841,136,136,253,199
"1",46610897,46621143,576,472,741,483
"1",46721627,46726248,172,166,304,195
"1",46747286,46751775,144,150,243,182
