"seqnames","start","end","width","strand","Conc","Conc_YAF","Conc_GFP","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chr3",150231429,150239422,7994,"*",7.7505532438931,8.43639536378798,6.39711890692705,1.89621689103425,9.10848576046606e-17,3.27864085168776e-14,"Promoter (<=1kb)",3,150238519,150240203,1685,1,"101927992","ENST00000472890.5",0
"chr5",35849571,35865490,15920,"*",8.58693298680294,9.21572742925072,7.44683149131938,1.67281700720918,1.01347552330304e-16,3.38599971945542e-14,"Promoter (<=1kb)",5,35852695,35860948,8254,1,"3575","ENST00000508941.5",0
"chr11",96275992,96282164,6173,"*",7.03734198269491,7.78290983902059,5.40858154441718,2.1628052143064,1.02619009050297e-16,3.38599971945542e-14,"Intron (ENST00000524717.6/84441, intron 1 of 4)",11,96341438,96341526,89,1,"100422991","ENST00000582890.3",-59274
"chr7",116508999,116514995,5997,"*",6.92846707313794,7.68996045081385,5.2141911595046,2.23973203899864,1.23368339172402e-16,3.907815511625e-14,"Distal Intergenic",7,116500044,116506353,6310,1,"858","ENST00000495841.1",8955
"chr5",68324512,68346755,22244,"*",9.36463084231865,9.97902975375679,8.2725366845863,1.61680266482702,1.75401398304034e-16,5.34232181988325e-14,"Distal Intergenic",5,68293814,68297937,4124,1,"5295","ENST00000697470.1",30698
"chr5",98305436,98310936,5501,"*",7.14991286267804,7.87684212515455,5.6141107030688,2.0664534833568,2.12138068547755e-16,6.22193098085064e-14,"Distal Intergenic",5,98085871,98161352,75482,2,"105379098","ENST00000505908.2",-144084
"chr8",131838848,131847637,8790,"*",7.5503421362438,8.2526906822618,6.12700374014179,1.97121108120148,2.238128759981e-16,6.32990773224626e-14,"Distal Intergenic",8,131904093,132013642,109550,1,"23167","ENST00000254624.10",-56456
"chr4",48899159,48911575,12417,"*",8.37200414517304,9.0390668124858,7.09329163679787,1.8188390767733,2.89523951405934e-16,7.69875960962014e-14,"Promoter (<=1kb)",4,48885019,48906774,21756,2,"132299","ENST00000508632.6",0
"chr1",12418179,12493020,74842,"*",10.9024635998601,11.5445670778288,9.71606088162163,1.72006543302176,2.91656507499184e-16,7.69875960962014e-14,"Promoter (<=1kb)",1,12464940,12512047,47108,1,"55187","ENST00000543766.2",0
"chr6",53287349,53304943,17595,"*",8.70686932448513,9.35266494421363,7.50727634978427,1.73729473250998,3.04223575924975e-16,7.77144031532219e-14,"5' UTR",6,53276993,53277071,79,1,"100847075","ENST00000579080.1",10356
"chr3",172150360,172162179,11820,"*",8.34302213578692,8.99224908573657,7.13103088809847,1.74787643325394,3.23923338152574e-16,8.01609035884449e-14,"Intron (ENST00000415807.7/64778, intron 3 of 25)",3,172126974,172251456,124483,1,"64778","ENST00000443501.1",23386
"chr15",55914598,55918445,3848,"*",6.83290211021315,7.5930889149643,5.12587266944016,2.21761752938396,3.68847140778167e-16,8.85121366006759e-14,"Promoter (<=1kb)",15,55826922,55915654,88733,2,"4734","ENST00000508871.5",0
"chr3",188261831,188268639,6809,"*",8.76071040985914,9.40062866133071,7.5820422960649,1.71390369250001,4.10669695534979e-16,9.56498034982793e-14,"Intron (ENST00000448637.5/4026, intron 1 of 6)",3,188239864,188406291,166428,1,"4026","ENST00000457242.1",21967
"chr15",85401234,85409233,8000,"*",7.63478403847777,8.32821071120205,6.24974852721472,1.92857870992406,6.29468079219135e-16,1.42421649123895e-13,"Intron (ENST00000559362.5/11214, intron 1 of 14)",15,85380756,85521508,140753,1,"11214","ENST00000560256.1",20478
"chr2",75521387,75534119,12733,"*",8.3083831935511,8.9643441733309,7.07165825195754,1.77406315638961,6.50869025994156e-16,1.43173106023548e-13,"Promoter (<=1kb)",2,75524068,75542706,18639,1,"101927884","ENST00000451622.2",0
"chr15",36426686,36433622,6937,"*",7.12557144307147,7.84276607184231,5.63559295202458,2.01735940086682,9.93558902257842e-16,2.12648458026483e-13,"Distal Intergenic",15,36438972,36444512,5541,2,"105370769","ENST00000558963.2",10890
"chr8",95799381,95812443,13063,"*",8.34705468750866,8.97741484994607,7.2016045279356,1.67337596889498,1.41465153195332e-15,2.94805933724693e-13,"Promoter (<=1kb)",8,95800578,95811079,10502,1,"100616530","ENST00000663556.1",0
"chr1",119977031,119989312,12282,"*",8.23493327316806,8.8827416664108,7.02808413729315,1.74064210431562,1.58463536377115e-15,3.14704033217326e-13,"Promoter (<=1kb)",1,119950365,119987050,36686,2,"4853","ENST00000640021.1",0
"chr7",80939751,80945041,5291,"*",6.93824259389366,7.6767880248951,5.34535485410009,2.10446161723688,1.58961501814535e-15,3.14704033217326e-13,"Distal Intergenic",7,80744868,80922359,177492,2,"10512","ENST00000419255.6",-17392
"chr2",38144094,38149984,5891,"*",7.258789269041,8.00512594669562,5.62603595283387,2.15545448353125,1.70687048996967e-15,3.29675790489508e-13,"Exon (ENST00000653994.1/285154, exon 4 of 4)",2,38132637,38138946,6310,2,"107985871","ENST00000417213.1",-5148
"chr3",188270075,188275416,5342,"*",8.1503102106519,8.78308824598279,6.99654969083402,1.6817662396284,1.79257912324595e-15,3.37986525642492e-13,"Intron (ENST00000448637.5/4026, intron 1 of 6)",3,188239864,188406291,166428,1,"4026","ENST00000457242.1",30211
"chr7",43639442,43654879,15438,"*",9.0527939689437,9.69213834025468,7.87614831279959,1.70592117103736,2.03515786051652e-15,3.7480035110303e-13,"Promoter (<=1kb)",7,43638799,43646425,7627,2,"55744","ENST00000490251.1",0
"chr3",189708566,189718705,10140,"*",7.97048437467668,8.62226281305452,6.74918503950604,1.75272799357365,2.71430320138772e-15,4.88512887540666e-13,"Intron (ENST00000264731.8/8626, intron 1 of 13)",3,189789659,189897276,107618,1,"8626","ENST00000354600.10",-70954
"chr2",101750554,101759553,9000,"*",7.81958526673962,8.48717229655788,6.53885089625032,1.81726753462999,3.27056218327783e-15,5.7554626509727e-13,"Intron (ENST00000427603.5/9448, intron 3 of 4)",2,101797234,101891611,94378,1,"9448","ENST00000627726.3",-37681
"chr7",47780618,47788168,7551,"*",7.40841238989857,8.12594978543371,5.91685004909078,2.02519726626784,3.87297247478898e-15,6.66740631040303e-13,"Exon (ENST00000690269.1/168507, exon 57 of 58)",7,47795291,47819830,24540,1,"80099","ENST00000623971.3",-7123
"chr7",130908314,130927755,19442,"*",9.49568647651826,10.1050454069586,8.41991969110552,1.58921303336214,7.84598860840143e-15,1.32196561255172e-12,"Promoter (<=1kb)",7,130913508,130930680,17173,1,"100506860","ENST00000664231.1",0
"chr7",43690501,43696312,5812,"*",7.28111877390617,7.97613857483883,5.88933510367772,1.91596125412488,8.85623094957574e-15,1.46109360186855e-12,"Intron (ENST00000415076.6/55744, intron 1 of 6)",7,43646297,43729474,83178,2,"55744","ENST00000451651.5",33162
"chr11",86735319,86755778,20460,"*",9.02114466290123,9.61961342788721,7.97985022239939,1.54960611328455,1.05837925671988e-14,1.71047047631933e-12,"Promoter (<=1kb)",11,86736206,86765467,29262,1,"102724775","ENST00000669614.1",0
"chr5",62028467,62032393,3927,"*",6.60841767992179,7.37909588341422,4.84195429548751,2.24778698806363,1.12377645936672e-14,1.77983715634501e-12,"Distal Intergenic",5,61902617,61917275,14659,2,"105378998","ENST00000701665.1",-111192
"chr2",174834337,174837579,3243,"*",6.18563745059793,7.02676459578238,3.92410810369286,2.57512575676089,1.48770011875181e-14,2.31001906674422e-12,"3' UTR",2,174799515,174846405,46891,2,"1123","ENST00000409597.5",8826
"chr17",20168480,20180827,12348,"*",8.22421965603943,8.83979082338635,7.12829300676131,1.60917912454733,1.91890003498231e-14,2.92226334173556e-12,"Intron (ENST00000676570.1/92521, intron 3 of 7)",17,20156089,20237179,81091,1,"92521","ENST00000395525.7",12391
"chr8",137138640,137150843,12204,"*",8.1487540582958,8.75959336538052,7.06821652660048,1.59131574556084,2.04385763716209e-14,3.05383181673332e-12,"Distal Intergenic",8,136805273,136815687,10415,1,"124902073","ENST00000653309.1",333367
"chr3",188294858,188297332,2475,"*",7.57956059036406,8.23259449074363,6.35365297819115,1.7438306484144,3.30867611038949e-14,4.85211224410636e-12,"Intron (ENST00000448637.5/4026, intron 1 of 6)",3,188341663,188609279,267617,1,"4026","ENST00000494233.5",-44331
"chr17",9360809,9373369,12561,"*",8.60090804403534,9.22524839768615,7.47588331188282,1.64166498422479,3.77715526318465e-14,5.43841682348349e-12,"Intron (ENST00000306357.9/9482, intron 7 of 7)",17,9250474,9437889,187416,2,"9482","ENST00000570583.5",64520
"chr3",173888027,173894545,6519,"*",7.10070301642236,7.79173868460311,5.72572258935049,1.89336518304741,4.15972269726559e-14,5.79541104273539e-12,"Intron (ENST00000695368.1/22871, intron 4 of 6)",3,173910636,173920658,10023,2,"100874010","ENST00000457192.1",26113
"chr11",35125485,35186500,61016,"*",10.649673769921,11.2521956461051,9.59567571487537,1.55865745089488,4.17146646591637e-14,5.79541104273539e-12,"Promoter (<=1kb)",11,35132655,35138032,5378,2,"100507144","ENST00000528366.1",0
"chr7",47761089,47766435,5347,"*",7.44092316688565,8.1267423010212,6.08758330658542,1.87893395196286,4.94749280663783e-14,6.75503371306293e-12,"Promoter (<=1kb)",7,47761476,47766772,5297,1,"84847","ENST00000412730.1",0
"chr7",28753388,28761828,8441,"*",7.72627463822744,8.36182596739264,6.56290550974813,1.67933025036601,5.16874150457468e-14,6.93750236859778e-12,"Intron (ENST00000396299.6/9586, intron 6 of 9)",7,28724300,28726731,2432,1,"9586","ENST00000468813.1",29088
"chr21",25933969,25939879,5911,"*",6.89240648608106,7.60913174147389,5.40459343999503,1.99539085679979,5.64063857363154e-14,7.44470281076469e-12,"Exon (ENST00000617755.1/ENST00000617755.1, exon 2 of 2)",21,25880550,25925142,44593,2,"351","ENST00000707133.1",-8827
"chr4",74765794,74771961,6168,"*",7.06463378002224,7.7544081879675,5.69492267014595,1.88516261344167,7.37415416037857e-14,9.57310275344884e-12,"Promoter (<=1kb)",4,74746379,74770156,23778,2,"685","ENST00000512743.1",0
"chr15",39188100,39200965,12866,"*",8.27209388907155,8.90270239648736,7.12579299708842,1.66220531629427,8.53807908480284e-14,1.09053303665409e-11,"Promoter (<=1kb)",15,39071503,39196004,124502,2,"105370777","ENST00000647271.1",0
"chr1",218458238,218461068,2831,"*",6.60673841584683,7.34641185238764,5.00815993790785,2.08358520344569,1.29967166252744e-13,1.63366665008806e-11,"Promoter (<=1kb)",1,218459265,218525978,66714,1,"440714","ENST00000663551.1",0
"chr1",34354066,34375122,21057,"*",9.77121755017362,10.3611199051118,8.75629568367158,1.51051320603628,1.32039408054678e-13,1.63378136310155e-11,"Distal Intergenic",1,34176907,34219131,42225,1,"84970","ENST00000488417.2",177159
"chr11",128500084,128509184,9101,"*",8.34563184786814,8.93583066647208,7.32980788673623,1.51318170295785,1.39866890275399e-13,1.70400908321674e-11,"Promoter (<=1kb)",11,128489470,128505394,15925,2,"2113","ENST00000608978.1",0
"chr6",134908183,134912654,4472,"*",7.21506587180545,7.88118204967519,5.93999387107769,1.78525010145254,1.62167456072547e-13,1.94576376460379e-11,"Distal Intergenic",6,134918530,134929161,10632,2,"64577","ENST00000460753.1",16507
"chr5",9345343,9352823,7481,"*",7.61784826132024,8.25163618698352,6.46059832328016,1.66879162801962,1.66471363480201e-13,1.96759213044733e-11,"Intron (ENST00000382496.10/9037, intron 3 of 22)",5,9237719,9380023,142305,2,"9037","ENST00000509486.2",27200
"chr15",98886650,98898350,11701,"*",8.14893904333982,8.76043370262923,7.06628291923376,1.58748324044484,2.28931450013583e-13,2.66604140096701e-11,"Promoter (<=1kb)",15,98890341,98911398,21058,1,"3480","ENST00000558898.1",0
"chr1",113655044,113661003,5960,"*",7.16359931687081,7.85651781865812,5.7807081276408,1.89815554747195,2.42429782316883e-13,2.77266961751902e-11,"Exon (ENST00000307546.14/260425, exon 16 of 21)",1,113699875,113705981,6107,2,"10745","ENST00000481652.1",44978
"chr15",85410211,85415027,4817,"*",6.74995127401854,7.49511418234407,5.12328864769084,2.11577945690285,2.4509012908995e-13,2.77266961751902e-11,"Intron (ENST00000559362.5/11214, intron 1 of 14)",15,85380756,85521508,140753,1,"11214","ENST00000560256.1",29455
"chr15",43910207,43916643,6437,"*",8.15890732304026,8.78920540859826,7.01366971327403,1.65683490660786,2.71415055470399e-13,3.02723355530999e-11,"Promoter (<=1kb)",15,43901914,43909927,8014,2,"84978","ENST00000479319.1",-280
"chr6",45605386,45621626,16241,"*",8.76520703824505,9.35612486816785,7.74719211577055,1.51375303670046,3.0918658426641e-13,3.40062300111903e-11,"Intron (ENST00000576263.5/860, intron 6 of 6)",6,45573346,45576770,3425,2,"105375077","ENST00000563807.1",-28616
"chr1",115153853,115161444,7592,"*",7.7000556616082,8.34320340408081,6.50993791647224,1.69366800978015,3.52805489139004e-13,3.82721461437229e-11,"Distal Intergenic",1,115099580,115102686,3107,1,"105378916","ENST00000448680.2",54273
"chr1",173264891,173270979,6089,"*",7.1000468863995,7.77376564532285,5.79540120276898,1.81099009296477,3.88343798226284e-13,4.15580342993776e-11,"Distal Intergenic",1,173183731,173207331,23601,2,"7292","ENST00000281834.4",-57560
"chr3",72378086,72384106,6021,"*",7.50406132196784,8.16590090626366,6.24529555526936,1.77000120964973,5.48793362393102e-13,5.71970512951718e-11,"Promoter (<=1kb)",3,72374502,72380359,5858,2,"23429","ENST00000677329.1",0
"chr9",2554681,2561150,6470,"*",7.9979245310198,8.60247492510597,6.9375127352852,1.56021191689352,5.48929902567629e-13,5.71970512951718e-11,"Intron (ENST00000648733.1/101930053, intron 1 of 11)",9,2535652,2570754,35103,2,"401491","ENST00000424605.5",9604
"chr7",130959590,130963090,3501,"*",7.24353332197213,7.90304571044372,5.99354404513834,1.75912403332543,5.77660213894479e-13,5.94089770627322e-11,"Exon (ENST00000642156.2/378805, exon 4 of 6)",7,130791264,130941584,150321,2,"105375509","ENST00000702906.1",-18006
"chrX",45805922,45812955,7034,"*",7.51700263831218,8.15345938369395,6.35047858985361,1.67347404353335,6.51641578065015e-13,6.61583289320109e-11,"Distal Intergenic",23,45768380,45770269,1890,2,"104457406","ENST00000602507.1",-35653
"chr10",62248784,62251558,2775,"*",5.91497445500326,6.74970223758166,3.70727690281328,2.48228028217978,7.39361685623811e-13,7.4113989727278e-11,"Intron (ENST00000373789.8/219790, intron 2 of 11)",10,62183035,62236263,53229,2,"219790","ENST00000315289.6",-12521
"chr11",403027,410603,7577,"*",8.55126375465758,7.42575597578358,9.17574775097217,-1.62107792634432,7.59050684251353e-13,7.51365296073308e-11,"Promoter (<=1kb)",11,404087,404681,595,1,"11187","ENST00000525642.1",0
"chr11",968019,982205,14187,"*",9.41387059386615,8.39167954184275,10.006154902383,-1.50985953591282,8.008055118679e-13,7.82910968948383e-11,"Promoter (1-2kb)",11,984191,987097,2907,1,"161","ENST00000690846.1",-1986
"chr6",113017600,113019964,2365,"*",6.44231353601875,7.18699013211368,4.81816542393545,2.08593118100319,8.22087669555163e-13,7.91323137963412e-11,"Intron (ENST00000670062.1/107986636, intron 1 of 6)",6,112988311,113084454,96144,1,"107986636","ENST00000670062.1",29289
"chr11",128447648,128461626,13979,"*",8.65981216524985,9.23647273227949,7.6844351192474,1.46086495960704,8.29395383899017e-13,7.91323137963412e-11,"Promoter (2-3kb)",11,128462544,128463950,1407,2,"2113","ENST00000530924.2",2324
"chr4",53474235,53477144,2910,"*",7.51463438274765,8.14906168746251,6.35516959588398,1.66288340392419,9.47245645590492e-13,8.9300455564656e-11,"Exon (ENST00000306888.6/84708, exon 8 of 10)",4,53458551,53459402,852,1,"81608","ENST00000507206.1",15684
"chr8",67710970,67725058,14089,"*",8.62144008974216,9.19383787717552,7.65849070501746,1.44118010790886,1.13093011791516e-12,1.05362771809061e-10,"Intron (ENST00000297770.10/57094, intron 1 of 10)",8,67422125,67746343,324219,2,"57094","ENST00000479862.6",21285
"chr3",170736997,170758281,21285,"*",9.19116743654339,9.74821610411569,8.27180770266046,1.39281857863432,1.23093569396377e-12,1.13346276284873e-10,"Exon (ENST00000480067.1/101928583, exon 6 of 6)",3,170692014,170733921,41908,2,"124906302","ENST00000660477.1",-3076
"chr7",20349776,20353611,3836,"*",6.58256904516655,7.30377546109109,5.07391925866829,1.9851552934772,1.28138329868119e-12,1.16635337267314e-10,"Exon (ENST00000460204.1/3696, exon 2 of 2)",7,20364645,20382081,17437,1,"3696","ENST00000477859.1",-11034
"chr5",113080350,113100265,19916,"*",9.12321122674361,9.69449416939288,8.16348845164537,1.43983209103635,1.48298621934871e-12,1.33451907625255e-10,"Exon (ENST00000302475.9/4163, exon 7 of 17)",5,113101543,113104625,3083,2,"4163","ENST00000505604.1",4360
"chr15",90417804,90422320,4517,"*",6.8291579917312,7.53221430095796,5.40272676967602,1.90282658310376,1.50903771905652e-12,1.34270446036052e-10,"Intron (ENST00000268182.10/8826, intron 2 of 37)",15,90426152,90429849,3698,1,"8826","ENST00000559682.1",-3832
"chr1",118329288,118344517,15230,"*",8.81464905900671,9.37766795679495,7.8785456437994,1.41158473818323,1.64261882189807e-12,1.44532205006787e-10,"Distal Intergenic",1,118185349,118207051,21703,1,"105378930","ENST00000664031.1",143939
"chr1",218583936,218589022,5087,"*",7.18975291626096,7.85583948630962,5.91479461037126,1.78107599065289,1.66310378622799e-12,1.447265811334e-10,"Distal Intergenic",1,218541690,218541899,210,2,"124904666","ENST00000391308.2",-42037
"chr5",93076634,93081325,4692,"*",6.64399994412355,7.3620865859204,5.14989523964614,1.98127109817034,1.71523631128393e-12,1.47640829881059e-10,"Distal Intergenic",5,92907180,92939591,32412,2,"107984117","ENST00000507491.1",-137043
"chr5",76683958,76693496,9539,"*",7.87545083432008,8.47340891567887,6.83574660063106,1.5273466166416,1.88231165892348e-12,1.6027984975285e-10,"3' UTR",5,76677154,76695506,18353,1,"10788","ENST00000512256.1",6804
"chr5",28406662,28409770,3109,"*",6.01297503725742,6.81537024258625,4.04722368914388,2.32218593483393,2.04832169353701e-12,1.72560207352336e-10,"Distal Intergenic",5,28285964,28287807,1844,2,"105374698","ENST00000664667.1",-118855
"chr15",87775611,87785092,9482,"*",8.36633322567057,8.93483825652407,7.41460832699972,1.42815487662354,2.34832325923411e-12,1.95751283051315e-10,"Distal Intergenic",15,87432058,87703852,271795,2,"102724465","ENST00000560439.1",-71759
"chr20",10108715,10117462,8748,"*",7.9332151823516,8.52181392617946,6.92225113764333,1.49538277761095,2.56445675502905e-12,2.11540969198698e-10,"Intron (ENST00000661614.1/100131208, intron 2 of 4)",20,10172395,10290553,118159,1,"105372524","ENST00000693732.1",-54933
"chr16",47571119,47576749,5631,"*",7.33442112663121,7.97800999173141,6.14273037551317,1.69170355927469,3.5671498015837e-12,2.88954311367623e-10,"Intron (ENST00000566044.5/5257, intron 8 of 31)",16,47594150,47598036,3887,1,"5257","ENST00000566436.1",-17401
"chr6",111476443,111479806,3364,"*",6.18561952516935,6.96525923236769,4.3660113524196,2.22178093001475,3.57589626392562e-12,2.88954311367623e-10,"Intron (ENST00000434009.5/5980, intron 1 of 33)",6,111299031,111482919,183889,2,"5980","ENST00000434009.5",3113
"chr2",19910623,19912975,2353,"*",6.8991480490544,7.59837043098646,5.489373835887,1.87928178118891,3.92208790740214e-12,3.13727415542602e-10,"3' UTR",2,19896631,19901983,5353,2,"130502","ENST00000333610.4",-8640
"chr1",94263927,94277974,14048,"*",8.62382533446458,9.17343118851874,7.72497579747095,1.36207675516371,4.12444185239483e-12,3.26614550291147e-10,"Promoter (<=1kb)",1,94149847,94275068,125222,2,"9411","ENST00000552844.5",0
"chr8",125324933,125346053,21121,"*",9.12796342507152,9.68498698397642,8.2086735550497,1.38755596400438,5.08111655299644e-12,3.98389722605731e-10,"Intron (ENST00000517532.5/286053, intron 5 of 6)",8,125363026,125367116,4091,1,"286053","ENST00000521460.1",-16973
"chr20",11258164,11263871,5708,"*",7.10643958871737,7.7771565146032,5.81356208605596,1.78950162419492,5.44497323548117e-12,4.22732775017406e-10,"Intron (ENST00000444792.1/339593, intron 7 of 7)",20,11264944,11273385,8442,2,"339593","ENST00000666460.1",9514
"chr2",205705786,205709224,3439,"*",6.68354637258048,7.37669042069255,5.29970393513551,1.86606323564664,5.63910687700456e-12,4.33554246203875e-10,"Intron (ENST00000360409.7/8828, intron 2 of 16)",2,205722265,205723922,1658,1,"8828","ENST00000477199.1",-13041
"chr1",112903150,112908208,5059,"*",6.89820663856375,7.57851121588426,5.56731314141479,1.8247992556529,6.53928858481279e-12,4.97929099068582e-10,"Distal Intergenic",1,112918018,112922392,4375,2,"6566","ENST00000481750.1",14184
"chr7",130886266,130906259,19994,"*",10.1684087514712,10.727010491148,9.24471869519442,1.39108283283393,6.89093186939139e-12,5.19707518797242e-10,"Promoter (1-2kb)",7,130872367,130884418,12052,2,"378805","ENST00000702917.1",-1848
"chr2",164012703,164016219,3517,"*",6.23854274341172,7.00573761061205,4.49213354250382,2.15210430439687,7.36213097190088e-12,5.50006746853614e-10,"Intron (ENST00000429636.1/ENST00000429636.1, intron 2 of 4)",2,163593396,163736012,142617,2,"55137","ENST00000409634.5",-276691
"chr15",59270883,59319861,48979,"*",10.3812720227638,10.95968469832,9.40074494923733,1.45642924079671,7.57547513837059e-12,5.60655959072493e-10,"Exon (ENST00000288235.9/4643, exon 2 of 28)",15,59223059,59264997,41939,2,"4643","ENST00000558814.1",-5886
"chr1",39199756,39207090,7335,"*",7.43850042073385,8.05691003432678,6.33323855299062,1.59439478616489,8.01805972491022e-12,5.86870671203927e-10,"Promoter (<=1kb)",1,39204695,39254375,49681,1,"23499","ENST00000494012.1",0
"chr4",168583498,168590855,7358,"*",7.63707119945636,8.23470694485362,6.59836948986582,1.52305351101795,8.13883794121048e-12,5.86870671203927e-10,"Intron (ENST00000505667.6/23022, intron 2 of 21)",4,168631615,168690663,59049,1,"23022","ENST00000504519.5",-40760
"chr15",59348917,59352897,3981,"*",7.23350428968844,7.87754108566254,6.04021400497541,1.67346414635615,8.15201083879682e-12,5.86870671203927e-10,"Intron (ENST00000288235.9/4643, intron 1 of 27)",15,59227483,59372527,145045,2,"4643","ENST00000558571.1",19630
"chr15",83731619,83737566,5948,"*",7.14668253012593,7.78466046437963,5.97483783998559,1.65841609671617,8.87378685731792e-12,6.33076739847753e-10,"Intron (ENST00000567476.1/57188, intron 3 of 29)",15,83694294,83819979,125686,1,"57188","ENST00000565653.1",37325
