"seqnames","start","end","width","strand","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chr8",76675422,76688663,13242,"*",1.67116657937859,4.72507000243447e-30,6.98644555041776e-26,"Promoter (<=1kb)",8,76609032,76683470,74439,2,"100192378","ENST00000666902.3",0
"chr4",41141104,41149586,8483,"*",1.9787875426269,2.17681727233126e-29,2.85028368495188e-25,"5' UTR",4,41065590,41207908,142319,2,"323","ENST00000503555.5",58322
"chr11",35155157,35172150,16994,"*",1.61349963441447,2.27819409784343e-29,2.85028368495188e-25,"Intron (ENST00000526025.2/960, intron 1 of 1)",11,35176575,35214861,38287,1,"960","ENST00000526000.6",-4425
"chr5",88669684,88676424,6741,"*",2.10434088839251,1.57512987061412e-28,1.82990712718595e-24,"Promoter (<=1kb)",5,88676033,88779088,103056,1,"109729137","ENST00000657578.1",0
"chr5",14177070,14187239,10170,"*",1.70889546332272,1.98304130481195e-28,2.1502116868076e-24,"Promoter (<=1kb)",5,14183798,14399400,215603,1,"7204","ENST00000509967.6",0
"chr2",207159292,207167646,8355,"*",1.80141423331367,3.60757942340992e-28,3.66721722075316e-24,"Promoter (<=1kb)",2,207166400,207166498,99,1,"102465835","ENST00000618396.1",0
"chr11",27902110,27919254,17145,"*",1.57386478187757,2.65877769934393e-27,2.54374646417526e-23,"Distal Intergenic",11,28056815,28056910,96,1,"693195","ENST00000385139.1",-137561
"chr6",154601777,154607596,5820,"*",-1.49251370945401,5.25351911001668e-27,4.74699230915924e-23,"Exon (ENST00000427423.1/ENST00000427423.1, exon 1 of 1)",6,154510770,154522307,11538,1,"101928868","ENST00000658375.2",91007
"chr17",72506887,72519781,12895,"*",1.5159427878263,7.71591108007828e-27,6.60502293483859e-23,"Promoter (<=1kb)",17,72403327,72516954,113628,2,"100499467","ENST00000649311.1",0
"chr10",76350461,76354438,3978,"*",1.93975949129982,1.09733840429781e-26,8.92383023835083e-23,"Intron (ENST00000611255.5/83938, intron 6 of 6)",10,76324401,76557366,232966,1,"83938","ENST00000598708.1",26060
"chr3",146156080,146168403,12324,"*",1.57934671318468,1.20710173108067e-26,9.3490029072198e-23,"Promoter (<=1kb)",3,146069440,146161184,91745,2,"5352","ENST00000282903.10",0
"chr5",72137256,72143460,6205,"*",1.99359373975023,1.31488560329388e-26,9.72088949762425e-23,"Intron (ENST00000512974.5/4131, intron 3 of 3)",5,72169467,72169540,74,1,"100616377","ENST00000583015.1",-26007
"chr17",13536550,13546198,9649,"*",1.57882407848037,2.10562421132875e-26,1.48899673848506e-22,"Promoter (<=1kb)",17,13543529,13543646,118,2,"100302287","ENST00000408771.1",0
"chr7",43645481,43654498,9018,"*",1.54466334812387,4.56862016651688e-26,3.09609677909641e-22,"Promoter (<=1kb)",7,43638799,43646425,7627,2,"55744","ENST00000490251.1",0
"chr11",970103,982102,12000,"*",-1.84002075991092,5.80698210772116e-26,3.77790641964123e-22,"Promoter (2-3kb)",11,984191,987097,2907,1,"161","ENST00000690846.1",-2089
"chr11",128496369,128511741,15373,"*",1.47887327005334,1.09454680990038e-25,6.70280039591458e-22,"Promoter (<=1kb)",11,128489470,128505394,15925,2,"2113","ENST00000608978.1",0
"chr2",36452765,36461786,9022,"*",1.55988533813159,1.11270319216511e-25,6.70280039591458e-22,"Intron (ENST00000280527.7/51232, intron 4 of 16)",2,36479543,36499412,19870,1,"51232","ENST00000481321.1",-17757
"chr8",139861812,139867066,5255,"*",-1.61910472567129,1.6220747418001e-25,9.42222665643132e-22,"Intron (ENST00000438773.4/83696, intron 21 of 22)",8,139730996,139881295,150300,2,"83696","ENST00000522504.5",14229
"chr17",61439681,61452975,13295,"*",-1.52484174169871,3.56329263995983e-25,1.99845424629747e-21,"Promoter (<=1kb)",17,61452404,61478740,26337,1,"9496","ENST00000589003.5",0
"chr17",17369562,17390219,20658,"*",-1.40338895739062,5.06030298435998e-25,2.74344326297076e-21,"Exon (ENST00000392730.2/ENST00000392730.2, exon 1 of 1)",17,17345269,17347152,1884,1,"56953","ENST00000480529.1",24293
"chr17",72487875,72499485,11611,"*",1.59173193209769,5.72693990646686e-25,3.00470368092678e-21,"Promoter (<=1kb)",17,72428267,72488315,60049,2,"100499467","ENST00000650499.1",0
"chr11",19759878,19784196,24319,"*",-1.3733817141603,7.02260214834616e-25,3.5693472700555e-21,"Promoter (<=1kb)",11,19760004,19760083,80,2,"100616426","ENST00000578534.1",0
"chr10",132792910,132818630,25721,"*",-1.62937650940655,8.48716406506662e-25,4.18301454352352e-21,"3' UTR",10,132783181,132786147,2967,2,"84504","ENST00000368592.8",-6763
"chr9",95002799,95011051,8253,"*",1.79525563468628,9.00846290580296e-25,4.30935720386565e-21,"Promoter (<=1kb)",9,95003917,95060987,57071,1,"84909","ENST00000478603.5",0
"chr5",35849673,35861353,11681,"*",1.44611753093869,2.04500927215232e-24,9.50315808769183e-21,"Promoter (<=1kb)",5,35852695,35860948,8254,1,"3575","ENST00000508941.5",0
"chr3",114496147,114501148,5002,"*",1.86725660758633,2.36974115558561e-24,1.07062930625061e-20,"Promoter (<=1kb)",3,114387275,114500391,113117,2,"26137","ENST00000486152.6",0
"chr15",60385958,60403349,17392,"*",1.32770582496353,2.45422662153746e-24,1.0788315915134e-20,"Promoter (<=1kb)",15,60347134,60397986,50853,2,"302","ENST00000396024.7",0
"chr9",22236001,22245047,9047,"*",1.98774905223616,3.42168607847074e-24,1.46452666377072e-20,"Distal Intergenic",9,22118968,22120711,1744,1,"100048912","ENST00000644233.2",117033
"chr1",118139908,118145260,5353,"*",1.76743337547118,4.32879645507572e-24,1.80527461393792e-20,"Intron (ENST00000336338.10/200162, intron 3 of 48)",1,118150397,118185223,34827,2,"200162","ENST00000465053.1",39963
"chr6",53298853,53304799,5947,"*",1.50849151036723,5.66845643913164e-24,2.30486524385642e-20,"Intron (ENST00000370918.8/60481, intron 1 of 8)",6,53276993,53277071,79,1,"100847075","ENST00000579080.1",21860
"chr10",62580522,62586384,5863,"*",1.68919685769834,6.60016838292894e-24,2.61825460156458e-20,"Intron (ENST00000647733.1/22891, intron 4 of 7)",10,62375544,62376352,809,1,"22891","ENST00000421210.1",204978
"chr5",14187966,14191523,3558,"*",2.0858549591532,8.90682994830269e-24,3.44916989748022e-20,"Intron (ENST00000698541.1/7204, intron 1 of 36)",5,14183798,14399400,215603,1,"7204","ENST00000509967.6",4168
"chr7",134777671,134788618,10948,"*",1.53958062612053,9.53661270462147e-24,3.56296551506114e-20,"Promoter (<=1kb)",7,134779420,134968859,189440,1,"800","ENST00000422748.5",0
"chr10",52449866,52456269,6404,"*",1.8216854689554,9.83525636817689e-24,3.56296551506114e-20,"Promoter (<=1kb)",10,52450874,52455272,4399,2,"101928687","ENST00000435813.6",0
"chrX",39304794,39312445,7652,"*",1.62409215124385,9.85787747411548e-24,3.56296551506114e-20,"Exon (ENST00000448597.1/286442, exon 3 of 4)",23,39213790,39299787,85998,2,"105373175","ENST00000691920.1",-5007
"chr5",125407504,125415061,7558,"*",1.74164848949376,1.02200366272395e-23,3.61356055921167e-20,"Exon (ENST00000655986.1/ENST00000655986.1, exon 1 of 2)",5,125493261,125602227,108967,1,"101927460","ENST00000564199.1",-78200
"chr2",205742693,205758985,16293,"*",1.4610859870798,1.15544984144507e-23,3.99847105237943e-20,"Promoter (<=1kb)",2,205749691,205763807,14117,1,"8828","ENST00000460987.1",0
"chr8",97526110,97532938,6829,"*",-1.57359018343041,1.37029540185178e-23,4.64316032571215e-20,"Distal Intergenic",8,97644184,97730260,86077,1,"92140","ENST00000336273.8",-111246
"chr9",85413852,85434248,20397,"*",-1.26027899097967,2.45776924575951e-23,8.15803834646033e-20,"Intron (ENST00000669133.1/105376121, intron 1 of 2)",9,85369591,85443924,74334,2,"105376121","ENST00000669133.1",9676
"chr11",35212662,35217850,5189,"*",1.81437498396653,2.57944471212411e-23,8.39067570406851e-20,"Promoter (<=1kb)",11,35214666,35229446,14781,1,"960","ENST00000527326.1",0
"chr7",130908771,130928380,19610,"*",1.27742404855138,2.65979419005701e-23,8.43134272031951e-20,"Promoter (<=1kb)",7,130913508,130930680,17173,1,"100506860","ENST00000664231.1",0
"chr3",181564319,181568741,4423,"*",2.45272481325781,2.69562434416437e-23,8.43134272031951e-20,"Promoter (<=1kb)",3,181563748,181742884,179137,1,"347689","ENST00000498731.6",571
"chr1",2998112,3006541,8430,"*",-1.68166943939786,3.48286811436505e-23,1.06881336690737e-19,"Distal Intergenic",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",-14926
"chr21",16069291,16074088,4798,"*",2.24959253747997,3.62616389727412e-23,1.09218042050398e-19,"Promoter (<=1kb)",21,16070488,16610766,540279,1,"388815","ENST00000660908.2",0
"chr8",135462127,135469227,7101,"*",1.82667507958035,3.93107148778288e-23,1.16248931296445e-19,"Intron (ENST00000355849.10/10656, intron 1 of 8)",8,135458707,135557539,98833,1,"10656","ENST00000517394.5",3420
"chr2",54553378,54561341,7964,"*",1.57599857555206,4.34350794610012e-23,1.26151758909545e-19,"Promoter (<=1kb)",2,54558394,54662308,103915,1,"6711","ENST00000333896.5",0
"chr8",128075302,128079718,4417,"*",1.61049282853687,4.84414148972492e-23,1.38223753087072e-19,"Promoter (2-3kb)",8,128082378,128101256,18879,1,"5820","ENST00000665175.1",-2660
"chr9",692108,699287,7180,"*",1.49344916596106,5.02931956728508e-23,1.41033393279497e-19,"Promoter (<=1kb)",9,693339,746099,52761,1,"23189","ENST00000687796.1",0
"chr8",130257420,130269863,12444,"*",1.3906831163422,6.07263746521275e-23,1.67404088225344e-19,"Intron (ENST00000518721.6/50807, intron 3 of 29)",8,130179335,130247042,67708,2,"50807","ENST00000520342.5",-10378
"chr9",21826896,21834049,7154,"*",1.87183192243586,7.18701319844712e-23,1.94821960276905e-19,"Intron (ENST00000644715.2/4507, intron 4 of 7)",9,21854724,21931199,76476,1,"4507","ENST00000577563.1",-20675
"chr4",41154692,41161473,6782,"*",1.74522069359669,7.82263380914719e-23,2.08575782932581e-19,"Intron (ENST00000508593.6/323, intron 1 of 17)",4,41065590,41207908,142319,2,"323","ENST00000503555.5",46435
"chr9",107383707,107408137,24431,"*",-1.27931985617482,1.45562234741269e-22,3.81854349507963e-19,"Distal Intergenic",9,107420284,107430802,10519,2,"101928720","ENST00000423523.1",22665
"chr15",59292397,59296767,4371,"*",1.64893424888404,1.52295944254582e-22,3.93177362750578e-19,"Intron (ENST00000288235.9/4643, intron 1 of 27)",15,59223059,59264997,41939,2,"4643","ENST00000558814.1",-27400
"chr7",92695369,92701384,6016,"*",1.79715851916282,2.06307617470461e-22,5.24295350679424e-19,"Intron (ENST00000265734.8/1021, intron 4 of 7)",7,92671235,92725710,54476,2,"1021","ENST00000473078.1",24326
"chr1",1447172,1465014,17843,"*",-1.32082734877682,2.16238067735603e-22,5.41077546567034e-19,"Promoter (<=1kb)",1,1449689,1470163,20475,1,"219293","ENST00000378785.7",0
"chr5",14196967,14205583,8617,"*",1.56162205622567,2.5495121419035e-22,6.28280912605902e-19,"Intron (ENST00000698541.1/7204, intron 1 of 36)",5,14183798,14399400,215603,1,"7204","ENST00000509967.6",13169
"chr17",59751872,59758197,6326,"*",2.00806292634889,3.12526581094761e-22,7.58669937047125e-19,"Intron (ENST00000593168.5/81671, intron 3 of 4)",17,59773754,59840024,66271,1,"81671","ENST00000591877.1",-15557
"chr5",180607888,180615245,7358,"*",-1.62149554801967,3.48718635907614e-22,8.34078566723438e-19,"Promoter (<=1kb)",5,180603089,180611716,8628,2,"2324","ENST00000502603.5",0
"chr6",168392614,168399454,6841,"*",-1.46175611771853,4.04016391013325e-22,9.52336897338583e-19,"Distal Intergenic",6,168441151,168667994,226844,1,"64094","ENST00000354536.9",-41697
"chr20",53578671,53583424,4754,"*",1.71327610533359,4.15441018404377e-22,9.65277206262571e-19,"Promoter (<=1kb)",20,53567073,53583097,16025,2,"7764","ENST00000302342.3",0
"chr17",1297297,1303258,5962,"*",-1.45698634765196,4.51014092673469e-22,1.03317164933629e-18,"3' UTR",17,1279662,1300978,21317,1,"286753","ENST00000333813.4",17635
"chr17",20186564,20193649,7086,"*",1.51281995765927,4.88843502695271e-22,1.10427710410934e-18,"Intron (ENST00000676570.1/92521, intron 3 of 7)",17,20205740,20237176,31437,1,"92521","ENST00000582226.5",-12091
"chr17",59825462,59833194,7733,"*",1.73202239532933,4.98853643776574e-22,1.11145275194577e-18,"Intron (ENST00000262291.9/81671, intron 10 of 11)",17,59837628,59840223,2596,1,"81671","ENST00000591782.1",-4434
"chr1",2978273,2985745,7473,"*",-1.64627364665296,5.26673384662587e-22,1.15757827903306e-18,"Distal Intergenic",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",-35722
"chr5",68330556,68338490,7935,"*",1.43688213486644,5.77846417626274e-22,1.25311774126434e-18,"Distal Intergenic",5,68293814,68297937,4124,1,"5295","ENST00000697470.1",36742
"chr11",122172423,122182553,10131,"*",1.58256645491794,5.95706577183757e-22,1.27485126639542e-18,"Promoter (<=1kb)",11,122089220,122180521,91302,2,"399959","ENST00000656793.1",0
"chr5",169976034,169981179,5146,"*",1.5777277232972,6.66033135765908e-22,1.39740439841502e-18,"Promoter (<=1kb)",5,169861303,169980495,119193,2,"100131897","ENST00000377365.4",0
"chrX",45769491,45777455,7965,"*",1.9559412104178,6.70156125773136e-22,1.39740439841502e-18,"Promoter (<=1kb)",23,45768380,45770269,1890,2,"104457406","ENST00000602507.1",0
"chr6",112201492,112208857,7366,"*",1.61780853727627,9.44835069229512e-22,1.9452240485422e-18,"Exon (ENST00000230538.12/3910, exon 4 of 39)",6,112200133,112216449,16317,2,"3910","ENST00000423735.2",7592
"chr6",106082881,106092234,9354,"*",1.51748676171804,1.04779355843082e-21,2.13022979138725e-18,"Promoter (<=1kb)",6,106086320,106107508,21189,1,"639","ENST00000369091.6",0
"chr7",94295819,94302347,6529,"*",1.66937188031857,1.74549468363096e-21,3.50488867677972e-18,"Intron (ENST00000642601.1/101927525, intron 7 of 8)",7,94311138,94347063,35926,1,"107986821","ENST00000649265.1",-8791
"chr6",113119190,113124498,5309,"*",2.0052335121246,1.88779040498645e-21,3.74438622462221e-18,"Distal Intergenic",6,112988311,113084454,96144,1,"107986636","ENST00000670062.1",130879
"chr19",48110433,48146221,35789,"*",-1.46195322539999,2.10866327045152e-21,4.13209081472997e-18,"Promoter (<=1kb)",19,48145908,48147413,1506,1,"107985293","ENST00000594589.1",0
"chr3",190003327,190004338,1012,"*",2.47059800319537,2.22526318788377e-21,4.30866584753995e-18,"Intron (ENST00000319332.10/55214, intron 1 of 14)",3,189974568,189987765,13198,2,"55214","ENST00000470925.1",-15562
"chr6",11227222,11234579,7358,"*",1.43784976711712,2.35013484156995e-21,4.49691389773112e-18,"Promoter (<=1kb)",6,11183298,11232668,49371,2,"4739","ENST00000379446.10",0
"chr3",185927704,185938432,10729,"*",1.67186415772283,2.57115912143855e-21,4.81690389848529e-18,"Promoter (<=1kb)",3,185914558,185938014,23457,2,"6434","ENST00000453386.7",0
"chr3",189710629,189716189,5561,"*",1.56643767898286,2.57659712360184e-21,4.81690389848529e-18,"Intron (ENST00000264731.8/8626, intron 1 of 13)",3,189789659,189897276,107618,1,"8626","ENST00000354600.10",-73470
"chr11",86810668,86819790,9123,"*",1.52467142908126,2.75659786749856e-21,5.09485068362845e-18,"3' UTR",11,86823396,86937819,114424,1,"11098","ENST00000532572.1",-3606
"chr7",32055345,32063000,7656,"*",1.63546918699226,3.45476327722241e-21,6.31348284521168e-18,"Intron (ENST00000396191.6/5137, intron 1 of 17)",7,31751179,32070407,319229,2,"5137","ENST00000396191.6",7407
"chr2",160203547,160211303,7757,"*",1.37422343427737,3.56675117320107e-21,6.4457138285032e-18,"Exon (ENST00000485635.1/3694, exon 2 of 10)",2,160099667,160200313,100647,2,"3694","ENST00000620391.4",-3234
"chr1",117090180,117099248,9069,"*",1.38362575431935,3.81584621571162e-21,6.82009129400457e-18,"Promoter (<=1kb)",1,117094643,117094728,86,1,"100126331","ENST00000401111.1",0
"chr3",150232109,150239273,7165,"*",1.52528909964511,5.33940835145813e-21,9.35777954735904e-18,"Promoter (<=1kb)",3,150238519,150240203,1685,1,"101927992","ENST00000472890.5",0
"chr3",188591722,188597363,5642,"*",1.6972663090705,5.35075469829623e-21,9.35777954735904e-18,"Intron (ENST00000448637.5/4026, intron 5 of 6)",3,188584347,188609606,25260,1,"4026","ENST00000487347.1",7375
"chr3",171188985,171194726,5742,"*",1.69060563803517,6.13333825340422e-21,1.06123063853716e-17,"Exon (ENST00000436636.7/23043, exon 5 of 33)",3,171157551,171225711,68161,2,"23043","ENST00000468757.1",30985
"chr4",48904431,48911400,6970,"*",1.4852927843348,6.36627317295823e-21,1.08993947391136e-17,"Promoter (<=1kb)",4,48885019,48906774,21756,2,"132299","ENST00000508632.6",0
"chr9",115109452,115119396,9945,"*",1.3987056929385,6.5309934396202e-21,1.09719051276863e-17,"Promoter (<=1kb)",9,115019575,115118157,98583,2,"3371","ENST00000350763.9",0
"chr11",86735474,86751565,16092,"*",1.26455287977376,6.60431764733598e-21,1.09719051276863e-17,"Promoter (<=1kb)",11,86736206,86765467,29262,1,"102724775","ENST00000669614.1",0
"chr5",3514990,3528326,13337,"*",-1.28697391007025,6.61100373521017e-21,1.09719051276863e-17,"Intron (ENST00000662836.1/285577, intron 1 of 4)",5,3357264,3531795,174532,2,"285577","ENST00000662836.1",3469
"chr1",223702645,223708387,5743,"*",1.42926749593765,7.29940718954062e-21,1.19920412357862e-17,"Promoter (<=1kb)",1,223701645,223747063,45419,1,"824","ENST00000434648.5",1000
"chr2",38144559,38149976,5418,"*",1.82842944183824,7.52036386872968e-21,1.22047957728476e-17,"Exon (ENST00000653994.1/285154, exon 4 of 4)",2,38132637,38138946,6310,2,"105374466","ENST00000417213.1",-5613
"chr10",93460325,93466811,6487,"*",1.76217372714049,7.57898719946885e-21,1.22047957728476e-17,"Intron (ENST00000359263.9/26509, intron 1 of 53)",10,93306430,93482194,175765,2,"26509","ENST00000358334.9",15383
"chr1",2965810,2976542,10733,"*",-1.54612482059205,1.08421872681118e-20,1.72885053747259e-17,"Exon (ENST00000642073.1/ENST00000642073.1, exon 1 of 3)",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",-44925
"chr3",159816561,159825654,9094,"*",1.47874635742275,1.11529838383512e-20,1.76114277319284e-17,"Intron (ENST00000476809.7/100505385, intron 4 of 9)",3,159839861,159897360,57500,1,"29970","ENST00000445224.6",-14207
"chr17",27635576,27658129,22554,"*",-1.23581562476451,1.22151129320019e-20,1.91031446425524e-17,"Promoter (<=1kb)",17,27640387,27643581,3195,1,"3965","ENST00000583671.1",0
"chr6",17863465,17868214,4750,"*",1.68601485533544,1.39263842854186e-20,2.15719692581134e-17,"Intron (ENST00000378814.9/63971, intron 4 of 37)",6,17770365,17817200,46836,2,"63971","ENST00000358380.10",-46265
"chr9",4135846,4140073,4228,"*",1.85323553426735,1.45542775765413e-20,2.23318912871373e-17,"Intron (ENST00000324333.14/169792, intron 1 of 9)",9,4118745,4145193,26449,2,"169792","ENST00000462164.5",5120
"chr7",43690949,43695302,4354,"*",1.71306100135822,1.64745589774468e-20,2.50420994849237e-17,"Intron (ENST00000415076.6/55744, intron 1 of 6)",7,43646297,43729474,83178,2,"55744","ENST00000451651.5",34172
"chr3",172134040,172143057,9018,"*",1.46166657892767,1.70088239096535e-20,2.56148163406073e-17,"Intron (ENST00000415807.7/64778, intron 3 of 25)",3,172148535,172187218,38684,1,"107986153","ENST00000476794.1",-5478
"chr9",3859037,3867093,8057,"*",1.5548344308558,1.97613000183833e-20,2.94869416650455e-17,"Intron (ENST00000324333.14/169792, intron 7 of 9)",9,3825029,3832770,7742,2,"169792","ENST00000683926.1",-26267
"chr6",105317596,105329127,11532,"*",1.3448820698206,2.05246215134268e-20,3.03475187822845e-17,"Promoter (<=1kb)",6,105322255,105323768,1514,2,"5550","ENST00000448705.1",0
"chr1",58752427,58757695,5269,"*",1.53683147400994,2.19397366169962e-20,3.21476438024445e-17,"Exon (ENST00000637377.1/112268263, exon 5 of 7)",1,58780791,58784047,3257,2,"3725","ENST00000371222.4",26352
"chr11",431686,444781,13096,"*",-1.38765597202876,2.26613363115755e-20,3.26389461351137e-17,"Promoter (<=1kb)",11,417938,441996,24059,2,"338440","ENST00000532094.5",0
"chr1",85443936,85454522,10587,"*",1.524829956569,2.26763866904476e-20,3.26389461351137e-17,"Exon (ENST00000426125.1/ENST00000426125.1, exon 3 of 3)",1,85318485,85465159,146675,2,"23576","ENST00000284031.13",10637
"chr7",129843338,129848639,5302,"*",1.59423195586658,2.46014281117265e-20,3.50991164494014e-17,"Intron (ENST00000355621.8/7328, intron 5 of 6)",7,129834978,129839741,4764,2,"7328","ENST00000483368.1",-3597
"chr2",36365468,36374981,9514,"*",1.53098571990694,2.49150214094004e-20,3.52374231054951e-17,"Promoter (<=1kb)",2,36369115,36379224,10110,1,"51232","ENST00000473403.5",0
"chr2",108593286,108595576,2291,"*",2.34178278107442,3.02589129854448e-20,4.24263870906695e-17,"5' UTR",2,108588497,108684433,95937,1,"3987","ENST00000695521.1",4789
"chr6",56713019,56716745,3727,"*",1.81818203894221,3.08199036413958e-20,4.28436173312378e-17,"Intron (ENST00000421834.6/667, intron 2 of 93)",6,56638936,56693303,54368,2,"667","ENST00000521104.1",-19716
"chr11",96278119,96281841,3723,"*",1.98873479465528,3.34633306600932e-20,4.6124096739075e-17,"Intron (ENST00000524717.6/84441, intron 1 of 4)",11,96341438,96341526,89,1,"100422991","ENST00000582890.3",-59597
"chr8",61706776,61715876,9101,"*",1.45633296913595,3.43394116849182e-20,4.69338959117103e-17,"Promoter (<=1kb)",8,61714788,61714859,72,1,"100616484","ENST00000583453.1",0
"chr9",4296330,4303301,6972,"*",1.34884047334169,3.47682555213927e-20,4.71240243273076e-17,"Promoter (<=1kb)",9,4299390,4306046,6657,1,"107986989","ENST00000440674.1",0
"chr5",177989616,178001510,11895,"*",-1.23953760440762,3.53994124576863e-20,4.75829540428131e-17,"Promoter (<=1kb)",5,177992235,177996242,4008,2,"5626","ENST00000308304.2",0
"chr6",167660891,167671471,10581,"*",-1.26948467372771,3.61229625944666e-20,4.81575348457132e-17,"Exon (ENST00000609107.1/401286, exon 3 of 3)",6,167666840,167679270,12431,2,"401286","ENST00000609107.1",7799
"chr5",157554196,157559764,5569,"*",1.56489269656097,3.73565530741938e-20,4.93972079248151e-17,"Intron (ENST00000517951.5/8728, intron 3 of 22)",5,157481227,157575741,94515,2,"8728","ENST00000517905.1",15977
"chr11",35176657,35181518,4862,"*",1.70278517258942,3.83864359075402e-20,5.03496924853377e-17,"Promoter (<=1kb)",11,35176662,35190429,13768,1,"960","ENST00000531118.5",0
"chr6",150722638,150726283,3646,"*",1.57966903133146,3.88928650076503e-20,5.06058402333542e-17,"Promoter (1-2kb)",6,150721088,150843665,122578,1,"57480","ENST00000358517.6",1550
"chr2",207251086,207259746,8661,"*",1.33699069968416,4.57190932246457e-20,5.88907054834939e-17,"Promoter (<=1kb)",2,207239864,207254252,14389,2,"101927865","ENST00000432413.2",0
"chr9",22208387,22212697,4311,"*",2.27694717524468,4.59843192007361e-20,5.88907054834939e-17,"Intron (ENST00000435092.1/ENST00000435092.1, intron 3 of 3)",9,22118968,22120711,1744,1,"100048912","ENST00000644233.2",89419
"chr5",68239150,68246173,7024,"*",1.6497582283857,5.15880012082355e-20,6.55510191915115e-17,"Promoter (<=1kb)",5,68239898,68280582,40685,1,"5295","ENST00000520675.1",0
"chr10",59359272,59364380,5109,"*",1.52637380400641,5.36045540839845e-20,6.75853697596097e-17,"Promoter (<=1kb)",10,59246130,59362594,116465,2,"220965","ENST00000618427.4",0
"chr2",65363307,65368486,5180,"*",1.63692047105312,5.56969756562112e-20,6.91714113488183e-17,"Promoter (<=1kb)",2,65312993,65366650,53658,2,"200734","ENST00000443619.6",0
"chr11",86717710,86722433,4724,"*",1.91001068676482,5.57130860874616e-20,6.91714113488183e-17,"Distal Intergenic",11,86727355,86765265,37911,1,"102724775","ENST00000532979.1",-4922
"chr3",69081630,69088654,7025,"*",1.59593304332985,5.69910453926858e-20,6.96967646103028e-17,"Promoter (<=1kb)",3,69084937,69106092,21156,1,"10550","ENST00000273258.4",0
"chr7",116771106,116782944,11839,"*",1.38032960484464,5.69932656593826e-20,6.96967646103028e-17,"Promoter (1-2kb)",7,116769666,116775072,5407,1,"4233","ENST00000454623.1",1440
"chr1",113657210,113660697,3488,"*",1.78880049406435,6.88219372727765e-20,8.35339103561995e-17,"Exon (ENST00000307546.14/260425, exon 16 of 21)",1,113699875,113705981,6107,2,"10745","ENST00000481652.1",45284
"chr15",55907508,55912068,4561,"*",1.72285178996438,7.26139018311895e-20,8.74836152839542e-17,"Intron (ENST00000508871.5/4734, intron 1 of 23)",15,55826922,55915654,88733,2,"4734","ENST00000508871.5",3586
"chr17",28732122,28735872,3751,"*",-1.39347660766389,7.64055167589414e-20,9.13748181857208e-17,"Promoter (<=1kb)",17,28735278,28738245,2968,1,"284086","ENST00000592510.1",0
"chr1",3089972,3109814,19843,"*",-1.57531985776814,7.74649181820697e-20,9.19655592534506e-17,"Intron (ENST00000511072.5/63976, intron 1 of 15)",1,3127975,3128035,61,1,"100422968","ENST00000635819.1",-18161
"chr2",12004745,12011867,7123,"*",1.50120818665427,9.73777034696748e-20,1.147680911654e-16,"Promoter (<=1kb)",2,12007116,12131585,124470,1,"100506457","ENST00000451644.5",0
