"seqnames","start","end","width","strand","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chr1",118140056,118145256,5201,"*",1.76285500682712,3.61628865135043e-23,4.36960678103487e-20,"Intron (ENST00000336338.10/200162, intron 3 of 48)",1,118150397,118185223,34827,2,"200162","ENST00000465053.1",39967
"chr2",54553918,54557403,3486,"*",1.89580097447458,4.32900607925935e-23,4.74674342657003e-20,"Promoter (<=1kb)",2,54558394,54662308,103915,1,"6711","ENST00000333896.5",-991
"chr3",181564319,181568739,4421,"*",2.42866387987449,4.41945800849638e-23,4.74674342657003e-20,"Promoter (<=1kb)",3,181563748,181742884,179137,1,"347689","ENST00000498731.6",571
"chr6",154601976,154607593,5618,"*",-1.484159685586,8.01846189748727e-23,8.15899599284849e-20,"Exon (ENST00000427423.1/ENST00000427423.1, exon 1 of 1)",6,154510770,154522307,11538,1,"101928868","ENST00000658375.2",91206
"chr11",35212662,35217676,5015,"*",1.79940128126913,2.01664464381782e-22,1.94938954494649e-19,"Promoter (<=1kb)",11,35214666,35229446,14781,1,"960","ENST00000527326.1",0
"chr7",43645542,43654479,8938,"*",1.54570284073183,2.30943283370086e-22,2.12610785590184e-19,"Promoter (<=1kb)",7,43638799,43646425,7627,2,"55744","ENST00000490251.1",0
"chr9",21830448,21834041,3594,"*",2.13983455594043,2.52373199483857e-22,2.21778684800973e-19,"Intron (ENST00000644715.2/4507, intron 4 of 7)",9,21854724,21931199,76476,1,"4507","ENST00000577563.1",-20683
"chr17",13539526,13545857,6332,"*",1.65820947507228,3.88621397156416e-22,3.26661629183695e-19,"Promoter (<=1kb)",17,13543529,13543646,118,2,"100302287","ENST00000408771.1",0
"chr8",139861880,139866951,5072,"*",-1.61680390822086,4.6694269202033e-22,3.71839860996686e-19,"Intron (ENST00000438773.4/83696, intron 21 of 22)",8,139730996,139881295,150300,2,"83696","ENST00000522504.5",14344
"chr10",62580806,62586321,5516,"*",1.66018860767532,4.80835696731866e-22,3.71839860996686e-19,"Intron (ENST00000647733.1/22891, intron 4 of 7)",10,62375544,62376352,809,1,"22891","ENST00000421210.1",205262
"chr17",20186956,20192134,5179,"*",1.60488851125654,6.10361027461948e-22,4.53850374766225e-19,"Intron (ENST00000676570.1/92521, intron 3 of 7)",17,20205740,20237176,31437,1,"92521","ENST00000582226.5",-13606
"chr11",970259,982051,11793,"*",-1.8318572070855,1.14826935365883e-21,8.22203385714304e-19,"Promoter (2-3kb)",11,984191,987097,2907,1,"161","ENST00000690846.1",-2140
"chr17",72509980,72519778,9799,"*",1.51779056969588,1.22639293370325e-21,8.4678052097446e-19,"Promoter (<=1kb)",17,72403327,72516954,113628,2,"100499467","ENST00000649311.1",0
"chr3",114496152,114500370,4219,"*",1.85778372613393,1.40101795117502e-21,9.33995863795406e-19,"Promoter (<=1kb)",3,114387275,114500391,113117,2,"26137","ENST00000486152.6",21
"chr8",128075568,128079665,4098,"*",1.60252533653968,1.86595989069044e-21,1.18438907542231e-18,"Promoter (2-3kb)",8,128082378,128101256,18879,1,"5820","ENST00000665175.1",-2713
"chr10",52451044,52455843,4800,"*",1.82571071869018,1.89913936471793e-21,1.18438907542231e-18,"Promoter (<=1kb)",10,52450874,52455272,4399,2,"101928687","ENST00000435813.6",0
"chr15",59294077,59296753,2677,"*",1.77219260024127,4.24352930938985e-21,2.56375475432606e-18,"Intron (ENST00000288235.9/4643, intron 1 of 27)",15,59223059,59264997,41939,2,"4643","ENST00000558814.1",-29080
"chr11",27907314,27917666,10353,"*",1.54887328883733,5.07440360910047e-21,2.9728316659012e-18,"Distal Intergenic",11,28056815,28056910,96,1,"693195","ENST00000385139.1",-139149
"chr11",86735479,86744310,8832,"*",1.46754820979439,6.98037392611682e-21,3.92702634032242e-18,"Promoter (<=1kb)",11,86736206,86765467,29262,1,"102724775","ENST00000669614.1",0
"chr6",113119925,113124496,4572,"*",2.02682830561984,7.10939439876298e-21,3.92702634032242e-18,"Distal Intergenic",6,112988311,113084454,96144,1,"107986636","ENST00000670062.1",131614
"chr3",189710679,189716156,5478,"*",1.5820813600776,9.1967264605851e-21,4.9388975739581e-18,"Intron (ENST00000264731.8/8626, intron 1 of 13)",3,189789659,189897276,107618,1,"8626","ENST00000354600.10",-73503
"chr2",207255441,207259536,4096,"*",1.59426979844856,1.12176917955027e-20,5.86139555357983e-18,"Promoter (<=1kb)",2,207260445,207270690,10246,1,"105373852","ENST00000438824.1",-909
"chr6",53299739,53304131,4393,"*",1.48361726880231,1.16139752964968e-20,5.90876274755716e-18,"Intron (ENST00000370918.8/60481, intron 1 of 8)",6,53276993,53277071,79,1,"100847075","ENST00000579080.1",22746
"chr5",125408281,125414398,6118,"*",1.70850407247556,1.3495564509248e-20,6.68999355531517e-18,"Exon (ENST00000655986.1/ENST00000655986.1, exon 1 of 2)",5,125493261,125602227,108967,1,"101927460","ENST00000564199.1",-78863
"chr1",12447274,12450567,3294,"*",1.98764095327697,1.84239433433012e-20,8.90475241640107e-18,"Intron (ENST00000620676.6/55187, intron 65 of 69)",1,12464940,12512047,47108,1,"55187","ENST00000543766.2",-14373
"chr7",43691637,43695296,3660,"*",1.7417615924613,2.46624454995404e-20,1.16292453376248e-17,"Intron (ENST00000415076.6/55744, intron 1 of 6)",7,43646297,43729474,83178,2,"55744","ENST00000451651.5",34178
"chr9",116073151,116075848,2698,"*",1.74644636511362,4.1921499736636e-20,1.89805469559658e-17,"Distal Intergenic",9,116012361,116012965,605,1,"105376236","ENST00000416507.1",60790
"chr5",14189190,14191498,2309,"*",1.9334231046058,4.22160823000326e-20,1.89805469559658e-17,"Intron (ENST00000698541.1/7204, intron 1 of 36)",5,14183798,14399400,215603,1,"7204","ENST00000509967.6",5392
"chr3",150232950,150238596,5647,"*",1.58104366023189,4.50507331128144e-20,1.97946778015918e-17,"Promoter (<=1kb)",3,150238519,150240203,1685,1,"101927992","ENST00000472890.5",0
"chr11",122099254,122107447,8194,"*",1.37503882555486,5.05042928437567e-20,2.16069337665615e-17,"Promoter (<=1kb)",11,122028325,122100448,72124,2,"399959","ENST00000669306.2",0
"chr10",94298568,94300787,2220,"*",1.88344125316033,5.14104874184983e-20,2.16069337665615e-17,"3' UTR",10,94293054,94324997,31944,1,"51196","ENST00000686807.1",5514
"chr6",17863465,17868196,4732,"*",1.68528410781563,5.57671781184948e-20,2.29392947779758e-17,"Intron (ENST00000378814.9/63971, intron 4 of 37)",6,17770365,17817200,46836,2,"63971","ENST00000358380.10",-46265
"chr3",69081673,69088641,6969,"*",1.62240853828733,5.90313888356909e-20,2.33951255826369e-17,"Promoter (<=1kb)",3,69084937,69106092,21156,1,"10550","ENST00000273258.4",0
"chr6",56713036,56716736,3701,"*",1.81613356018591,5.92955647622825e-20,2.33951255826369e-17,"Intron (ENST00000421834.6/667, intron 2 of 93)",6,56638936,56693303,54368,2,"667","ENST00000521104.1",-19733
"chr1",2998112,3006230,8119,"*",-1.67663829263194,6.68655071215668e-20,2.5854216983625e-17,"Distal Intergenic",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",-15237
"chr6",11227265,11234570,7306,"*",1.44215575132141,7.55079047032095e-20,2.86234180711206e-17,"Promoter (<=1kb)",6,11183298,11232668,49371,2,"4739","ENST00000379446.10",0
"chr1",58752917,58757673,4757,"*",1.56915998543244,7.79309752081216e-20,2.89738373788195e-17,"Exon (ENST00000637377.1/112268263, exon 5 of 7)",1,58780791,58784047,3257,2,"3725","ENST00000371222.4",26374
"chr5",169976627,169981168,4542,"*",1.55663089720249,1.05856115096744e-19,3.86135145880254e-17,"Promoter (<=1kb)",5,169861303,169980495,119193,2,"100131897","ENST00000377365.4",0
"chr9",112028242,112030552,2311,"*",2.21624335799529,1.3027197894461e-19,4.6639780906225e-17,"Exon (ENST00000658557.1/105376220, exon 3 of 3)",9,112028570,112039143,10574,2,"105376220","ENST00000658557.1",8591
"chr1",113657235,113660687,3453,"*",1.78766924275395,1.34963065404173e-19,4.7440744426525e-17,"Exon (ENST00000307546.14/260425, exon 16 of 21)",1,113699875,113705981,6107,2,"10745","ENST00000481652.1",45294
"chr11",96278121,96281462,3342,"*",1.9487010070301,2.09264864688715e-19,7.22449576611953e-17,"Intron (ENST00000524717.6/84441, intron 1 of 4)",11,96341438,96341526,89,1,"100422991","ENST00000582890.3",-59976
"chr5",68330665,68338442,7778,"*",1.43373776661563,2.25611947914761e-19,7.65220313865976e-17,"Distal Intergenic",5,68293814,68297937,4124,1,"5295","ENST00000697470.1",36851
"chrX",150143524,150151011,7488,"*",1.39930684961008,2.31707348504138e-19,7.69017465400257e-17,"Intron (ENST00000449111.5/100272228, intron 11 of 14)",23,150228004,150228083,80,1,"100313839","ENST00000516645.3",-76993
"chr1",2978274,2985664,7391,"*",-1.64383024404412,2.3468696249219e-19,7.69017465400257e-17,"Distal Intergenic",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",-35803
"chr6",106084256,106092210,7955,"*",1.55391842311888,2.79277372652271e-19,8.99878240914393e-17,"Promoter (<=1kb)",6,106086320,106107508,21189,1,"639","ENST00000369091.6",0
"chr3",146159811,146167651,7841,"*",1.44058134451018,3.24017343477026e-19,1.02692250843301e-16,"Promoter (<=1kb)",3,146069440,146161184,91745,2,"5352","ENST00000282903.10",0
"chr7",129843452,129848543,5092,"*",1.57432707219669,3.30903636246171e-19,1.03183225799149e-16,"Intron (ENST00000355621.8/7328, intron 5 of 6)",7,129834978,129839741,4764,2,"7328","ENST00000483368.1",-3711
"chr20",11207576,11210304,2729,"*",1.85620842487592,5.44554840418434e-19,1.67109186187454e-16,"Distal Intergenic",20,11264944,11273385,8442,2,"339593","ENST00000666460.1",63081
"chr5",180607894,180615190,7297,"*",-1.61046146303818,5.62793157634571e-19,1.70007501821081e-16,"Promoter (<=1kb)",5,180603089,180611716,8628,2,"2324","ENST00000502603.5",0
"chr9",115114490,115119382,4893,"*",1.53424238639976,6.38045682467312e-19,1.87297270994685e-16,"Promoter (<=1kb)",9,115019575,115118157,98583,2,"3371","ENST00000350763.9",0
"chr9",4136245,4138487,2243,"*",2.05212433432766,6.39405156243169e-19,1.87297270994685e-16,"Intron (ENST00000324333.14/169792, intron 1 of 9)",9,4118745,4145193,26449,2,"169792","ENST00000462164.5",6706
"chr17",28732847,28735851,3005,"*",-1.4271622568834,7.1242816759595e-19,2.05572742748246e-16,"Promoter (<=1kb)",17,28735278,28738245,2968,1,"284086","ENST00000592510.1",0
"chr2",160203572,160211298,7727,"*",1.37249552188311,7.38717476508508e-19,2.1002389666675e-16,"Exon (ENST00000485635.1/3694, exon 2 of 10)",2,160099667,160200313,100647,2,"3694","ENST00000620391.4",-3259
"chr7",134777678,134783716,6039,"*",1.51883924474117,8.49546911928113e-19,2.38033194902988e-16,"Promoter (<=1kb)",7,134779420,134968859,189440,1,"800","ENST00000422748.5",0
"chr11",431686,435422,3737,"*",-1.45816508468769,9.42232917839912e-19,2.58749281576912e-16,"Promoter (1-2kb)",11,429543,430113,571,2,"338440","ENST00000525857.1",-1573
"chr11",19760063,19783124,23062,"*",-1.37882873132663,9.50250814253387e-19,2.58749281576912e-16,"Promoter (<=1kb)",11,19760004,19760083,80,2,"100616426","ENST00000578534.1",0
"chr5",14177070,14179838,2769,"*",1.74975154732015,9.74661465367216e-19,2.61710140415894e-16,"Intron (ENST00000698541.1/7204, intron 1 of 36)",5,14183798,14399400,215603,1,"7204","ENST00000509967.6",-3960
"chr6",150722678,150726271,3594,"*",1.58607553760832,1.02724295183051e-18,2.72050520379989e-16,"Promoter (1-2kb)",6,150721088,150843665,122578,1,"57480","ENST00000358517.6",1590
"chr10",59359312,59363588,4277,"*",1.51124665494287,1.11813588226446e-18,2.92120554213769e-16,"Promoter (<=1kb)",10,59246130,59362594,116465,2,"220965","ENST00000618427.4",0
"chr20",53898416,53902518,4103,"*",1.59308864262125,1.16650666346933e-18,3.00694310998034e-16,"Distal Intergenic",20,53875252,53875557,306,2,"391257","ENST00000497904.1",-22859
"chr2",68971126,68974657,3532,"*",1.63030372350371,1.24026771369678e-18,3.1550125932763e-16,"Promoter (<=1kb)",2,68974573,68980980,6408,1,"56287","ENST00000673932.3",0
"chr17",17369564,17390209,20646,"*",-1.39320819804471,1.3104877388163e-18,3.25926418771617e-16,"Exon (ENST00000392730.2/ENST00000392730.2, exon 1 of 1)",17,17345269,17347152,1884,1,"56953","ENST00000480529.1",24295
"chr1",2853681,2872113,18433,"*",-1.68309820971183,1.31496718896116e-18,3.25926418771617e-16,"Distal Intergenic",1,2636986,2801693,164708,2,"100287898","ENST00000401095.9",-51988
"chr5",35855375,35861248,5874,"*",1.64935946957191,1.57157123571006e-18,3.84597299999779e-16,"Promoter (<=1kb)",5,35856295,35860926,4632,1,"3575","ENST00000515665.1",0
"chr9",85423699,85434238,10540,"*",-1.27576183128038,1.60267596082994e-18,3.87306679384065e-16,"Intron (ENST00000669133.1/105376121, intron 1 of 2)",9,85369591,85443924,74334,2,"105376121","ENST00000669133.1",9686
"chr17",59753236,59756880,3645,"*",2.0165996155048,2.63778995394028e-18,6.2897940451613e-16,"Intron (ENST00000593168.5/81671, intron 3 of 4)",17,59773754,59840024,66271,1,"81671","ENST00000591877.1",-16874
"chr9",4296415,4303198,6784,"*",1.34975739927007,2.66778622926202e-18,6.2897940451613e-16,"Promoter (<=1kb)",9,4299390,4306046,6657,1,"107986989","ENST00000440674.1",0
"chr1",59676299,59679364,3066,"*",1.74415261532666,2.73544288066183e-18,6.37160448335363e-16,"Promoter (2-3kb)",1,59673686,59762727,89042,1,"55277","ENST00000471169.5",2613
"chr7",130908868,130927342,18475,"*",1.28439382241913,2.90095900946967e-18,6.67669530119966e-16,"Promoter (<=1kb)",7,130913508,130930680,17173,1,"100506860","ENST00000664231.1",0
"chr3",197308632,197312551,3920,"*",1.59428930799593,2.98145918162277e-18,6.78124121862505e-16,"Distal Intergenic",3,197300575,197303755,3181,1,"100507086","ENST00000657499.1",8057
"chr15",43910258,43914854,4597,"*",1.48142436192354,3.0523376899862e-18,6.86172611168641e-16,"Promoter (<=1kb)",15,43901914,43909927,8014,2,"84978","ENST00000479319.1",-331
"chr3",159819764,159825633,5870,"*",1.55242595920087,3.36957668795855e-18,7.48781909290836e-16,"Intron (ENST00000476809.7/100505385, intron 4 of 9)",3,159839861,159897360,57500,1,"29970","ENST00000445224.6",-14228
"chr3",171189705,171193179,3475,"*",1.67677970449491,3.56880091265944e-18,7.84041227777784e-16,"Exon (ENST00000436636.7/23043, exon 6 of 33)",3,171157551,171225711,68161,2,"23043","ENST00000468757.1",32532
"chr11",102551199,102554304,3106,"*",1.65806322742061,3.74482565903668e-18,8.13468701866922e-16,"Distal Intergenic",11,102524276,102530750,6475,2,"4316","ENST00000533366.5",-20449
"chr6",158407503,158409784,2282,"*",1.73590730669372,4.04795597873574e-18,8.6954592152109e-16,"Intron (ENST00000619713.1/ENST00000619713.1, intron 1 of 1)",6,158461650,158498693,37044,1,"56995","ENST00000613390.1",-51866
"chr7",116315413,116317738,2326,"*",2.03809844072246,4.22063365230295e-18,8.96675938461241e-16,"Exon (ENST00000460222.5/105375463, exon 4 of 6)",7,116289913,116337241,47329,1,"105375463","ENST00000465451.1",25500
"chr2",101751005,101753211,2207,"*",1.64915183826331,4.26915158371846e-18,8.97125082261185e-16,"Intron (ENST00000427603.5/9448, intron 3 of 4)",2,101797234,101891611,94378,1,"9448","ENST00000627726.3",-44023
"chr7",102872011,102877080,5070,"*",1.57880817394697,4.43003485798589e-18,9.20923267843454e-16,"Intron (ENST00000694870.1/222235, intron 11 of 13)",7,102913000,102933450,20451,1,"10234","ENST00000498487.1",-35920
"chr1",117090215,117099239,9025,"*",1.37869185800512,4.56232303149308e-18,9.38333948594209e-16,"Promoter (<=1kb)",1,117094643,117094728,86,1,"100126331","ENST00000401111.1",0
"chr7",94299072,94302338,3267,"*",1.78101749016019,4.76808959363953e-18,9.66411780593067e-16,"Intron (ENST00000642601.1/101927525, intron 7 of 8)",7,94311138,94347063,35926,1,"107986821","ENST00000649265.1",-8800
"chr3",159828598,159831303,2706,"*",2.37489842264254,4.79881709703277e-18,9.66411780593067e-16,"Intron (ENST00000476809.7/100505385, intron 4 of 9)",3,159839861,159897360,57500,1,"29970","ENST00000445224.6",-8558
"chr1",12453420,12458946,5527,"*",1.42569903030877,4.89244485720755e-18,9.75109653859727e-16,"3' UTR",1,12464940,12512047,47108,1,"55187","ENST00000543766.2",-5994
"chr19",48110465,48140155,29691,"*",-1.49479388091365,5.21313502037385e-18,1.02842387090702e-15,"Promoter (<=1kb)",19,48115446,48116174,729,2,"3978","ENST00000597146.1",0
"chr15",55915495,55918358,2864,"*",1.87829834136055,5.61431459905405e-18,1.09637923377285e-15,"Promoter (<=1kb)",15,55826922,55915654,88733,2,"4734","ENST00000508871.5",0
"chr11",403027,410568,7542,"*",-1.7717401192294,6.29480866061679e-18,1.21697535835704e-15,"Promoter (<=1kb)",11,404087,404681,595,1,"11187","ENST00000525642.1",0
"chr6",56539592,56544751,5160,"*",1.49308149711349,6.83586596184878e-18,1.30849303604379e-15,"Promoter (<=1kb)",6,56458252,56542204,83953,2,"667","ENST00000340834.10",0
"chr7",94642843,94645165,2323,"*",2.18272557783078,6.94027255280525e-18,1.31545381630769e-15,"Promoter (<=1kb)",7,94585380,94644615,59236,2,"8910","ENST00000644674.1",0
"chr3",197302375,197304092,1718,"*",1.91027348932427,7.61478547607454e-18,1.41640198814387e-15,"Promoter (1-2kb)",3,197300575,197303755,3181,1,"100507086","ENST00000657499.1",1800
"chr9",693266,697118,3853,"*",1.39684227405817,7.61939723617455e-18,1.41640198814387e-15,"Promoter (<=1kb)",9,693339,746099,52761,1,"23189","ENST00000687796.1",0
"chr1",116535292,116540810,5519,"*",1.38155721521665,7.91672583373296e-18,1.45765771946247e-15,"Exon (ENST00000369489.10/965, exon 3 of 6)",1,116519231,116544590,25360,2,"965","ENST00000526981.1",3780
"chr1",2965827,2976535,10709,"*",-1.54026438079823,8.4371329819641e-18,1.53882162207841e-15,"Exon (ENST00000642073.1/ENST00000642073.1, exon 1 of 3)",1,3021467,3022903,1437,1,"140625","ENST00000378404.4",-44932
"chr19",421636,431134,9499,"*",-1.60772458185584,8.55742860360001e-18,1.54617539433083e-15,"Promoter (<=1kb)",19,416589,422828,6240,2,"25759","ENST00000588376.5",0
"chr7",32161259,32165031,3773,"*",1.6074315728921,1.05638137444791e-17,1.89102047335198e-15,"Intron (ENST00000396193.5/5137, intron 3 of 18)",7,31873332,32078010,204679,2,"5137","ENST00000464881.1",-83249
"chr9",3968823,3972519,3697,"*",1.61030294926202,1.15233707910604e-17,2.04386538994102e-15,"Promoter (2-3kb)",9,3825255,3975199,149945,2,"169792","ENST00000461870.5",2680
"chr3",181627858,181633164,5307,"*",1.48994283042271,1.20425573924412e-17,2.11653420061877e-15,"Exon (ENST00000646949.2/347689, exon 7 of 8)",3,181610770,181742884,132115,1,"347689","ENST00000645583.2",17088
"chr3",173743311,173746795,3485,"*",1.96821848010795,1.25884587250957e-17,2.19254659938987e-15,"Intron (ENST00000695368.1/22871, intron 3 of 6)",3,173584920,174278982,694063,1,"22871","ENST00000415045.1",158391
"chr5",9346628,9351944,5317,"*",1.52300992690255,1.28633926177176e-17,2.2204282989137e-15,"Intron (ENST00000382496.10/9037, intron 3 of 22)",5,9237719,9380023,142305,2,"9037","ENST00000509486.2",28079
"chr9",107385994,107408000,22007,"*",-1.28539881567675,1.50439869125359e-17,2.57385308831909e-15,"Distal Intergenic",9,107420284,107430802,10519,2,"101928720","ENST00000423523.1",22802
"chr17",9368547,9372448,3902,"*",1.5930874615173,1.55263263204948e-17,2.63307426977304e-15,"Intron (ENST00000306357.9/9482, intron 7 of 7)",17,9250474,9437889,187416,2,"9482","ENST00000570583.5",65441
"chr7",116268816,116272788,3973,"*",1.79283995707785,1.5925385652925e-17,2.67726505067825e-15,"Intron (ENST00000444244.1/ENST00000444244.1, intron 1 of 4)",7,116283841,116286195,2355,2,"102724434","ENST00000415502.1",13407
"chr1",116358902,116360906,2005,"*",1.74272746960087,2.0944126281326e-17,3.49062752928341e-15,"Distal Intergenic",1,116372668,116388155,15488,1,"476","ENST00000418797.5",-11762
"chr3",98893768,98896206,2439,"*",1.82736116872967,2.28150257389726e-17,3.76993925309024e-15,"Promoter (<=1kb)",3,98825334,98895412,70079,2,"131566","ENST00000486004.1",0
"chr8",76403176,76406676,3501,"*",1.78541462298617,2.39399637484515e-17,3.92229931482045e-15,"Promoter (<=1kb)",8,76406654,76524356,117703,1,"101926978","ENST00000518732.1",0
"chr10",77290612,77294713,4102,"*",1.4479551808303,2.49867258315926e-17,4.05939807144688e-15,"Intron (ENST00000604624.6/3778, intron 1 of 27)",10,77249530,77309618,60089,2,"3778","ENST00000639204.1",14905
"chr11",35288290,35291241,2952,"*",2.18471327343658,2.79549793926573e-17,4.5037801383187e-15,"Promoter (1-2kb)",11,35254696,35286918,32223,2,"6506","ENST00000647076.1",-1372
"chr6",134908265,134911985,3721,"*",1.60171692001889,3.02876447393867e-17,4.83926475823606e-15,"Distal Intergenic",6,134918530,134929161,10632,2,"64577","ENST00000460753.1",17176
"chr21",15220704,15223250,2547,"*",1.9468394529479,3.08547342050604e-17,4.8894637408724e-15,"Intron (ENST00000673983.1/ENST00000673983.1, intron 1 of 4)",21,15263421,15283727,20307,2,"105369292","ENST00000673790.1",60477
"chr1",218583999,218587903,3905,"*",1.6173690301048,3.56899538622773e-17,5.57013173176223e-15,"Distal Intergenic",1,218524840,218525978,1139,1,"440714","ENST00000491260.2",59159
"chr6",105321827,105328200,6374,"*",1.33816396242421,3.57262884569656e-17,5.57013173176223e-15,"Promoter (<=1kb)",6,105322255,105323768,1514,2,"5550","ENST00000448705.1",0
"chr2",174835159,174837448,2290,"*",2.18072864004715,4.0960542999748e-17,6.33512142251303e-15,"3' UTR",2,174799515,174846405,46891,2,"1123","ENST00000409597.5",8957
"chr3",190074906,190078058,3153,"*",1.95390692197894,4.14725496491281e-17,6.36340319338566e-15,"Intron (ENST00000319332.10/55214, intron 1 of 14)",3,189988907,190116648,127742,2,"55214","ENST00000444866.5",38590
"chr4",76194363,76201333,6971,"*",1.26976258526822,4.48379926766069e-17,6.82561348359717e-15,"Promoter (<=1kb)",4,76160012,76196050,36039,2,"950","ENST00000682785.1",0
"chr22",50008347,50019869,11523,"*",-1.53425502781535,4.71015029503725e-17,7.11416684796525e-15,"Promoter (<=1kb)",22,49991811,50012659,20849,2,"400935","ENST00000389983.7",0
"chr1",119984714,119989047,4334,"*",1.57054475952665,4.88896375789313e-17,7.32700281638356e-15,"Promoter (<=1kb)",1,119950365,119987050,36686,2,"4853","ENST00000640021.1",0
"chr8",18977986,18981773,3788,"*",1.73555597280984,5.31378220320526e-17,7.90241164112056e-15,"Exon (ENST00000364287.1/ENST00000364287.1, exon 1 of 1)",8,18989279,19000952,11674,1,"105379303","ENST00000522670.1",-7506
"chr20",38107949,38111422,3474,"*",1.40940700187553,5.51250270293485e-17,8.109834077013e-15,"Intron (ENST00000618318.1/58490, intron 2 of 2)",20,38128461,38133760,5300,2,"7052","ENST00000469269.1",22338
"chr5",143399024,143402187,3164,"*",1.64299281256522,5.55288998827138e-17,8.109834077013e-15,"Promoter (<=1kb)",5,143279567,143400852,121286,2,"2908","ENST00000424646.6",0
"chr8",66559301,66562317,3017,"*",1.7440285019556,5.57910273750959e-17,8.109834077013e-15,"3' UTR",8,66565133,66566958,1826,2,"4603","ENST00000522419.1",4641
"chr7",116774253,116778821,4569,"*",1.72859780335195,5.95290717631434e-17,8.58862346564815e-15,"Exon (ENST00000318493.11/4233, exon 15 of 21)",7,116769666,116775072,5407,1,"4233","ENST00000454623.1",4587
"chr3",58047835,58053027,5193,"*",1.4070444112916,7.58116665303971e-17,1.08567922150531e-14,"Intron (ENST00000682097.1/2317, intron 1 of 12)",3,58078329,58170777,92449,1,"2317","ENST00000493452.5",-25302
"chr9",4144186,4149605,5420,"*",1.6520577526988,7.73226990110112e-17,1.09917627939697e-14,"Promoter (<=1kb)",9,4118745,4145193,26449,2,"169792","ENST00000462164.5",0
"chr1",3380026,3386196,6171,"*",-1.53511221214517,7.83612500617379e-17,1.10580879375444e-14,"Exon (ENST00000511072.5/63976, exon 4 of 16)",1,3396491,3434293,37803,1,"63976","ENST00000509860.1",-10295
"chr4",48908119,48911042,2924,"*",1.62636383824847,8.01386838141511e-17,1.12269650302825e-14,"Promoter (1-2kb)",4,48885382,48906937,21556,2,"132299","ENST00000508069.6",-1182
